指標名,コンベンション施設,,,,,,
出典,公益財団法人 東京観光財団（TCVB）,,,,,,
年次,2021/2/15取得,,,,,,
URL,https://businesseventstokyo.org/ja/venues/convention-venues/,,,,,,
備考,部屋数、収容人数などは各URLを参照。（2019年度：179件、2020年度：203件）,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,URL
新宿区,西新宿２丁目,-,東京都新宿区西新宿2-7-2,35.690921,139.69126,ハイアットリージェンシー東京,http://www.hyattregencytokyo.com
新宿区,西新宿３丁目,-,東京都新宿区西新宿3-7-1 新宿ﾊﾟｰｸﾀﾜｰ3階,35.685427,139.69084,パークタワーホール,http://www.ozone.co.jp/parktowerhall/
新宿区,西新宿３丁目,-,東京都新宿区西新宿3-2-9,35.686809,139.69305,新宿ワシントンホテル,http://www.shinjyuku-wh.com/
新宿区,西新宿６丁目,-,東京都新宿区西新宿6-6-2,35.692724,139.69121,ヒルトン東京,http://www.hilton.co.jp
新宿区,西新宿６丁目,-,東京都新宿区西新宿6-13-1 住友不動産新宿ｾﾝﾄﾗﾙﾊﾟｰｸﾋﾞﾙ1F,35.692882,139.68881,ベルサール新宿セントラルパーク,https://www.bellesalle.co.jp/shisetsu/shinjuku/bs_shinjuku
新宿区,西新宿８丁目,-,東京都新宿区西新宿8-17-3 住友不動産新宿ｸﾞﾗﾝﾄﾞﾀﾜｰ,35.696320,139.69104,ベルサール新宿グランド,http://www.bellesalle.co.jp/bs_shinjukugrand/
新宿区,大久保３丁目,-,東京都 新宿区大久保3-8-2 住友不動産新宿ｶﾞｰﾃﾞﾝﾀﾜｰB2･1F,35.707867,139.70315,ベルサール高田馬場,https://www.bellesalle.co.jp/shisetsu/shinjuku/bs_takadanobaba
渋谷区,神宮前５丁目,-,東京都渋谷区神宮前5-31,35.664435,139.70398,TRUNK(HOTEL),http://trunk-hotel.com/event/
渋谷区,宇田川町,-,東京都渋谷区宇田川町1-1,35.664101,139.69851,渋谷公会堂,http://www.shibuko.com/
渋谷区,桜丘町,-,東京都渋谷区桜丘町26-1,35.656358,139.69933,セルリアンタワー東急ホテル,http://www.ceruleantower-hotel.com
渋谷区,渋谷１丁目,-,東京都渋谷区渋谷1-17-3 渋谷東宝ﾋﾞﾙ,35.661332,139.70344,TKP渋谷カンファレンスセンター,http://www.shibuya-kaigishitsu.net/
渋谷区,渋谷１丁目,-,東京都渋谷区渋谷1-9-8 朝日生命宮益坂ﾋﾞﾙ4･5階,35.660186,139.70460,渋谷サンスカイルーム,http://www.sunskyroom.jp
渋谷区,渋谷２丁目,-,東京都渋谷区渋谷2-21-1 渋谷ﾋｶﾘｴ9階,35.659055,139.70353,ヒカリエホール・カンファレンス,http://www.hikarie.jp/hall/
渋谷区,渋谷４丁目,-,東京都渋谷区渋谷4-4-25,35.659029,139.70975,アイビーホール(青学会館),http://www.ivyhall.jp/
渋谷区,神宮前５丁目,-,東京都渋谷区神宮前5-53-70,35.662474,139.70839,国連大学本部ビル,http://jp.unu.edu/
渋谷区,神宮前５丁目,-,東京都渋谷区神宮前5-53-67,35.663064,139.70776,東京ウィメンズプラザ,http://www1.tokyo-womens-plaza.metro.tokyo.jp/
渋谷区,神南２丁目,-,東京都渋谷区神南2-1-1,35.667641,139.70016,国立代々木競技場 第一体育館,http://www.naash.go.jp/yoyogi/
渋谷区,神南２丁目,-,東京都渋谷区神南2-1-1,35.667641,139.70016,国立代々木競技場 第二体育館,http://www.naash.go.jp/yoyogi/
渋谷区,千駄ケ谷１丁目,-,東京都渋谷区千駄ヶ谷1-17-1,35.679775,139.71249,東京体育館,http://www.tef.or.jp/tmg
渋谷区,千駄ケ谷４丁目,-,東京都渋谷区千駄ヶ谷4-25-2,35.681062,139.70505,SYDホール,http://www.syd.or.jp/hallgaiyo.htm
渋谷区,代々木２丁目,-,東京都渋谷区代々木2-12-10 全労済会館,35.687015,139.69734,全労済ホール/スペース・ゼロ,http://www.spacezero.co.jp
渋谷区,代々木２丁目,-,東京都渋谷区代々木2-3-1,35.687093,139.69887,ホテルサンルートプラザ新宿,http://www.sunroute-mice.jp/hotel/htok/
渋谷区,代々木３丁目,-,東京都渋谷区代々木3-25-3 あいおいﾆｯｾｲ同和新宿ﾋﾞﾙ,35.684657,139.69239,あいおいニッセイ同和損保新宿ビル 新宿ホール・会議室,-
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂1-12-2 渋谷ﾏｰｸｼﾃｨ内,35.658598,139.69964,渋谷エクセルホテル東急,http://www.tokyuhotels.co.jp/ja/TE/TE_SHIBU/index.html
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-10-7 新大宗ﾋﾞﾙ1号館,35.658190,139.69707,フォーラム・エイト,http://www.forum-8.co.jp
港区,港南２丁目,-,東京都港区港南2-15-4,35.625340,139.74171,品川インターシティホール,http://www.sicity.co.jp
