指標名,コンビニ,,,,,,,,,,,,
出典,NAVITIME,,,,,,,,,,,,
年次,2021/2/3取得,,,,,,,,,,,,
URL,https://www.navitime.co.jp/,,,,,,,,,,,,
備考,"（2019年度：1,758件、2020年度：2,130件）",,,,,,,,,,,,
,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,,区,軒数,セブン,ローソン,ファミリーマート,その他
品川区,荏原１丁目,-,東京都品川区荏原1-16-1,35.619542,139.71651,ローソンLTF 荏原一丁目店,,,,,,,
品川区,上大崎２丁目,-,東京都品川区上大崎2丁目12番2号ミズホビル1F,35.634928,139.71657,ファミリーマート 目黒駅東店,,,,,,,
品川区,上大崎３丁目,-,東京都品川区上大崎3-1-1,35.633414,139.71668,セブンイレブン 目黒セントラルスクエア店,,,,,,,
品川区,上大崎３丁目,-,東京都品川区上大崎3-1-1,35.633414,139.71668,セブンイレブン 目黒セントラルスクエア3階店,,,,,,,
品川区,上大崎３丁目,-,東京都品川区上大崎3丁目1-1,35.633414,139.71668,ファミリーマート アトレ目黒店,,,,,,,
品川区,西五反田３丁目,-,東京都品川区西五反田3-6-6,35.628123,139.71683,ローソン 西五反田高齢者複合施設店,,,,,,,
品川区,戸越３丁目,-,東京都品川区戸越3-1-18,35.615152,139.71691,ローソン・スリーエフ 戸越銀座店,,,,,,,
品川区,上大崎２丁目,-,東京都品川区上大崎2丁目14-9,35.634058,139.71698,ファミリーマート 目黒駅東口店,,,,,,,
品川区,上大崎２丁目,-,東京都品川区上大崎2-10-33,35.635391,139.71707,ナチュラルローソン シティコート目黒店,,,,,,,
品川区,戸越１丁目,-,東京都品川区戸越1-7-20,35.616224,139.71743,セブンイレブン 品川戸越1丁目店,,,,,,,
品川区,戸越６丁目,-,東京都品川区戸越6-6-6三栄第一ビルB1F,35.608477,139.71748,ローソンストア100 LS戸越公園駅前店,,,,,,,
品川区,平塚２丁目,-,東京都品川区平塚2丁目3-11,35.618259,139.71758,ファミリーマート 品川平塚店,,,,,,,
品川区,西五反田６丁目,-,東京都品川区西五反田6-7-2,35.622387,139.71765,セブンイレブン 西五反田6丁目店,,,,,,,
品川区,戸越４丁目,-,東京都品川区戸越4-7-14,35.610955,139.71777,ローソン 戸越四丁目店,,,,,,,
品川区,戸越６丁目,-,東京都品川区戸越6-7-26,35.608355,139.71791,ローソン・スリーエフ 品川戸越公園駅前店,,,,,,,
