指標名,大学キャンパス,,,,,,,
出典,教育ソリューション株式会社「全国学校データ」,,,,,,,
年次,JPC2021,,,,,,,
URL,https://kyouikusolution.co.jp/,,,,,,,
備考,JPC2021データ,,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,大学,キャンパス,運営者区分
千代田区,神田三崎町１丁目,-,東京都千代田区三崎町１－３－２,35.700154,139.756309,日本大学,三崎町キャンパス,私立
江東区,有明３丁目,-,東京都江東区有明３－３－３,35.631255,139.786217,武蔵野大学,有明キャンパス,私立
渋谷区,代々木３丁目,-,東京都渋谷区代々木３－２２－１,35.685606,139.693857,文化ファッション大学院大学,-,私立
渋谷区,代々木３丁目,-,東京都渋谷区代々木３－２２－１,35.685606,139.693857,文化学園大学,新都心キャンパス,私立
品川区,旗の台３丁目,-,東京都品川区旗の台３－２－１７,35.605835,139.706860,文教大学,旗の台キャンパス,私立
千代田区,富士見２丁目,-,東京都千代田区富士見２－１７－１,35.696228,139.741436,法政大学,市ケ谷キャンパス,私立
港区,白金５丁目,-,東京都港区白金５－９－１,35.644800,139.725733,北里大学,白金キャンパス,私立
港区,白金台１丁目,-,東京都港区白金台１－２－３７,35.636443,139.730221,明治学院大学,白金キャンパス,私立
千代田区,神田駿河台１丁目,-,東京都千代田区神田駿河台１－１,35.697268,139.761524,明治大学,駿河台キャンパス,私立
千代田区,神田駿河台１丁目,-,東京都千代田区神田駿河台１－１リバティタワー５階,35.697398,139.761454,明治大学,駿河台キャンパス,私立
新宿区,中落合４丁目,-,東京都新宿区中落合４－３１－１,35.717648,139.680065,目白大学,新宿キャンパス,私立
品川区,大崎４丁目,-,東京都品川区大崎４－２－１６,35.621442,139.722936,立正大学,品川キャンパス,私立
渋谷区,東４丁目,-,東京都渋谷区東４－１０－２８,35.655499,139.711456,國學院大学,渋谷キャンパス,私立
千代田区,一ツ橋２丁目,-,東京都千代田区一ツ橋２－１－２,35.692387,139.758260,総合研究大学院大学,国立情報学研究所,国立
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１－７－１２サピアタワー１０階,35.683718,139.768611,関西学院大学,東京丸の内キャンパス,私立
新宿区,西新宿７丁目,-,東京都新宿区西新宿７－１１－１,35.693789,139.697342,宝塚大学,東京新宿キャンパス,私立
渋谷区,桜丘町,-,東京都渋谷区桜丘町２４－５,35.656346,139.700487,日本経済大学,東京渋谷キャンパス,私立
