指標名,食べログアワード受賞レストラン,,,,,,,,,,,,,
出典,The Tabelog Award 2021,,,,,,,,,,,,,
年次,2021年,,,,,,,,,,,,,
URL,https://award.tabelog.com/restaurants,,,,,,,,,,,,,
備考,（2020年：275件、2021年度：208件）,,,,,,,,,,,,,
,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,施設名（EN）,ジャンル,アワード,初選出,星数,夜予算,昼予算,URL
中央区,銀座１丁目,-,東京都中央区銀座1-14-14 森川ビル 1F,35.67324,139.76959,鮨 たかはし, Takahashi, 寿司 / 東京,BRONZE,-,4.11,"\20,000～\29,999",-,https://tabelog.com/tokyo/A1301/A130101/13165933/
中央区,京橋３丁目,日八京,東京都中央区京橋3-6-17 京橋大栄ビル　１Ｆ,35.67514,139.76989,イデミスギノ, HIDEMI SUGINO, スイーツ / 東京,BRONZE,-,4.01,"\1,000～\1,999","\1,000～\1,999",https://tabelog.com/tokyo/A1302/A130202/13002285/
中央区,京橋２丁目,日八京,東京都中央区京橋2-5-2 A・M京橋ビル 1F,35.67647,139.77050,てんぷら 深町, Fukamachi, 天ぷら / 東京,BRONZE,-,4.23,"\20,000～\29,999","\10,000～\14,999",https://tabelog.com/tokyo/A1302/A130202/13004105/
中央区,京橋２丁目,日八京,東京都中央区京橋2-4-16 明治京橋ビル1F,35.67690,139.76871,シェ・イノ, Chez Inno, フレンチ / 東京,BRONZE,-,4.18,"\20,000～\29,999","\8,000～\9,999",https://tabelog.com/tokyo/A1302/A130202/13000510/
中央区,築地１丁目,-,東京都新宿区大久保1-12-3 カーサ第二新宿 1F,35.66986,139.77157,東京肉しゃぶ家, Nikusyhabuya, 焼肉・すき焼き・しゃぶしゃぶ / 東京,BRONZE,-,3.96,"\8,000～\9,999","\1,000～\1,999",https://tabelog.com/tokyo/A1304/A130401/13196268/
中央区,銀座７丁目,-,東京都港区西麻布2-24-14 バルビゾン73 B1F,35.66928,139.76207,USHIGORO S. NISHIAZABU, USHIGORO S. NISHIAZABU, 焼肉・すき焼き・しゃぶしゃぶ / 東京,BRONZE,-,4.32,"\20,000～\29,999","\10,000～\14,999",https://tabelog.com/tokyo/A1307/A130701/13209611/
千代田区,六番町,-,東京都千代田区六番町4-3 GEMS市ヶ谷  9F,35.68915,139.73523,炭火焼肉 なかはら, NAKAHARA, 焼肉・すき焼き・しゃぶしゃぶ / 東京,BRONZE,-,4.1,"\15,000～\19,999",-,https://tabelog.com/tokyo/A1309/A130904/13175110/
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-9-4 蚕糸会館　Ｂ１Ｆ,35.67501,139.76092,アピシウス, APICIUS, フレンチ / 東京,BRONZE,-,4.15,"\30,000～\39,999","\10,000～\14,999",https://tabelog.com/tokyo/A1301/A130102/13000145/
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-1-2 東京ミッドタウン日比谷 3F,35.67358,139.75919,鮨 なんば 日比谷, Namba Hibiya, 寿司 / 東京,GOLD,-,4.54,"\30,000～\39,999","\30,000～\39,999",https://tabelog.com/tokyo/A1301/A130102/13219857/
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-1-2 ミッドタウン日比谷 7F,35.67417,139.75907,龍吟, Ryugin, 日本料理 / 東京,BRONZE,-,3.91,"\50,000～\59,999",-,https://tabelog.com/tokyo/A1301/A130102/13001457/
千代田区,内幸町１丁目,-,東京都千代田区内幸町1-1-1 帝国ホテル東京 本館 中2F,35.67260,139.75816,レ セゾン, Les Saisons, フレンチ / 東京,SILVER,-,4.15,"\40,000～\49,999","\10,000～\14,999",https://tabelog.com/tokyo/A1301/A130102/13002294/
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町4-1 ホテルニューオータニ 東京 ロビィ階,35.68092,139.73419,トゥールダルジャン 東京, TOUR D'ARGENT TOKYO, フレンチ / 東京,BRONZE,-,4.11,"\40,000～\49,999",-,https://tabelog.com/tokyo/A1308/A130803/13000288/
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町1-2 紀尾井テラス 3F,35.68026,139.73775,紀尾井町 三谷, Kioicho Mitani, 寿司 / 東京,BRONZE,-,4.16,"\30,000～\39,999","\30,000～\39,999",https://tabelog.com/tokyo/A1308/A130801/13198197/
新宿区,四谷４丁目,-,東京都中央区銀座8-3-1 銀座時傳ビル 6F,35.68802,139.71664,青空, HARUTAKA, 寿司 / 東京,SILVER,-,4.16,"\20,000～\29,999","\10,000～\14,999",https://tabelog.com/tokyo/A1301/A130103/13032283/
新宿区,余丁町,-,東京都新宿区余丁町1-14,35.69490,139.71713,天ぷら 蕎楽亭, Kyorakutei, 天ぷら / 東京,BRONZE,-,4.04,"\20,000～\29,999",-,https://tabelog.com/tokyo/A1309/A130903/13171952/
新宿区,矢来町,-,東京都新宿区矢来町61,35.70239,139.73261,串揚げはやし, Hayashi, とんかつ・揚げ物 / 東京,BRONZE,-,4.21,"\10,000～\14,999",-,https://tabelog.com/tokyo/A1309/A130905/13129802/
新宿区,百人町１丁目,-,東京都新宿区百人町1-24-7 シュミネビル 1F,35.69860,139.69757,SPICY CURRY 魯珈, ROKA, アジア・エスニック / 東京,BRONZE,-,3.9,～\999,～\999,https://tabelog.com/tokyo/A1304/A130404/13203027/
