指標名,バス停,,,,,注：NAVITIMEの検索区分ではなく、緯度経度情報をもとに位置情報を掲載。,,,,,,,,
出典,NAVITIME,,,,,例：『東京駅〔八重洲南口〕』は中央区の一覧に掲載されているが、バス停の位置は千代田区。,,,,,,,,
年次,2021/2/2取得,,,,,　　『角筈二丁目バス停』は新宿区の一覧に掲載されているが、バス停の位置は渋谷区。,,,,,,,,
URL,https://www.navitime.co.jp/,,,,,　　『駒場リサーチキャンパス』は渋谷区駒場４丁目と掲載されているが誤りで、目黒区。,,,,,,,,
備考,路線ごとに1データあるので、単純な駅数が知りたい場合は「1÷路線数」を合計,,,,,,,,,,,,,
,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,路線数,1÷路線数,事業者,路線名,方面①,方面①/URL,方面②,方面②/URL
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-千葉/TYO-NRT〔空港近隣ホテル行〕,[空港連絡バス],インターナショナルガーデンホテル成田方面,https://www.navitime.co.jp/diagram/bus/00025521/00009080/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-千葉/マイタウン・ダイレクトバス〔新浦安〕,[高速バス],日の出七丁目方面,https://www.navitime.co.jp/diagram/bus/00025521/00009082/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-福井/青春ドリーム福井号,[高速バス],福井駅東口方面,https://www.navitime.co.jp/diagram/bus/00025521/00009085/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-栃木/那須ハイランドパーク号,[高速バス],友愛の森方面,https://www.navitime.co.jp/diagram/bus/00025521/00009088/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,愛知-東京/ドリーム知多号,[高速バス],太田川駅前方面,https://www.navitime.co.jp/diagram/bus/00025521/00009089/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-千葉/TYO-NRT〔東京都心-成田空港〕,[空港連絡バス],成田空港第３ターミナル〔降車専用〕方面,https://www.navitime.co.jp/diagram/bus/00025521/00009097/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-茨城/ひたち号,[高速バス],高萩駅（茨城県）方面,https://www.navitime.co.jp/diagram/bus/00025521/00040209/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-山口/萩エクスプレス,[高速バス],萩バスセンター方面,https://www.navitime.co.jp/diagram/bus/00025521/00019757/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-青森/シリウス号,[高速バス],八戸中心街ターミナル〔三日町〕/七戸十和田駅〔南口〕方面,https://www.navitime.co.jp/diagram/bus/00025521/00019817/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,神奈川・東京-秋田/レイク＆ポート号,[高速バス],横手バスターミナル/大曲バスターミナル方面,https://www.navitime.co.jp/diagram/bus/00025521/00019823/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京・埼玉-山形/夕陽,[高速バス],庄内町余目駅前/酒田庄交バスターミナル方面,https://www.navitime.co.jp/diagram/bus/00025521/00019837/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-青森/津輕号,[高速バス],青森駅前方面,https://www.navitime.co.jp/diagram/bus/00025521/00019864/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-茨城/東京-鉾田,[高速バス],佐原駅南口/鉾田駅方面,https://www.navitime.co.jp/diagram/bus/00025521/00020068/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-静岡/東京-沼津,[高速バス],沼津駅北口方面,https://www.navitime.co.jp/diagram/bus/00025521/00020073/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-福井/東京-新宿-福井〔昼行便〕,[高速バス],福井駅東口方面,https://www.navitime.co.jp/diagram/bus/00025521/00020125/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-茨城/東京-東海,[高速バス],勝田駅前〔東口〕/東海駅東口方面,https://www.navitime.co.jp/diagram/bus/00025521/00020132/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-和歌山/ドリーム和歌山号,[高速バス],南海和歌山市駅方面,https://www.navitime.co.jp/diagram/bus/00025521/00020355/0/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-静岡/東京-富士・富士宮,[高速バス],富士駅〔南口〕/富士宮駅方面,https://www.navitime.co.jp/diagram/bus/00025521/00020370/1/,,
