指標名,薬局,,,,,,
出典,病院なび,,,,,,
年次,2021/2/15取得,,,,,,
URL,https://byoinnavi.jp/,,,,,,
備考,"（2019年度：889件、2020年度：1,315件）",,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,URL
渋谷区,神宮前１丁目,-,"東京都渋谷区神宮前1-16-17

",35.671146,139.704620,マツモトキヨシ 原宿竹下通り店,https://byoinnavi.jp/pharm/201207
港区,白金台３丁目,-,"東京都港区白金台3-15-6 マスレンビル1階

",35.636660,139.724079,調剤薬局 ツルハドラッグ 白金台店,https://byoinnavi.jp/pharm/162574
港区,芝５丁目,-,"東京都港区芝5-16-1千代ビル1F

",35.648719,139.745744,三田調剤薬局,https://byoinnavi.jp/pharm/162559
江東区,千石２丁目,-,"東京都江東区千石二丁目10番6号

",35.678449,139.817144,南山堂薬局 江東千石店,https://byoinnavi.jp/pharm/277710
江東区,東陽４丁目,-,"東京都江東区東陽町4-5-15

",35.669992,139.819096,ユーワ薬局 東陽町駅前店,https://byoinnavi.jp/pharm/266169
江東区,南砂３丁目,-,"東京都江東区南砂3-9

",35.670053,139.828816,マツモトキヨシドラッグストア南砂店,https://byoinnavi.jp/pharm/204214
品川区,東大井５丁目,-,"東京都品川区東大井5-14-15

",35.606303,139.736487,エール薬局 大井町店,https://byoinnavi.jp/pharm/272229
品川区,八潮５丁目,-,"東京都品川区八潮5-6

",35.597642,139.750514,八潮調剤薬局,https://byoinnavi.jp/pharm/206377
千代田区,一番町,-,"東京都千代田区一番町7-1一番町弘和ビル1F

",35.687468,139.742729,いけだ薬局番町店,https://byoinnavi.jp/pharm/202875
渋谷区,宇田川町,-,"東京都渋谷区宇田川町24-10

",35.660521,139.699506,(有)ヨコタ薬局,https://byoinnavi.jp/pharm/201267
渋谷区,宇田川町,-,"東京都渋谷区宇田川町7-13

",35.663465,139.695887,けやき薬局,https://byoinnavi.jp/pharm/201268
渋谷区,宇田川町,-,"東京都渋谷区宇田川町23-4

",35.659788,139.699465,マツモトキヨシ 渋谷Part2店,https://byoinnavi.jp/pharm/201266
渋谷区,宇田川町,-,"東京都渋谷区宇田川町22-3

",35.659773,139.699815,マツモトキヨシ 渋谷Part1店,https://byoinnavi.jp/pharm/201265
渋谷区,宇田川町,-,"東京都渋谷区宇田川町22-1

",35.659794,139.699954,三千里薬品 宇田川店,https://byoinnavi.jp/pharm/201264
品川区,荏原２丁目,-,"東京都品川区荏原2-10-12

",35.617243,139.710535,土屋薬局荏原,https://byoinnavi.jp/pharm/206349
品川区,荏原２丁目,-,"東京都品川区荏原2-3-4

",35.617509,139.712741,すずらん薬局戸越店,https://byoinnavi.jp/pharm/206350
品川区,荏原３丁目,-,"東京都品川区荏原3-6-16-102

",35.616592,139.707518,爽快調剤薬局荏原,https://byoinnavi.jp/pharm/252977
品川区,荏原３丁目,-,"東京都品川区荏原3-3-12

",35.617873,139.707167,土屋薬局小山,https://byoinnavi.jp/pharm/206351
品川区,荏原３丁目,-,"東京都品川区荏原3-6-2

",35.616733,139.707785,マツモトキヨシ武蔵小山Part2店,https://byoinnavi.jp/pharm/206354
品川区,荏原３丁目,-,"東京都品川区荏原3-3-15

",35.617617,139.706965,クスリのカツマタ 武蔵小山店,https://byoinnavi.jp/pharm/206352
