指標名,シェアサイクルポート,,,,,,,
出典,東京自転車シェアリング ポートマップ,,,,,,,
年次,2021/3/2取得,,,,,,,
URL,https://www.google.com/maps/d/viewer?mid=1L2l1EnQJhCNlm_Xxkp9RTjIj68Q,,,,,,,
備考,,,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,ポート名,休止・再開・閉鎖情報,営業時間・備考
港区,芝浦１丁目,-,東京都港区芝浦1-6-41,35.647582,139.755000,C5-24.GLOBAL FRONT TOWER,-,営業時間 24時間 / Open for 24 hours国道130号から､ﾌｫﾙｸｽﾜｰｹﾞﾝ東京深川店(仮店舗)と東京電力南浜橋変電所の間を入ります｡GLOBAL FRONT TOWER 敷地内に入り建物が見えたら1階の軒下にﾎﾟｰﾄがあります｡
新宿区,内藤町,-,東京都新宿区内藤町87,35.687652,139.714398,D1-02.四谷特別出張所 / Yotsuya Special District Office,-,営業時間 24時間 / Open for 24 hours
新宿区,左門町,-,東京都新宿区左門町19,35.684391,139.720989,D1-03.新左門児童遊園 / Shin-samon Children's Playground,-,営業時間 24時間 / Open for 24 hours
新宿区,新宿１丁目,-,東京都新宿区新宿1-32,35.690665,139.711801,D1-01.花園西公園 / Hanazono Nishi Park,-,営業時間 24時間 / Open for 24 hours
新宿区,大京町,-,東京都新宿区大京町29,35.682199,139.715492,D1-06.四谷第六小学校北 / Yotsuya Dairoku Elementary School North,-,営業時間 24時間 / Open for 24 hours
新宿区,四谷１丁目,-,東京都新宿区四谷1-12,35.684117,139.728653,D1-04.四谷見附公園 / Yotsuya Mitsuke Park,-,営業時間 24時間 / Open for 24 hours
新宿区,霞ヶ丘町,-,東京都新宿区霞ヶ丘町11-3,35.680405,139.715711,D1-11.三井ガーデンホテル神宮外苑の杜プレミア / Mitsui Garden Hotel Jingugaien Tokyo Premier,-,営業時間 24時間 / Open for 24 hours
新宿区,四谷４丁目,-,東京都新宿区四谷4-30-21,35.688813,139.714559,D1-12.ジェノヴィア新宿御苑グリーンヴェール / GENOVIA Shinjuku Gyoen green veil,-,営業時間 24時間 / Open for 24 hours
新宿区,内藤町,-,東京都新宿区内藤町11番地,35.683707,139.711302,D1-13.新宿御苑新宿門【西側】/ Shinjuku Gyoen National Garden Shinjuku Gate【West Side】,-,営業時間 24時間 / Open for 24 hours
新宿区,岩戸町,-,東京都新宿区岩戸町11番地,35.700952,139.736483,D2-09.セブン-イレブン 新宿岩戸町店 / Seven-Eleven Shinjuku Iwato-cho store,-,営業時間 24時間 / Open for 24 hours
新宿区,矢来町,-,東京都新宿区矢来町6番地,35.700839,139.731154,D2-08.旧市ヶ谷商業高校 / Former Ichigaya Commercial High Schoo,-,営業時間 24時間 / Open for 24 hours
新宿区,早稲田町,-,東京都新宿区早稲田町78,35.706174,139.723393,【休止中】D3-04.鶴巻南公園 / Tsurumaki-Minami Park,休止期間：2020年8月2日 (日) 17:00～2021年4月1日(木) 10:00 (予定),営業時間 24時間 / Open for 24 hours
新宿区,西早稲田３丁目,-,東京都新宿区西早稲田3-5,35.711633,139.716349,D3-03.甘泉園公園 / Kansenen Park,-,営業時間 24時間 / Open for 24 hours
新宿区,若松町,-,東京都新宿区若松町31-5,35.699867,139.719999,D4-04.ジェノヴィア新宿早稲田グリーンヴェール / GENOVIA Shinjuku Waseda green veil,-,営業時間 24時間 / Open for 24 hours
新宿区,北新宿３丁目,-,東京都新宿区北新宿3-20,35.702324,139.688904,D5-03.北新宿公園 / Kita-Shinjuku Park,-,営業時間 24時間 / Open for 24 hours
新宿区,大久保３丁目,-,東京都新宿区大久保3-170-316,35.706602,139.704540,D5-08. ウエリス新宿早稲田の森 / Wellith Shinjuku Waseda no Mori,-,営業時間 24時間 / Open for 24 hours
新宿区,百人町４丁目,-,東京都新宿区百人町4-1,35.707771,139.701029,D5-04.西戸山公園野球場 / Nishi-Toyama Baseball Ground,-,営業時間 24時間 / Open for 24 hours
新宿区,百人町２丁目,-,東京都新宿区百人町2-2-32,35.702660,139.701508,D5-09.ハウジングステージ新宿 / HousingStage Shinjuku,-,営業時間 24時間 / Open for 24 hours
新宿区,西新宿２丁目,-,東京都新宿区西新宿2-11,35.690124,139.689223,D6-03.新宿中央公園（ポケットパーク）/ Shinjuku Central Park (Pocket Park),-,営業時間 24時間 / Open for 24 hours
新宿区,西新宿２丁目,-,東京都新宿区西新宿2-11,35.690124,139.689223,D6-05.新宿中央公園（水の広場）/ Shinjuku Central Park (Water Plaza),-,営業時間 24時間 / Open for 24 hours
新宿区,西新宿２丁目,-,東京都新宿区西新宿2-11,35.690124,139.689223,D6-04.新宿中央公園（ちびっこ広場）/Shinjuku Central Park (Playground),-,営業時間 24時間 / Open for 24 hours
新宿区,西新宿２丁目,-,東京都新宿区西新宿2-11,35.690124,139.689223,D6-06.新宿中央公園（エコギャラリー下）/ Shinjuku Central Park (Eco Gallery),-,営業時間 24時間 / Open for 24 hours
新宿区,西新宿２丁目,-,東京都新宿区西新宿2-11,35.690124,139.689223,D6-13.新宿中央公園（ジャブジャブ池下）/ Shinjuku Central Park (Water Play Pool),-,営業時間 24時間 / Open for 24 hours
新宿区,西新宿５丁目,-,東京都新宿区西新宿5-5,35.693319,139.686830,D6-19.西新宿五丁目中央 / Nishi-Shinjuku 5-chome center,-,営業時間 24時間 / Open for 24 hours
