,指標名,スタートアップ企業,,,,,,,,,,
,品川区,上大崎３丁目,-,東京都品川区上大崎3丁目5-3 朝日目黒BM702,35.6344046,139.7193619,株式会社Fesbase,消費者向けサービス・販売,訪日旅行者向けのレストラン予約コンシェルジュサービス「JPN...,2015/9/1,https://www.fesbase.co.jp/,調査継続
,品川区,上大崎３丁目,-,東京都品川区上大崎3-3-6 永峰ﾋﾞﾙ3F,35.6340722,139.7184442,株式会社エッジコネクション,ビジネスサービス,"対法人向けの新規開拓営業に特化した営業支援サービスを提供
マ...",2003/12/12,http://www.edge-connection.co.jp/,調査継続
,品川区,上大崎３丁目,-,東京都品川区上大崎3-3-9 秀和目黒駅前ﾚｼﾞﾃﾞﾝｽ914,35.6336318,139.7184641,合同会社ONEGAI,消費者向けサービス・販売,最短30分後から頼める家事代行サービス｢ONEGAI｣運営,2016/3/30,https://www.one-gai.com/,調査不能(HPアクセス不能などの事由)
,品川区,上大崎３丁目,-,東京都品川区上大崎3-1-1 目黒ｾﾝﾄﾗﾙｽｸｴｱ,35.6334096,139.7167483,株式会社ネコ･パブリッシング,ビジネスサービス,自動車、二輪車、鉄道、ペット、家具等々広範な趣味関連雑誌を発...,1976/9/13,http://www.neko.co.jp,調査継続
,品川区,上大崎３丁目,-,東京都品川区上大崎3-1-1 目黒ｾﾝﾄﾗﾙｽｸｴｱ15階,35.6334096,139.7167483,Tube株式会社,消費者向けサービス・販売,地域ごとに最適化した形でサービスを提供するホテルの開発、運用...,2016/5/26,http://tubeinc.jp/,調査継続
,品川区,上大崎３丁目,-,東京都品川区上大崎3-14-1 中丸ﾊｳｽ B棟,35.6318413,139.7190554,株式会社シロップ,消費者向けサービス・販売,保護犬猫と飼いたい人のマッチングサービス「OMUSUBI」(...,2015/3/23,https://syrup.co.jp/,調査継続
,品川区,上大崎３丁目,-,東京都品川区上大崎3-14-12 井雅ﾋﾞﾙ5F,35.6318953,139.7204393,株式会社ネットネイティブ,コンピューター - ITサービス,独自取材による記事で女性向けにエンタメ・ライフスタイルニュー...,2015/10/1,https://net-native.net/,未評価(会社登録のみ)
,品川区,上大崎３丁目,-,東京都品川区上大崎3-10-49 ﾉｯﾄ花房山 K+302,35.6317302,139.7171673,株式会社heathrow,コンピューター - ソフトウェア,自社メディア「Favrica」の企画・開発・運用を始めとする...,2012/4/17,http://heathrow.co.jp/,未評価(会社登録のみ)
,品川区,上大崎３丁目,-,東京都品川区上大崎3-10-49 ﾉｯﾄ花房山402,35.631686,139.7169678,株式会社コー・ランナーズ,ビジネスサービス,"マラソン大会企画立案・運用支援サービス
マラソンタイム計測器...",2013/10/1,http://www.co-runners.co.jp/,調査継続
,品川区,上大崎３丁目,-,東京都品川区上大崎3丁目14-37 JESCO目黒ﾋﾞﾙ 3階,35.6293447,139.7195814,フォレストエナジー株式会社,産業・エネルギー,地産地消型の木質バイオマス発電所を運営する地域自然エネルギー...,2015/4/10,http://forestenergy.jp/,調査継続
,品川区,上大崎４丁目,-,東京都品川区上大崎4-5-37 山京目黒ﾋﾞﾙ302,35.6289587,139.7153119,ワイズシステム株式会社,コンピューター - ITサービス,"・ECサイトのバックヤードにおける開発
・受注管理支援システ...",2000/2/1,http://www.yspro.ne.jp/,調査継続
,品川区,上大崎４丁目,-,東京都品川区上大崎4-5-37,35.6285989,139.7155694,株式会社ベストリザーブ,ビジネスサービス,インターネットホテル予約サイト、空室集中管理システム、レジャ...,2000/4/7,http://www.bestrsv.com/,調査継続
,品川区,上大崎４丁目,-,東京都品川区上大崎4-5-37 山京目黒ﾋﾞﾙ309,35.6288726,139.7152537,株式会社シュアール,コンピューター - ITサービス,聴覚障がい者の生活向上を目指し、遠隔手話通訳や手話辞書の開発...,2009/11/18,http://www.shur.jp/,調査継続
,品川区,上大崎４丁目,-,東京都品川区上大崎4-5-37 山京目黒ﾋﾞﾙ312,35.6288726,139.7152537,株式会社建築構造研究所,ビジネスサービス,構造物の耐震，制振，免震技術に関する研究企画，実験検証，製品...,2010/9/17,http://www.bsi-2010.co.jp/,調査継続
,品川区,西五反田１丁目,-,東京都品川区西五反田1-5-1 A-PLACE五反田前4F,35.625671,139.7234095,株式会社Pathee,ビジネスサービス,"地域情報メディア・アプリ「Pathee（パシー）」の運営。
...",2012/1/17,https://corp.pathee.com/,調査継続
,品川区,西五反田１丁目,-,東京都品川区西五反田1-32-11 恒信ﾋﾞﾙ 2F,35.6241675,139.7214768,株式会社ログノート,コンピューター - ソフトウェア,POS連動、アプリ配信、電子レシートを活用したプロモーション...,2014/2/28,http://www.log-note.jp/,調査継続
