指標名,大使館・領事館,,,,,,,
出典,外務省,,,,,,,
年次,2021/3/1取得,,,,,,,
URL,https://www.mofa.go.jp/mofaj/link/emblist/,,,,,,,
備考,（2019年度：144件、2020年度：159件）,,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,英語名,エリア
中央区,日本橋２丁目,日八京,東京都中央区日本橋2-5-1 日本橋高島屋三井ビルディング TDK株式会社内,35.681338,139.773793,在東京ルクセンブルク大公国名誉総領事館,Honorary Consulate-General of the Grand-Duchy of Luxembourg in Tokyo,欧州
中央区,入船２丁目,-,東京都中央区入船2-7-4 政光ビル3階,35.671927,139.778021,サモア独立国大使館,Embassy of the Independent State of Samoa in Japan,大洋州
港区,白金台４丁目,-,東京都港区白金台4丁目7-4 白金台STビル第401号室,35.638122,139.726116,エリトリア国大使館,Embassy of the State of Eritrea in Japan,アフリカ
港区,白金台５丁目,-,東京都港区白金台5丁目9-10,35.641364,139.720086,ジンバブエ共和国大使館,Embassy of the Republic of Zimbabwe in Japan,アフリカ
渋谷区,鉢山町,-,東京都渋谷区鉢山町9-23,35.652251,139.698272,ウガンダ共和国大使館,Embassy of the Republic of Uganda in Japan,アフリカ
渋谷区,鉢山町,-,東京都渋谷区鉢山町12-9,35.651770,139.696738,ギニア共和国大使館,Embassy of the Republic of Guinea in Japan,アフリカ
千代田区,富士見１丁目,-,東京都千代田区富士見1丁目8-9,35.697813,139.744993,東ティモール民主共和国大使館,Embassy of the Democratic Republic of Timor-Leste,アジア
港区,北青山２丁目,-,東京都港区北青山2丁目11-12,35.670838,139.714545,ブラジル連邦共和国大使館,Embassy of the Federative Republic of Brazil in Japan,中南米
品川区,北品川４丁目,-,東京都品川区北品川4丁目8-26,35.619978,139.736183,ミャンマー連邦共和国大使館,Embassy of the Republic of the Union of Myanmar in Japan,アジア
品川区,北品川５丁目,-,東京都品川区北品川5-13-1,35.622727,139.733222,ジブチ共和国大使館,Embassy of the Republic of Djibouti in Japan,アフリカ
品川区,北品川６丁目,-,東京都品川区北品川6丁目5-2,35.625764,139.732738,ブルネイ・ダルサラーム国大使館,Embassy of Brunei Darussalam in Japan,アジア
港区,麻布台１丁目,虎ノ門,東京都港区麻布台1-8-14,35.660103,139.741561,カザフスタン共和国大使館,Embassy of the Republic of Kazakhstan in Japan,欧州
港区,麻布台１丁目,虎ノ門,東京都港区麻布台1-9-10 飯倉ITビル8階,35.659731,139.742601,モルディブ共和国大使館,Embassy of the Republic of Maldives in Japan,アジア
港区,麻布台１丁目,虎ノ門,東京都港区麻布台1-9-10 飯倉ITビル2階,35.659731,139.742601,トンガ王国大使館,Embassy of the Kingdom of Tonga in Japan,大洋州
港区,麻布台２丁目,-,東京都港区麻布台2丁目1-1,35.659432,139.741335,ロシア連邦大使館,Embassy of the Russian Federation in Japan,欧州
港区,麻布台２丁目,-,東京都港区麻布台2-2-1,35.658219,139.742197,アフガニスタン・イスラム共和国大使館,Embassy of the Islamic Republic of Afghanistan in Japan,中東
港区,麻布台２丁目,-,東京都港区麻布台2丁目3-5 ノア・ビルディング14階,35.659135,139.742628,フィジー共和国大使館,Embassy of the Republic of Fiji in Japan,大洋州
港区,麻布台３丁目,-,東京都港区麻布台3-5-7 AMEREXビル,35.659947,139.740360,ナミビア共和国大使館,Embassy of the Republic of Namibia in Japan,アフリカ
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-5-1 日比谷マリンビル 7階,35.674484,139.759698,在東京キプロス共和国名誉総領事館,Honorary Consulate-General of the Republic of Cyprus in Tokyo,欧州
港区,六本木１丁目,虎ノ門,東京都港区六本木1丁目8-4,35.663264,139.739225,サウジアラビア王国大使館,Royal Embassy of Saudi Arabia in Japan,中東
港区,六本木１丁目,虎ノ門,東京都港区六本木1丁目3-29,35.665600,139.741508,スペイン王国大使館,Embassy of the Kingdom of Spain in Japan,欧州
港区,六本木１丁目,虎ノ門,東京都港区六本木1丁目10-3-100,35.664591,139.741788,スウェーデン王国大使館,Embassy of Sweden in Japan,欧州
港区,六本木５丁目,六本木,東京都港区六本木5-15-5,35.659970,139.735460,フィリピン共和国大使館,Embassy of the Republic of the Philippines in Japan,アジア
港区,六本木５丁目,六本木,東京都港区六本木5丁目12-3,35.657508,139.734164,シンガポール共和国大使館,Embassy of the Republic of Singapore in Japan,アジア
