指標名,スーパー,,,,,
出典,NAVITIME,,,,,
年次,2021/2/3取得,,,,,
URL,https://www.navitime.co.jp/,,,,,
備考,（2019年度：327件、2020年度：458件）,,,,,
,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名
中央区,新川１丁目,-,東京都中央区新川1-28-44,35.675752,139.784794,マルエツ プチ 新川一丁目店
中央区,八丁堀２丁目,-,東京都中央区八丁堀2-14-4 ヤブ原ビル,35.676844,139.776875,maruetsu(マルエツ) プチ 八丁堀店
中央区,新川２丁目,-,東京都中央区新川2-1-5 THE WALL,35.677171,139.780056,まいばすけっと 新川2丁目店
中央区,日本橋茅場町３丁目,-,東京都中央区日本橋茅場町3-4-2 KDX茅場町ビル内,35.67835,139.777783,まいばすけっと 茅場町3丁目店
中央区,新川１丁目,-,東京都中央区新川1-17-24 新川中央ビル,35.678369,139.783585,肉のハナマサ 新川店
中央区,日本橋２丁目,日八京,東京都中央区日本橋2-4-1 日本橋高島屋S.C.本館B1F,35.680759,139.773512,明治屋ストアー 日本橋高島屋S.C.店
中央区,日本橋２丁目,日八京,東京都中央区日本橋2丁目4-1,35.680759,139.773512,MEIDI-YA STORE日本橋ストアー
中央区,日本橋２丁目,日八京,東京都中央区日本橋2-5-1 日本橋高島屋S.C.新館B1F,35.681338,139.773793,成城石井 日本橋高島屋S.C.店
中央区,日本橋２丁目,日八京,東京都中央区日本橋2-5-1 日本橋高島屋S.C.新館1F,35.681338,139.773793,紀ノ國屋アントレ 日本橋高島屋S.C.店
中央区,日本橋１丁目,日八京,東京都中央区日本橋1-14-7,35.681763,139.776203,成城石井 日本橋一丁目店
中央区,日本橋蛎殻町１丁目,-,東京都中央区日本橋蛎殻町1-37-12 パークアクシス日本橋ステージ,35.682297,139.78522,まいばすけっと 日本橋蛎殻町店
中央区,日本橋蛎殻町１丁目,-,東京都中央区日本橋蛎殻町1-18-4 アーバネックス日本橋水天宮,35.682317,139.782895,まいばすけっと 蛎殻町1丁目店
中央区,日本橋小網町,-,東京都中央区日本橋小網町15-9 森友第一ビル,35.684348,139.780809,まいばすけっと 日本橋小網町店
中央区,日本橋浜町３丁目,-,東京都中央区日本橋浜町3-3-1,35.68481,139.788348,ピーコック ストア トルナーレ 日本橋浜町店
中央区,日本橋浜町３丁目,-,東京都中央区日本橋浜町3-22-1,35.685585,139.788712,成城石井 日本橋浜町店
中央区,日本橋人形町２丁目,-,東京都中央区日本橋人形町2-7-5,35.686574,139.782951,maruetsu(マルエツ) プチ 人形町駅前店
中央区,日本橋本町２丁目,日八京,東京都中央区日本橋本町2-5-1,35.687321,139.776144,マルエツ プチ 日本橋本町店
中央区,日本橋堀留町１丁目,-,東京都中央区日本橋堀留町1-5-12 ヤシマ日本橋ビル,35.687338,139.779753,まいばすけっと 日本橋堀留町1丁目店
中央区,日本橋浜町２丁目,-,東京都中央区日本橋浜町2-35-4 日本橋パークビル,35.688672,139.786317,まいばすけっと 日本橋浜町2丁目店
中央区,日本橋本町３丁目,日八京,東京都中央区日本橋本町3-4-7 大三新日本橋ビル,35.689029,139.775071,肉のハナマサ 新日本橋店
中央区,日本橋小伝馬町,-,東京都中央区日本橋小伝馬町1-7,35.690135,139.77794,成城石井小伝馬町店
中央区,日本橋本町４丁目,日八京,東京都中央区日本橋本町4-15-9 曽田ビル,35.690234,139.776965,まいばすけっと 日本橋本町4丁目店
中央区,日本橋富沢町,-,東京都中央区日本橋富沢町12-8 昭和ビル,35.690263,139.781649,まいばすけっと 日本橋富沢町店
中央区,日本橋小伝馬町,-,東京都中央区日本橋小伝馬町13-4,35.690914,139.779249,maruetsu(マルエツ) プチ 小伝馬町駅前店
中央区,日本橋横山町,-,東京都中央区日本橋横山町1-3 OKK日本橋ビル,35.691375,139.781737,まいばすけっと 日本橋横山町店
中央区,東日本橋３丁目,-,東京都中央区東日本橋3-11-4,35.692247,139.784414,maruetsu(マルエツ) プチ 東日本橋三丁目店
中央区,日本橋馬喰町１丁目,-,東京都中央区日本橋馬喰町1丁目5-6,35.69247,139.781674,マルマンストア日本橋馬喰町店
千代田区,神田神保町３丁目,-,東京都千代田区神田神保町3-3 神保町SF3ビル1F,35.6953889,139.7543897,成城石井 神保町店
千代田区,神田神保町２丁目,-,東京都千代田区神田神保町2-44,35.698022,139.756317,マルエツプチ 神田神保町二丁目店
千代田区,神田淡路町２丁目,-,東京都千代田区神田淡路町2丁目105,35.697582,139.7679375,Olympic淡路町店
千代田区,神田多町,-,東京都千代田区神田多町2-1 神田東山ビル,35.692978,139.7695467,まいばすけっと 神田駅北口店
千代田区,神田司町,-,東京都千代田区神田司町2-6,35.6937645,139.767883,maruetsu(マルエツ) プチ 神田司町店
千代田区,一番町,-,東京都千代田区一番町6,35.6871781,139.7414119,maruetsu(マルエツ) プチ 一番町店
千代田区,神田東松下町,-,東京都千代田区神田東松下町25 アルファグランデ千桜タワー,35.6948912,139.7743522,まいばすけっと 岩本町駅南店
千代田区,神田駿河台４丁目,-,東京都千代田区神田駿河台4丁目6,35.6986943,139.7663189,成城石井御茶ノ水ソラシティ店
千代田区,神田錦町２丁目,-,東京都千代田区神田錦町2丁目2-1,35.6931252,139.7632042,サミットストア神田スクエア店
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町2-5-1 ルミネ有楽町内,35.673618,139.762731,成城石井 ルミネ有楽町店
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町2丁目10-1(株)東京交通会館地下1階,35.67489,139.764331,JAびえい 美瑛選果 東京有楽町店
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-10-1 有楽町ビル 1F,35.674932,139.761763,有楽町 micro FOOD&IDEA MARKET(マイクロ フード アンド アイデア マーケット)
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町1-3 東京ガーデンテラス紀尾井町・紀尾井テラス2,35.679589,139.736963,成城石井 東京ガーデンテラス紀尾井町店
千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内2-7-2 JPタワー・KITTE B1F,35.679746,139.764784,成城石井 キッテグランシェ店
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内1-9-1 東京駅構内・GRANSTA MARUNOUCHI B1F,35.68173,139.766185,紀ノ国屋アントレ グランスタ丸の内店
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内1-9-1 東京駅構内・GRANSTA TOKYO 1F,35.68173,139.766185,紀ノ国屋アントレ グランスタ店
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内1-9-1 大丸東京店B1F,35.68173,139.766185,明治屋 大丸東京店
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内1-5-1 新丸の内ビルディング(新丸ビル)B1F,35.682543,139.764287,成城石井 新丸ビル店
千代田区,麹町３丁目,-,東京都千代田区麹町3-3-6 麹町フロントビル1F,35.683747,139.738654,成城石井 麹町店
千代田区,麹町３丁目,-,東京都千代田区麹町3-1-8,35.683821,139.739465,ココスナカムラ麹町店
千代田区,二番町,-,東京都千代田区二番町11-10 麹町山王マンション1F,35.685194,139.737433,よしや 番町麹町店
千代田区,大手町１丁目,大丸有,東京都千代田区大手町1-5-5 OOTEMORI B2F,35.685512,139.765398,EPICERIE BONHEUR(エピスリー ボヌール) OOTEMORI店
千代田区,五番町,-,東京都千代田区五番町10-2 五番町センタービル1階,35.689427,139.735006,スーパーマーケット成城石井 市ヶ谷店
千代田区,鍛冶町１丁目,-,東京都千代田区鍛冶町1-2-3,35.689674,139.770251,肉のハナマサ 神田店
千代田区,九段南４丁目,-,東京都千代田区九段南4-2-11,35.691174,139.739802,mini(ミニ)ピアゴ 九段南4丁目店
千代田区,神田錦町１丁目,-,東京都千代田区神田錦町1-1-1,35.692267,139.764487,イオンリテール株式会社 北関東カンパニー
千代田区,九段北４丁目,-,東京都千代田区九段北4-1-3,35.692663,139.740164,リンコス 九段店
千代田区,神田多町,-,東京都千代田区神田多町2丁目7番地2,35.693516,139.769151,業務スーパー 神田店
千代田区,岩本町２丁目,-,東京都千代田区岩本町2-12-5 早川トナカイビル,35.694388,139.776606,まいばすけっと 岩本町2丁目店
千代田区,岩本町３丁目,-,東京都千代田区岩本町3-5-5 ユニゾ岩本町3丁目ビル,35.695119,139.777612,まいばすけっと 岩本町3丁目店
千代田区,神田神保町２丁目,-,東京都千代田区神田神保町2-40-5,35.697815,139.755467,まいばすけっと 神田神保町店
