指標名,スポーツ施設,,,,,,
出典,NAVITIME,,,,,,
年次,2021/2/3取得,,,,,,
URL,https://www.navitime.co.jp/,,,,,,
備考,（2019年度：430件、2020年度：423件）,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,種類
中央区,日本橋人形町３丁目,-,東京都中央区日本橋人形町3-2-3 セイビ人形町ビル別館 1F・3F,35.686275,139.779989,SALUTEM GYM & STRETCH(ソルテム ジム アンド ストレッチ),スポーツクラブ/フィットネスクラブ
中央区,日本橋馬喰町２丁目,-,東京都中央区日本橋馬喰町2-3-2 セントピアビル 1F,35.695466,139.782273,エニタイムフィットネス 日本橋馬喰町店,スポーツクラブ/フィットネスクラブ
中央区,日本橋浜町２丁目,-,東京都中央区日本橋浜町2-59-1,35.68784,139.789352,中央区総合スポーツセンター,スポーツ施設/運動公園
中央区,日本橋浜町３丁目,-,東京都中央区日本橋浜町3-3-1 トルナーレ日本橋浜町 1F(113),35.68481,139.788348,エニタイムフィットネス 日本橋浜町店,スポーツクラブ/フィットネスクラブ
中央区,八丁堀２丁目,-,東京都中央区八丁堀2-30-16 T&Yビル 2・3F,35.67597,139.778821,TRY Fitness & Sports Space(トライ フィットネス アンド スポーツ スペース),スポーツクラブ/フィットネスクラブ
中央区,八丁堀３丁目,-,東京都中央区八丁堀3-17-9,35.675003,139.775879,京華スクエア,スポーツ施設/運動公園
中央区,八丁堀４丁目,-,東京都中央区八丁堀4-9-13 ニチレックビル2階,35.674238,139.777004,FASTGYM24(ファストジム トゥエンティフォー)  八丁堀店,スポーツクラブ/フィットネスクラブ
中央区,豊海町,-,東京都中央区豊海町3-19,35.6534,139.77129,豊海テニス場,スポーツ施設/運動公園
中央区,湊１丁目,-,東京都中央区湊1-1-2 桜川屋上公園内,35.673599,139.779448,桜川ゲートボール場,スポーツ施設/運動公園
中央区,明石町,-,東京都中央区明石町8-1 聖路加タワー B2F,35.667013,139.778628,東急スポーツオアシス聖路加ガーデン店,スポーツクラブ/フィットネスクラブ
千代田区,神田神保町１丁目,-,東京都千代田区神田神保町1-58,35.6985134,139.7572809,ハイテクタウン,スポーツクラブ/フィットネスクラブ
千代田区,神田東紺屋町,-,東京都千代田区神田東紺屋町30 サンハイツ神田キタムラビル3F,35.6930276,139.7745623,24/7Workout 秋葉原・神田店,スポーツクラブ/フィットネスクラブ
千代田区,神田駿河台４丁目,-,東京都千代田区神田駿河台4-3 お茶の水サンクレール 1F,35.69903,139.7648086,Dr.stretch(ドクター ストレッチ) お茶の水店,スポーツクラブ/フィットネスクラブ
