指標名,神社・寺院・教会,,,,,,
出典,NAVITIME,,,,,,
年次,2021/2/2取得,,,,,,
URL,https://www.navitime.co.jp/,,,,,,
備考,（2019年度：685件。2020年度：609件）,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,カテゴリ
新宿区,大久保２丁目,-,東京都新宿区大久保2-29-7,35.70277,139.70569,天理教 分教会 錦開,教会
新宿区,若松町,-,東京都新宿区若松町8-3,35.70012,139.71741,日本基督教団 東京信愛教会,教会
新宿区,百人町１丁目,-,東京都新宿区百人町1-17-8,35.69988,139.69924,淀橋教会,教会
新宿区,新宿７丁目,-,東京都新宿区新宿7丁目26-22,35.69952,139.71077,大久保バプテスト教会,教会
新宿区,新宿７丁目,-,東京都新宿区新宿7丁目2-13,35.69952,139.71077,東京バハイセンター,教会
新宿区,大久保１丁目,-,東京都新宿区大久保1-14-14,35.69948,139.70493,日本福音ルーテル東京教会,教会
新宿区,大久保１丁目,-,東京都新宿区大久保1丁目14-14,35.69948,139.70493,日本福音ルーテル教会婦人会連盟,教会
新宿区,北新宿１丁目,-,東京都新宿区北新宿1-24-12,35.69945,139.69385,日本ホーリネス教団 東京中央教会,教会
新宿区,歌舞伎町２丁目,-,東京都新宿区歌舞伎町2丁目2-19,35.69642,139.70363,純福音東京教会,教会
新宿区,歌舞伎町２丁目,-,東京都新宿区歌舞伎町2-19-11,35.69642,139.70363,日本基督教団 新宿西教会,教会
新宿区,新宿６丁目,-,東京都新宿区新宿6-27-16,35.69536,139.70973,金光教 新宿教会,教会
新宿区,西新宿５丁目,-,東京都新宿区西新宿5丁目13-16,35.69283,139.68551,立正浄法会,教会
新宿区,西新宿５丁目,-,東京都新宿区西新宿5丁目18-4,35.69283,139.68551,天理教 分教会 東日之宮,教会
新宿区,四谷４丁目,-,東京都新宿区四谷4丁目21-10,35.68858,139.71638,金光教 四谷教会,教会
新宿区,四谷４丁目,-,東京都新宿区四谷4丁目18-7,35.68858,139.71638,日の御教東京教会,教会
新宿区,神楽坂５丁目,-,東京都新宿区神楽坂5-36,35.7014537,139.7392967,毘沙門天 善国寺,寺院
新宿区,左門町,-,東京都新宿区左門町18,35.684472,139.721299,陽運寺,寺院
新宿区,早稲田町,-,東京都新宿区早稲田町77,35.7056,139.7244198,龍善寺・真宗大谷派,寺院
新宿区,若葉２丁目,-,東京都新宿区若葉2-9,35.6854582,139.7240108,西念寺,寺院
新宿区,原町１丁目,-,東京都新宿区原町1丁目14,35.6992755,139.7252563,経王寺,寺院
新宿区,神楽坂６丁目,-,東京都新宿区神楽坂6丁目2,35.7025964,139.7380793,安養寺,寺院
新宿区,喜久井町,-,東京都新宿区喜久井町39,35.7036117,139.7210977,感通寺,寺院
新宿区,四谷４丁目,-,東京都新宿区四谷4-34,35.6894241,139.7160301,東長寺,寺院
新宿区,原町２丁目,-,東京都新宿区原町2-34,35.6988384,139.7245526,蓮紹山 瑞光寺,寺院
新宿区,四谷４丁目,-,東京都新宿区四谷4丁目4,35.6867109,139.7178732,笹寺,寺院
新宿区,喜久井町,-,東京都新宿区喜久井町46,35.7047466,139.7202275,来迎寺,寺院
新宿区,舟町,-,東京都新宿区舟町13,35.6899129,139.7208184,西迎寺,寺院
新宿区,原町３丁目,-,東京都新宿区原町3-27,35.7004815,139.7220069,積徳寺,寺院
新宿区,市谷薬王寺町,-,東京都新宿区市谷薬王寺町27,35.6971001,139.7245027,浄栄寺,寺院
新宿区,榎町,-,東京都新宿区榎町77,35.706023,139.727857,済松寺,寺院
新宿区,原町３丁目,-,東京都新宿区原町3-26,35.7002938,139.7223647,専行寺・浄土真宗・大谷派,寺院
新宿区,原町２丁目,-,東京都新宿区原町2丁目30,35.6991282,139.7249415,常楽寺,寺院
新宿区,原町２丁目,-,東京都新宿区原町2丁目63,35.7025161,139.7218822,常泉寺,寺院
新宿区,原町２丁目,-,東京都新宿区原町2-20,35.7007567,139.7240307,幸国寺,寺院
新宿区,原町３丁目,-,東京都新宿区原町3-82,35.7004656,139.7233443,法身寺,寺院
新宿区,弁天町,-,東京都新宿区弁天町1,35.7050533,139.7252678,宗参寺,寺院
新宿区,原町２丁目,-,東京都新宿区原町2丁目62,35.7022819,139.7216784,宗教法人大龍寺,寺院
新宿区,原町１丁目,-,東京都新宿区原町1-30,35.7011193,139.7258265,緑雲寺,寺院
新宿区,原町２丁目,-,東京都新宿区原町2丁目59,35.7019736,139.7222072,専念寺,寺院
新宿区,改代町,-,東京都新宿区改代町11,35.7071667,139.7333674,田中寺,寺院
新宿区,原町２丁目,-,東京都新宿区原町2丁目57,35.7013138,139.723345,常立寺,寺院
新宿区,愛住町,-,東京都新宿区愛住町10,35.6899738,139.7195415,正応寺,寺院
新宿区,市谷薬王寺町,-,東京都新宿区市谷薬王寺町25,35.6970605,139.7241105,長厳寺,寺院
新宿区,喜久井町,-,東京都新宿区喜久井町61,35.7048802,139.7203387,誓閑寺,寺院
新宿区,下落合４丁目,-,東京都新宿区下落合4丁目8-2,35.71946,139.69654,薬王院,寺院
新宿区,上落合３丁目,-,東京都新宿区上落合3丁目4-12,35.71248,139.68351,最勝寺,寺院
新宿区,高田馬場１丁目,-,東京都新宿区高田馬場1丁目12-10,35.7111,139.70641,宗教法人玄國寺,寺院
新宿区,西早稲田１丁目,-,東京都新宿区西早稲田1丁目1-2,35.7097,139.71893,寶泉寺,寺院
新宿区,西早稲田２丁目,-,東京都新宿区西早稲田2丁目1-14,35.70882,139.71297,放生寺,寺院
新宿区,戸山１丁目,-,東京都新宿区戸山1丁目15-2,35.70374,139.71801,清源寺,寺院
新宿区,若松町,-,東京都新宿区若松町38-1,35.70012,139.71741,宝祥寺,寺院
新宿区,市谷山伏町,-,東京都新宿区市谷山伏町1-7,35.70012,139.72821,常敬寺,寺院
新宿区,百人町１丁目,-,東京都新宿区百人町1-5-2,35.69988,139.69924,長光寺,寺院
新宿区,新宿７丁目,-,東京都新宿区新宿7-11-2,35.69952,139.71077,永福寺,寺院
新宿区,大久保１丁目,-,東京都新宿区大久保1-16-15,35.69948,139.70493,全龍寺,寺院
新宿区,河田町,-,東京都新宿区河田町2-5,35.69659,139.72052,月桂寺,寺院
新宿区,新宿６丁目,-,東京都新宿区新宿6-20-16,35.69536,139.70973,法善寺,寺院
新宿区,新宿６丁目,-,東京都新宿区新宿6-20-9,35.69536,139.70973,専福寺,寺院
新宿区,西新宿７丁目,-,東京都新宿区西新宿7-12-5,35.69534,139.69697,常圓寺,寺院
新宿区,富久町,-,東京都新宿区富久町4-5,35.69353,139.71504,自證院,寺院
新宿区,新宿５丁目,-,東京都新宿区新宿5丁目17-3,35.69305,139.70812,大酉祭,寺院
