指標名,駅,,,,,,,,,,
出典,駅情報：駅データ.jp、乗降客数：国土交通省,,,,,,,,,,
年次,2021/2/25取得,,,,,,,,,,
URL,駅情報：https://ekidata.jp/、乗降客数：http://nlftp.mlit.go.jp/ksj/,,,,,,,,,,
備考,新幹線駅除く。乗降客数データは昨年から更新無し。,,,,,,,,,,
,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,駅名,路線,事業者,乗降客数（2018年度）,駅コード（路線別）,駅コード（路線不問）
千代田区,鍛冶町２丁目,-,東京都千代田区鍛冶町二丁目13-1,35.691173,139.770641,神田,JR中央線(快速),東日本旅客鉄道株式会社,"202,680",1131202,1130223
千代田区,鍛冶町２丁目,-,東京都千代田区鍛冶町二丁目13-1,35.691173,139.770641,神田,JR京浜東北線,東日本旅客鉄道株式会社,データ無し（京浜東北線）,1133221,1130223
千代田区,神田鍛冶町,-,東京都千代田区神田須田町一丁目16,35.693587,139.770899,神田,東京メトロ銀座線,東京地下鉄株式会社,"60,720",2800107,1130223
千代田区,神田駿河台４丁目,-,東京都千代田区神田駿河台３丁目,35.698072,139.766014,新御茶ノ水,東京メトロ千代田線,東京地下鉄株式会社,"97,514",2800509,1131203
千代田区,神田淡路町１丁目,-,東京都千代田区神田小川町１-６,35.695487,139.767551,小川町,都営新宿線,東京都交通局,"72,113",9930407,2800207
千代田区,神田花岡町,-,東京都千代田区外神田一丁目17,35.698619,139.773288,秋葉原,JR山手線,東日本旅客鉄道株式会社,データ無し（山手線）,1130222,1130222
千代田区,神田花岡町,-,東京都千代田区外神田一丁目17-6,35.698619,139.773288,秋葉原,JR中央・総武緩行線,東日本旅客鉄道株式会社,"493,246",1131319,1130222
千代田区,神田花岡町,-,東京都千代田区外神田一丁目17-6,35.698619,139.773288,秋葉原,JR京浜東北線,東日本旅客鉄道株式会社,データ無し（京浜東北線）,1133220,1130222
千代田区,神田平河町,-,東京都千代田区神田佐久間町一丁目21,35.698162,139.775459,秋葉原,東京メトロ日比谷線,東京地下鉄株式会社,"125,928",2800307,1130222
千代田区,神田花岡町,-,東京都千代田区神田佐久間町一丁目6-10,35.698889,139.774273,秋葉原,首都圏新都市鉄道つくばエクスプレス,首都圏新都市鉄道株式会社,データ無し（つくばエクスプレス）,9930901,1130222
千代田区,五番町,-,東京都新宿区市谷田町一丁目1,35.691000,139.735583,市ヶ谷,JR中央・総武緩行線,東日本旅客鉄道株式会社,"122,368",1131315,1131315
千代田区,九段北４丁目,-,東京都新宿区市谷田町一丁目1,35.691389,139.736250,市ヶ谷,東京メトロ有楽町線,東京地下鉄株式会社,データ無し,2800614,1131315
千代田区,九段北４丁目,-,東京都新宿区市谷田町一丁目1,35.691556,139.737639,市ヶ谷,都営新宿線,東京都交通局,"98,926",9930404,1131315
千代田区,麹町６丁目,-,東京都新宿区四谷１丁目,35.684586,139.729947,四ツ谷,東京メトロ丸ノ内線,東京地下鉄株式会社,"125,084",2800214,1131102
千代田区,麹町６丁目,-,東京都新宿区四谷一丁目,35.686041,139.730644,四ツ谷,JR中央本線(東京～塩尻),東日本旅客鉄道株式会社,"191,092",1131102,1131102
千代田区,麹町６丁目,-,東京都新宿区四谷一丁目,35.686041,139.730644,四ツ谷,JR中央線(快速),東日本旅客鉄道株式会社,"191,092",1131207,1131102
千代田区,麹町６丁目,-,東京都新宿区四谷一丁目,35.686041,139.730644,四ツ谷,JR中央・総武緩行線,東日本旅客鉄道株式会社,"191,092",1131314,1131102
千代田区,霞が関２丁目,虎ノ門広域,東京都千代田区霞が関二丁目1-1,35.677405,139.751490,桜田門,東京メトロ有楽町線,東京地下鉄株式会社,"13,114",2800617,2800617
千代田区,永田町１丁目,赤坂,東京都千代田区永田町１丁目,35.673930,139.745219,国会議事堂前,東京メトロ丸ノ内線,東京地下鉄株式会社,データ無し,2800212,2800212
千代田区,永田町１丁目,赤坂,東京都千代田区永田町１丁目,35.673930,139.745219,国会議事堂前,東京メトロ千代田線,東京地下鉄株式会社,"41,233",2800514,2800212
千代田区,麹町４丁目,-,東京都千代田区麹町三丁目2,35.684006,139.737613,麹町,東京メトロ有楽町線,東京地下鉄株式会社,"65,797",2800615,2800615
千代田区,神田駿河台４丁目,-,東京都千代田区神田駿河台２丁目,35.699605,139.764955,御茶ノ水,JR中央線(快速),東日本旅客鉄道株式会社,"209,632",1131203,1131203
千代田区,神田駿河台４丁目,-,東京都千代田区神田駿河台２丁目,35.699605,139.764955,御茶ノ水,JR中央・総武緩行線,東日本旅客鉄道株式会社,"209,632",1131318,1131203
千代田区,九段北１丁目,-,東京都千代田区九段南１-６-１,35.695589,139.751948,九段下,東京メトロ東西線,東京地下鉄株式会社,"176,675",2800407,2800407
千代田区,九段北１丁目,-,東京都千代田区九段南１-６-１,35.695589,139.751948,九段下,東京メトロ半蔵門線,東京地下鉄株式会社,データ無し,2800806,2800407
千代田区,九段北１丁目,-,東京都千代田区九段南１-６-１,35.695589,139.751948,九段下,都営新宿線,東京都交通局,"111,410",9930405,2800407
千代田区,岩本町３丁目,-,東京都千代田区神田岩本町１,35.695534,139.775866,岩本町,都営新宿線,東京都交通局,"53,741",9930408,9930408
千代田区,霞が関２丁目,虎ノ門広域,東京都千代田区霞が関２丁目,35.673838,139.750899,霞ヶ関,東京メトロ丸ノ内線,東京地下鉄株式会社,データ無し,2800211,2800211
千代田区,霞が関２丁目,虎ノ門広域,東京都千代田区霞が関２丁目,35.673838,139.750899,霞ヶ関,東京メトロ日比谷線,東京地下鉄株式会社,"150,628",2800316,2800211
千代田区,霞が関２丁目,虎ノ門広域,東京都千代田区霞が関２丁目,35.673838,139.750899,霞ヶ関,東京メトロ千代田線,東京地下鉄株式会社,データ無し,2800513,2800211
千代田区,永田町１丁目,赤坂,東京都千代田区永田町一丁目11-28,35.678757,139.740258,永田町,東京メトロ有楽町線,東京地下鉄株式会社,データ無し,2800616,2800115
千代田区,永田町１丁目,赤坂,東京都千代田区永田町一丁目11-29,35.678757,139.740258,永田町,東京メトロ半蔵門線,東京地下鉄株式会社,データ無し,2800804,2800115
千代田区,永田町１丁目,赤坂,東京都千代田区永田町一丁目11-28,35.678757,139.740258,永田町,東京メトロ南北線,東京地下鉄株式会社,"82,091",2800913,2800115
新宿区,西落合３丁目,-,東京都新宿区西落合３-１-１８,35.723608,139.683303,落合南長崎,都営大江戸線,東京都交通局,"27,147",9930133,9930133
新宿区,上落合２丁目,-,東京都新宿区上落合２-１３-７,35.710976,139.687284,落合,東京メトロ東西線,東京地下鉄株式会社,"26,317",2800402,2800402
新宿区,西早稲田３丁目,-,東京都新宿区西早稲田３,35.712981,139.714444,面影橋,都営都電荒川線,東京都交通局,822,9930529,9930529
新宿区,神楽河岸,-,東京都新宿区神楽坂一丁目13,35.701934,139.743669,飯田橋,東京メトロ有楽町線,東京地下鉄株式会社,データ無し,2800613,1131316
新宿区,神楽河岸,-,東京都新宿区神楽坂一丁目13,35.701934,139.743669,飯田橋,東京メトロ南北線,東京地下鉄株式会社,データ無し,2800910,1131316
新宿区,新宿７丁目,-,東京都新宿区新宿７-２７-３,35.698915,139.707593,東新宿,東京メトロ副都心線,東京地下鉄株式会社,"41,695",2801012,2801012
新宿区,新宿６丁目,-,東京都新宿区新宿７-２７-３,35.697920,139.707549,東新宿,都営大江戸線,東京都交通局,"41,560",9930103,2801012
新宿区,西新宿２丁目,-,東京都新宿区西新宿２-８-１,35.690551,139.692570,都庁前,都営大江戸線,東京都交通局,"50,008",9930101,9930101
新宿区,中落合１丁目,-,東京都新宿区中落合１-１９-１,35.715106,139.686967,中井,西武新宿線,西武鉄道株式会社,"29,104",2200704,2200704
新宿区,上落合２丁目,-,東京都新宿区中落合１-１９-１,35.714035,139.686356,中井,都営大江戸線,東京都交通局,"25,482",9930132,2200704
新宿区,百人町１丁目,-,東京都新宿区百人町１丁目,35.700784,139.697320,大久保,JR中央・総武緩行線,東日本旅客鉄道株式会社,"52,840",1131309,1131309
新宿区,早稲田町,-,東京都新宿区早稲田南町12,35.705723,139.721319,早稲田,東京メトロ東西線,東京地下鉄株式会社,"82,370",2800404,2800404
新宿区,西早稲田１丁目,-,東京都新宿区西早稲田一丁目,35.711848,139.718928,早稲田,都営都電荒川線,東京都交通局,"3,179",9930530,9930530
新宿区,歌舞伎町１丁目,-,東京都新宿区歌舞伎町１-３０-１,35.696254,139.700000,西武新宿,西武新宿線,西武鉄道株式会社,"180,884",2200701,2200701
