指標名,ミシュラン掲載レストラン,,,,,,,,,,,,
出典,ミシュランガイド東京 2021,,,,,,,,,,,,
年次,2021年,,,,,,,,,,,,
URL,https://japanguide.michelin.co.jp/restaurant/tokyo/,,,,,,,,,,,,
備考,,,,,,,,,,,,,
,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,店舗名,星数,カテゴリ,エリア,URL,価格帯,電話番号,その他
中央区,銀座７丁目,-,東京都中央区銀座 7-5-5,35.669860,139.76134,ロオジエ,★★★,フランス料理 ,銀座,https://losier.shiseido.co.jp/,"昼＝13,000-26,000円　夜＝26,000-44,000円",要予約,-
中央区,銀座７丁目,-,東京都中央区銀座 7-4-5 銀座745ビル 3F,35.670136,139.76114,銀座 きた福,★,蟹料理 ,銀座,-,"昼＝30,000-61,000円　夜＝30,000-61,000円",要予約,-
中央区,銀座７丁目,-,東京都中央区銀座 7-8-13 Brown Place 9F,35.668884,139.76202,鮨 よしたけ,★★★,寿司 ,銀座,http://sushi-yoshitake.com/,"夜＝38,000円",要予約,カウンター席が主体
中央区,銀座７丁目,-,東京都中央区銀座 7-6-2 銀座門ビル 5F,35.669911,139.76217,鮨 むらやま,★,寿司 ,銀座,https://sushi-murayama.jp/,"夜＝30,000円",要予約,カウンター席が主体
中央区,銀座７丁目,-,東京都中央区銀座 7-13-2 ティアラグレイス銀座タワー 2F,35.668143,139.76467,尹家,★,韓国料理 ,銀座,-,"夜＝18,000-27,000円",要予約,-
中央区,銀座８丁目,-,東京都中央区銀座 8-7-19 すずりゅうビル 3F,35.668476,139.76097,御料理 かつ志,★,日本料理 ,銀座,-,"夜＝17,000円",要予約,カウンター席が主体
中央区,銀座８丁目,-,東京都中央区銀座 8-8-3 東京銀座資生堂ビル 10F,35.668556,139.76188,ファロ,★,イタリア料理 ,銀座,https://faro.shiseido.co.jp/,"昼＝5,500円　夜＝14,000-17,000円",要予約,-
中央区,銀座８丁目,-,東京都中央区銀座 8-7-2 銀座藤井ビル2 3F,35.668824,139.76146,てんぷら 阿部 8丁目店,ビブグルマン,天ぷら ,銀座,-,"昼＝1,000-4,000円　夜＝5,000-9,000円",-,-
中央区,銀座８丁目,-,東京都中央区銀座 8-10-3 銀座三鈴ビル B1F,35.667985,139.76262,鮨 かねさか,★★,寿司 ,銀座,http://www.sushi-kanesaka.com/,"昼＝30,000-40,000円　夜＝30,000-40,000円",要予約,カウンター席が主体
中央区,銀座８丁目,-,東京都中央区銀座 8-3-1 銀座時傳 6F,35.669228,139.75925,青空,★★,寿司 ,銀座,-,"夜＝30,000-40,000円",要予約,カウンター席が主体
中央区,銀座８丁目,-,東京都中央区銀座 8-7-2 銀座藤井ビル2 5F,35.668824,139.76146,オステリア ダ カッパ,ビブグルマン,イタリア料理 ,銀座,http://ginzakappa.com/,"夜＝4,000-6,000円",要予約,-
中央区,銀座８丁目,-,東京都中央区銀座 8-7-6 平つかビル 3F,35.668553,139.76120,鮨 くわ野,★,寿司 ,銀座,-,"夜＝31,000-33,000円",要予約,カウンター席が主体
中央区,銀座８丁目,-,東京都中央区銀座 8-7-2 堀越ビル 4F,35.668824,139.76146,銀座 いしざき,★,牛肉料理 ,銀座,http://www.ginza-ishizaki.jp/,"夜＝27,000-43,000円",要予約,カウンター席が主体
中央区,銀座８丁目,-,東京都中央区銀座 8-8-19 伊勢由ビル 5F,35.668480,139.76158,銀座 福樹,★★,日本料理 ,銀座,-,"夜＝37,000-61,000円",要予約,カウンター席が主体
中央区,銀座８丁目,-,東京都中央区銀座 8-18-6,35.666175,139.76485,手打ち蕎麦 成冨,ビブグルマン,蕎麦 ,銀座,-,"昼＝1,000-5,000円　夜＝3,000-5,000円",-,-
中央区,月島３丁目,-,東京都中央区月島 3-9-7,35.663214,139.78144,矢もり,★,蕎麦 ,月島,-,"昼／夜＝10,000円",要予約,カウンター席が主体
中央区,新富１丁目,-,東京都中央区新富 1-8-2,35.672920,139.77448,鮨 はしもと,★,寿司 ,築地,https://www.omakase-japan.jp/stores/10006,"昼＝27,000円　夜＝27,000円",要予約,カウンター席が主体
中央区,新富２丁目,-,東京都中央区新富 2-5-5,35.671591,139.77402,久丹,★★,日本料理 ,築地,-,"夜＝31,000-34,000円",要予約,カウンター席が主体
中央区,築地１丁目,-,東京都中央区築地 1-12-16,35.668456,139.77005,つきじ 文化人,ビブグルマン,蕎麦 ,築地,http://www.bizserver1.com/bunkajin/,"昼＝1,000-3,000円　夜＝1,000-5,000円",-,-
中央区,築地１丁目,-,東京都中央区築地 1-12-15,35.668327,139.77025,御座敷てんぷら 三ツ田,★,天ぷら ,築地,-,"昼＝17,000円　夜＝20,000円",要予約,-
中央区,築地３丁目,-,東京都中央区築地 3-16-9 アーバンメイツビル B1F,35.666225,139.77135,清壽,★,天ぷら ,築地,-,"夜＝24,000円",要予約,カウンター席が主体
中央区,築地６丁目,-,東京都中央区築地 6-6-4,35.665483,139.77364,鮨 桂太,★,寿司 ,築地,-,"昼＝5,500-19,000円　夜＝19,000円",要予約,カウンター席が主体
中央区,東日本橋２丁目,-,東京都中央区東日本橋 2-8-1,35.693202,139.78555,ミル,ビブグルマン,フランス料理 ,人形町・小伝馬町,-,"夜＝5,000-8,000円",要予約,カウンター席が主体
中央区,日本橋蛎殻町１丁目,-,東京都中央区日本橋蛎殻町 1-24-4,35.681600,139.78409,ロワゾー,ビブグルマン,焼鳥 ,人形町・小伝馬町,https://www.loiseau-tokyo.com/,"夜＝3,000-5,000円",要予約,-
中央区,日本橋蛎殻町１丁目,-,東京都中央区日本橋蛎殻町 1-33-6 ビューハイツ日本橋 B1F,35.681850,139.78499,日本橋蛎殻町 すぎた,★,寿司 ,人形町・小伝馬町,-,"昼＝34,000円　夜＝34,000円",要予約,カウンター席が主体
中央区,日本橋蛎殻町１丁目,-,東京都中央区日本橋蛎殻町 1-30-2,35.682702,139.78380,高柿の鮨,★,寿司 ,人形町・小伝馬町,-,"昼＝11,000-13,000円　夜＝23,000-25,000円",要予約,カウンター席が主体
中央区,日本橋兜町,-,東京都中央区日本橋兜町 1-4,35.682703,139.77940,アサヒナガストロノーム,★,フランス料理 ,茅場町,https://asahinagastronome.com/,"昼＝8,000-13,000円　夜＝15,000-37,000円",要予約,-
中央区,日本橋室町１丁目,日八京,東京都中央区日本橋室町 1-9-4 B1F,35.685099,139.77556,ラ ペ,★,フランス料理 ,三越前,https://lapaix-m.jp/,"昼＝7,500円　夜＝16,000円",要予約,-
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町 2-1-1 マンダリン オリエンタル 38F,35.686796,139.77298,ピッツァバー on 38th,ビブグルマン,ピッツァ ,三越前,-,"昼＝5,000-8,000円　夜＝5,000-8,000円",要予約,カウンター席が主体
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町 2-1-1 マンダリン オリエンタル 37F,35.686796,139.77298,センス,★,中国料理 ,三越前,-,"昼＝5,500-20,000円　夜＝19,000-64,000円",要予約,-
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町 2-1-1 マンダリン オリエンタル 37F,35.686796,139.77298,シグネチャー,★,フランス料理 ,三越前,-,"昼＝7,500-17,000円　夜＝21,000-28,000円",要予約,-
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町 2-1-1 マンダリン オリエンタル 38F,35.686796,139.77298,タパス モラキュラーバー,★,イノベーティブ ,三越前,-,"夜＝32,000円",要予約,カウンター席が主体
中央区,日本橋小舟町,-,東京都中央区日本橋小舟町 11-11,35.687199,139.77857,おにく 花柳,★,牛肉料理 ,人形町・小伝馬町,http://www.karyu-tokyo.com/,"夜＝20,000-22,000円",要予約,-
中央区,日本橋小網町,-,東京都中央区日本橋小網町 11-9,35.682590,139.78114,ロットチェント,ビブグルマン,イタリア料理 ,人形町・小伝馬町,-,"昼＝1,500-4,000円　夜＝4,000-6,000円",-,-
中央区,日本橋人形町２丁目,-,東京都中央区日本橋人形町 2-22-11,35.686293,139.78455,日本橋 蕎ノ字,★,天ぷら ,人形町・小伝馬町,http://www.sonoji.info/,"昼＝17,000-21,000円　夜＝21,000円",要予約,カウンター席が主体
中央区,日本橋人形町２丁目,-,東京都中央区日本橋人形町 2-11-9,35.685387,139.78450,アンファス,ビブグルマン,フランス料理 ,人形町・小伝馬町,-,"夜＝4,000-6,000円",要予約,カウンター席が主体
中央区,日本橋人形町３丁目,-,東京都中央区日本橋人形町 3-4-11,35.686227,139.78147,かつ好,ビブグルマン,とんかつ ,人形町・小伝馬町,http://www.katuyoshi.com/,"昼＝2,000-7,000円　夜＝2,000-7,000円",要予約,-
中央区,日本橋人形町３丁目,-,東京都中央区日本橋人形町 3-13-5,35.687079,139.78281,濱田家,★,日本料理 ,人形町・小伝馬町,https://www.hamadaya.info/,"昼＝19,000-32,000円　夜＝40,000-66,000円",要予約,-
中央区,日本橋箱崎町,-,東京都中央区日本橋箱崎町 27-5,35.680081,139.78703,天ぷら つじ村,ビブグルマン,天ぷら ,人形町・小伝馬町,-,"昼＝1,500-5,500円　夜＝3,000-8,000円",-,カウンター席が主体
中央区,日本橋浜町３丁目,-,東京都中央区日本橋浜町 3-7-3,35.684078,139.78831,浜町 かねこ,ビブグルマン,蕎麦 ,人形町・小伝馬町,https://www.hamachokaneko.com/,"昼＝1,000-4,000円　夜＝1,000-4,000円",-,-
中央区,日本橋富沢町,-,東京都中央区日本橋富沢町 10-15,35.689617,139.78236,ラ ブーシュリー グートン,ビブグルマン,フランス料理 ,人形町・小伝馬町,http://goutons.com/,"夜＝5,000-7,000円",要予約,-
中央区,日本橋富沢町,-,東京都中央区日本橋富沢町 16-3,35.688085,139.78440,YAMATO,ビブグルマン,居酒屋 ,人形町・小伝馬町,-,"夜＝4,500-7,000円",要予約,-
中央区,八重洲２丁目,日八京,東京都中央区八重洲 2-7-9,35.677159,139.76854,ダバ インディア,ビブグルマン,インド料理 ,東京駅（八重洲）,-,"昼＝1,000-4,000円　夜＝3,000-4,000円",-,-
中央区,八丁堀２丁目,-,東京都中央区八丁堀 2-1-9,35.676784,139.77438,ブラッスリー ギョラン,ビブグルマン,フランス料理 ,八丁堀,http://gyoran.com/,"昼＝1,500-5,000円　夜＝5,000-8,000円",要予約,-
中央区,八丁堀４丁目,-,東京都中央区八丁堀 4-2-8,35.674318,139.77341,四季の食 さいとう,ビブグルマン,日本料理 ,八丁堀,http://shikinosyoku-saito.com/,"昼＝1,500円以下　夜＝4,500-9,000円",-,カウンター席が主体
中央区,湊３丁目,-,東京都中央区湊 3-5-10,35.669634,139.77820,旬恵庵 あら垣,★,天ぷら ,築地,-,"昼＝16,000円　夜＝16,000円",要予約,カウンター席が主体
千代田区,神田小川町２丁目,-,東京都千代田区神田小川町 2-8,35.695172,139.76389,ポンチ軒,ビブグルマン,とんかつ ,神保町,https://www.ponchiken.jp/,"昼＝1,500-3,000円　夜＝2,000-4,000円",-,-
千代田区,神田須田町１丁目,-,東京都千代田区神田須田町 1-16-4,35.695334,139.77073,眠庵,ビブグルマン,蕎麦 ,神田,http://www.nemurian.net/,"夜＝1,500-3,000円",要予約,-
千代田区,神田神保町１丁目,-,東京都千代田区神田神保町 1-6 サンビル B1F,35.696202,139.75936,共栄堂,ビブグルマン,カレー ,神保町,https://www.kyoueidoo.com/,"昼／夜＝1,000-3,000円",-,-
千代田区,神田富山町,-,東京都千代田区神田富山町 29,35.693381,139.77378,丸山吉平,ビブグルマン,とんかつ ,神田,-,"昼＝1,500-6,000円",-,-
千代田区,神田神保町３丁目,-,東京都千代田区神田神保町 3-1-19,35.695514,139.75489,神保町 黒須,ビブグルマン,ラーメン ,神保町,-,"昼＝1,500円以下　夜＝1,500円以下",-,カウンター席が主体
千代田区,外神田１丁目,-,東京都千代田区外神田 1-8-14,35.699146,139.76972,丸五,ビブグルマン,とんかつ ,秋葉原,-,"昼＝2,000-3,000円　夜＝2,000-3,000円",-,-
千代田区,外神田３丁目,-,東京都千代田区外神田 3-6-8,35.702794,139.76990,いし橋,★,すき焼 ,秋葉原,-,"夜＝14,000-17,000円",要予約,-
