指標名,コワーキング施設,,,参考情報,「TOKYOテレワークアプリ」に掲載されているサテライトオフィス一覧も公開されている。,,
出典,コワーキングスペース検索,,,,https://catalog.data.metro.tokyo.lg.jp/dataset/t000012d0000000019/resource/26213e3e-9275-4208-b7e7-be71a6d35a60,,
年次,2021/1/15取得,,,,,,
URL,https://coworking-search.jp/zenkoku/,,,,,,
備考,より掲載数の多い出典に変更。,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,URL
千代田区,神田神保町２丁目,,"東京都千代田区神田神保町2丁目3-1 神保町ブックセンター 1F,3F",35.6957485,139.7575553,LEAGUE神保町,https://coworking-search.jp/space/1522/
千代田区,神田神保町２丁目,,東京都千代田区神田神保町2-12-3 安富ビル,35.6965764,139.7568991,EDITORY 神保町,https://coworking-search.jp/space/1129/
千代田区,神田神保町２丁目,,"東京都千代田区神田神保町2-2 B1,3F",35.6962498,139.7572421,東京レンタル自習室 神保町,https://coworking-search.jp/space/1612/
千代田区,神田神保町１丁目,,東京都千代田区神田神保町1-4-6 クロサワビル6F,35.6961937,139.7598371,コワーキングスペース『BasisPoint 神保町』,https://coworking-search.jp/space/1420/
千代田区,神田小川町２丁目,,東京都千代田区神田小川町2-1 檜ビル3F,35.6939907,139.765003,シェアオフィスKOTO-BA,https://coworking-search.jp/space/707/
千代田区,神田小川町１丁目,,東京都千代田区神田小川町1-6-1 宝ビル8F,35.6952026,139.7662812,イノバゼスト 神田,https://coworking-search.jp/space/1630/
千代田区,神田小川町１丁目,,東京都千代田区神田小川町1-8-3 小川町北ビル 3F〜5F、7F,35.6950538,139.7657371,THE OFFICE 神田,https://coworking-search.jp/space/172/
千代田区,神田司町２丁目,,東京都千代田区神田司町2-13,35.6941903,139.7672788,ワイムビジネスプラザ神田,https://coworking-search.jp/space/446/
千代田区,神田三崎町３丁目,,東京都千代田区神田三崎町3-1-3 一輝ビル 3F,35.6991212,139.7530095,シェアオフィスMIXER 神保町・水道橋,https://coworking-search.jp/space/639/
千代田区,神田三崎町２丁目,,"東京都千代田区神田三崎町2-12-9 B1,2F,3F,4F,5F",35.7010103,139.753702,東京レンタル自習室 水道橋,https://coworking-search.jp/space/1613/
千代田区,神田三崎町２丁目,,東京都千代田区神田三崎町2-17-8 ドメス水道橋（旧皆川ビル）,35.7013869,139.7532743,BIZcomfort 水道橋,https://coworking-search.jp/space/1902/
千代田区,神田三崎町１丁目,,東京都千代田区神田三崎町1-3-12 水道橋ビル1F,35.7008314,139.755981,Be Smart 水道橋,https://coworking-search.jp/space/2269/
千代田区,神田佐久間町１丁目,,東京都千代田区神田佐久間町1-14 第2東ビル303,35.697792,139.774374,秋葉原コワーキングスペース「Rampart」,https://coworking-search.jp/space/1400/
千代田区,神田佐久間,,東京都千代田区神田佐久間河岸78-3 柴田ビル3階,35.6970744,139.778048,アイラボ・シェアオフィス 秋葉原,https://coworking-search.jp/space/1535/
千代田区,神田錦町２丁目,,東京都千代田区神田錦町2-4 ダヴィンチ小川町 3F,35.6938175,139.7637351,FUSION_N,https://coworking-search.jp/space/1531/
千代田区,神田錦町１丁目,,東京都千代田区神田錦町1-17-1 神田髙木ビル7階,35.6911431,139.7638304,BIRTH 神田,https://coworking-search.jp/space/1946/
千代田区,麹町４丁目,,東京都千代田区麹町4-8 高善ビル5F,35.684626,139.736183,未来ファクトリー,https://coworking-search.jp/space/494/
千代田区,麹町２丁目,,東京都千代田区麹町2丁目10-3 エキスパートオフィス麹町,35.6850703,139.7404426,EXPERT OFFICE 麹町,https://coworking-search.jp/space/591/
千代田区,麹町２丁目,,東京都千代田区麹町2-2-4 麹町セントラルビル4F,35.6845112,139.7409392,CーWORK 半蔵門,https://coworking-search.jp/space/1451/
千代田区,九段南２丁目,,東京都千代田区九段南2-4-11,35.6933988,139.7442486,HIVE TOKYO,https://coworking-search.jp/space/546/
千代田区,九段南１丁目,,東京都千代田区九段南1-5-6 りそな九段ビル5F KSフロア,35.6950824,139.751761,ナレッジソサエティ,https://coworking-search.jp/space/344/
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町1-3 東京ガーデンテラス17F,35.6799926,139.7379363,オープンコラボレーションスペース「LODGE」永田町,https://coworking-search.jp/space/1332/
千代田区,岩本町３丁目,,東京都千代田区岩本町3-8-8 中和秋葉原ビル,35.6963905,139.7771091,BIZcomfort 秋葉原岩本町,https://coworking-search.jp/space/1900/
千代田区,岩本町３丁目,,東京都千代田区岩本町3-6-5 木所ビル 3階,35.6961276,139.7780114,GARAGE 秋葉原,https://coworking-search.jp/space/1495/
千代田区,岩本町１丁目,,東京都千代田区岩本町1-2-13 渡東ビルディング3F,35.6917133,139.7763505,シェアル岩本町,https://coworking-search.jp/space/2000/
千代田区,岩本町１丁目,,東京都千代田区岩本町1-3-1 神田ビジネスセンター,35.6916044,139.7751987,神田ビジネスセンター,https://coworking-search.jp/space/173/
