指標名,駅,,,,,,,,,,
出典,駅情報：駅データ.jp、乗降客数：国土交通省,,,,,,,,,,
年次,2020/3/11取得,,,,,,,,,,
URL,駅情報：https://ekidata.jp/、乗降客数：http://nlftp.mlit.go.jp/ksj/,,,,,,,,,,
備考,新幹線駅除く。乗降客数は基本的に1事業者1駅1データ。,,,,,,,,,,
,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,駅名,路線,事業者,乗降客数,駅コード（路線別）,駅コード（路線不問）
千代田区,神田神保町２丁目,-,東京都千代田区神田神保町２-２-１５,35.695966,139.757606,神保町,都営新宿線,東京都交通局,-,9930406,2800807
千代田区,神田駿河台４丁目,-,東京都千代田区神田駿河台４-５-３,35.699605,139.764955,御茶ノ水,JR中央線(快速),JR東日本,"209,632",1131203,1131203
千代田区,神田駿河台４丁目,-,東京都千代田区神田駿河台４-５-３,35.699605,139.764955,御茶ノ水,JR中央・総武緩行線,JR東日本,-,1131318,1131203
千代田区,神田駿河台４丁目,-,東京都千代田区神田駿河台４-２-８,35.698072,139.766014,新御茶ノ水,東京メトロ千代田線,東京メトロ,"97,514",2800509,1131203
千代田区,神田花岡町,-,東京都千代田区神田花岡町１-１,35.698889,139.774273,秋葉原,首都圏新都市鉄道つくばエクスプレス,首都圏新都市鉄道,"133,000",9930901,1130222
渋谷区,神泉町,-,東京都渋谷区神泉町４-５,35.657244,139.693579,神泉,京王井の頭線,京王電鉄,"10,702",2400602,2400602
渋谷区,神宮前６丁目,-,東京都渋谷区神宮前６-３１-１５,35.669071,139.703995,明治神宮前,東京メトロ千代田線,東京メトロ,"105,537",2800518,1130206
渋谷区,神宮前１丁目,-,東京都渋谷区神宮前１-１８-２０,35.670646,139.702592,原宿,JR山手線,JR東日本,"152,168",1130206,1130206
渋谷区,神宮前１丁目,-,東京都渋谷区神宮前１-１１-８,35.668497,139.705367,明治神宮前,東京メトロ副都心線,東京メトロ,-,2801015,1130206
新宿区,新宿７丁目,-,東京都新宿区新宿７-２７-１１,35.698915,139.707593,東新宿,東京メトロ副都心線,東京メトロ,"41,695",2801012,2801012
新宿区,新宿６丁目,-,東京都新宿区新宿６-２９-１１,35.69792,139.707549,東新宿,都営大江戸線,東京都交通局,"41,560",9930103,2801012
新宿区,新宿３丁目,-,東京都新宿区新宿３-２４-５,35.69235,139.700711,新宿,東京メトロ丸ノ内線,東京メトロ,"236,657",2800218,1130208
新宿区,新宿３丁目,-,東京都新宿区新宿３-３８-２,35.689729,139.700464,新宿,JR山手線,JR東日本,"1,538,614",1130208,1130208
新宿区,新宿３丁目,-,東京都新宿区新宿３-３８-２,35.689729,139.700464,新宿,JR中央本線(東京～塩尻),JR東日本,-,1131103,1130208
新宿区,新宿３丁目,-,東京都新宿区新宿３-３８-２,35.689729,139.700464,新宿,JR中央線(快速),JR東日本,-,1131211,1130208
新宿区,新宿３丁目,-,東京都新宿区新宿３-３８-２,35.689729,139.700464,新宿,JR中央・総武緩行線,JR東日本,-,1131310,1130208
新宿区,新宿３丁目,-,東京都新宿区新宿３-３８-２,35.689729,139.700464,新宿,JR埼京線,JR東日本,-,1132104,1130208
新宿区,新宿３丁目,-,東京都新宿区新宿３-３８-２,35.689729,139.700464,新宿,JR成田エクスプレス,JR東日本,-,1132806,1130208
新宿区,新宿３丁目,-,東京都新宿区新宿３-３８-２,35.689729,139.700464,新宿,JR湘南新宿ライン,JR東日本,-,1133304,1130208
新宿区,新宿３丁目,-,東京都新宿区新宿３-１-２０,35.690847,139.704895,新宿三丁目,東京メトロ丸ノ内線,東京メトロ,"163,044",2800217,2800217
新宿区,新宿３丁目,-,東京都新宿区新宿３-３０-１８,35.690853,139.704828,新宿三丁目,東京メトロ副都心線,東京メトロ,-,2801013,2800217
