指標名,バス停,,,,,,,,,,,,
出典,NAVITIME,,,,,,,,,,,,
年次,2020/3/10取得,,,,,,,,,,,,
URL,https://www.navitime.co.jp/,,,,,,,,,,,,
備考,路線ごとに1データあるので、単純な駅数が知りたい場合は「1÷路線数」を合計,,,,,,,,,,,,
,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,路線数,1÷路線数,事業者,路線名,方面①,方面②,およそ住所
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町１-８-１,35.674776,139.760615,ザ・ペニンシュラ東京,2,0.50 ,空港連絡バス,２３区内エリア-成田空港(銀座・汐留),成田空港第１ターミナル北ウィング方面,,東京都千代田区有楽町
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町１-８-１,35.674776,139.760615,ザ・ペニンシュラ東京,2,0.50 ,空港連絡バス,２３区内エリア-羽田空港(日比谷),羽田空港国際線ターミナル〔バス〕方面,,東京都千代田区有楽町
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町１-５-２,35.674353,139.760432,日比谷,3,0.33 ,都営バス,都０３,晴海埠頭方面,四谷駅方面,東京都千代田区有楽町
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町１-５-２,35.674353,139.760432,日比谷,3,0.33 ,東急バス,東98,等々力操車所方面,東京駅丸の内南口方面,東京都千代田区有楽町
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町１-５-２,35.674353,139.760432,日比谷,3,0.33 ,日の丸自動車,丸の内シャトル,新国際ビル方面,,東京都千代田区有楽町
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町１-１１-１,35.675493,139.762633,有楽町駅前,5,0.20 ,都営バス,都０４,豊海水産埠頭方面,東京駅丸の内南口方面,東京都千代田区有楽町
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町１-１１-１,35.675493,139.762633,有楽町駅前,5,0.20 ,都営バス,都０５-１,晴海埠頭方面,東京駅丸の内南口方面,東京都千代田区有楽町
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町１-１１-１,35.675493,139.762633,有楽町駅前,5,0.20 ,都営バス,都０５-２,東京ビッグサイト〔バス〕方面,東京駅丸の内南口方面,東京都千代田区有楽町
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町１-１１-１,35.675493,139.762633,有楽町駅前,5,0.20 ,都営バス,深夜１３,有明一丁目方面,東京駅丸の内南口方面,東京都千代田区有楽町
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町１-１１-１,35.675493,139.762633,有楽町駅前,5,0.20 ,日立自動車交通,晴海ライナー,晴海トリトンスクエア〔晴海ライナー〕方面,,東京都千代田区有楽町
