指標名,スーパー,,,,,
出典,NAVITIME,,,,,
年次,2020/2/26取得,,,,,
URL,https://www.navitime.co.jp/,,,,,
備考,,,,,,
,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名
新宿区,港南４丁目,-,東京都新宿区若松町28-5,35.62965,139.746708,ライフ 若松河田駅前店
渋谷区,港南５丁目,-,東京都渋谷区東1-26-22,35.629668,139.755276,ライフ 渋谷東店
千代田区,港南５丁目,-,東京都千代田区神田和泉町2-13,35.627364,139.7565045,ライフ 神田和泉町店
渋谷区,港南５丁目,-,東京都渋谷区幡ヶ谷2-17-1,35.628075,139.7566845,ライフ 幡ヶ谷店
渋谷区,高輪１丁目,-,東京都渋谷区代々木2-23-1 ニューステートメナービル1F,35.644536,139.7356065,リマ 新宿店
中央区,高輪１丁目,-,東京都中央区佃1-11-8 リバーシティー21 ピアウェスト,35.637741,139.7335725,リンコス リバーシティ店
千代田区,高輪１丁目,-,東京都千代田区九段北4-1-3,35.637435,139.731939,リンコス 九段店
港区,高輪２丁目,-,東京都港区高輪1-27-37,35.635797,139.7382975,リンコス 高輪店
港区,高輪２丁目,-,東京都港区六本木6 六本木けやき坂通り1・2F,35.637912,139.738572,リンコス 六本木ヒルズ店
中央区,高輪３丁目,-,東京都中央区豊海町3-16,35.63405775,139.7345637,クイーンズ伊勢丹お客さま相談担当
渋谷区,高輪３丁目,-,東京都渋谷区幡ヶ谷1-3-1,35.63405775,139.7345637,株式会社グルメシティ関東幡ケ谷店
渋谷区,高輪３丁目,-,東京都渋谷区本町2-33-2,35.631882,139.732173,株式会社ファミリーセンターダイヤ
中央区,高輪３丁目,-,東京都中央区豊海町12-12,35.630127,139.7335365,株式会社ホウスイ 豊海第一冷蔵庫
渋谷区,高輪３丁目,-,東京都渋谷区幡ヶ谷2-17-1,35.629776,139.735908,株式会社ライフコーポレーション 幡ヶ谷店
新宿区,高輪３丁目,-,東京都新宿区中落合1丁目17-2,35.630172,139.7377755,株式会社駿河屋大塚商店
新宿区,高輪３丁目,-,東京都新宿区下落合3丁目14-21,35.629164,139.7379735,株式会社大丸ピーコック 目白店
新宿区,高輪３丁目,-,東京都新宿区若葉2-12,35.634186,139.7315835,丸正食品 若葉店
渋谷区,高輪４丁目,-,東京都渋谷区西原3-20-7,35.627625,139.7367045,丸正食品 代々木上原駅前店
新宿区,高輪４丁目,-,東京都新宿区余丁町6-15,35.626698,139.7351115,丸正食品 東新宿店
新宿区,麹町６丁目,-,東京都新宿区住吉町5-5 寿光ビル,35.685216,139.733199,まいばすけっと 曙橋駅前店
渋谷区,左門町,-,東京都渋谷区神宮前3-42-2,35.686224,139.7204595,ビオセボン 外苑西通り店
新宿区,笹塚１丁目,-,東京都新宿区百人町2-1-2,35.674092,139.668282,チョンガーネ
新宿区,三田１丁目,-,東京都新宿区西新宿7-7-19,35.654688,139.741902,丸正食品 北新宿店
新宿区,三田１丁目,-,東京都新宿区四谷3-12,35.65449,139.7395395,丸正総本店
新宿区,三田１丁目,-,東京都新宿区西新宿1丁目1-4,35.655057,139.740669,紀ノ国屋京王百貨店新宿店
中央区,三田１丁目,-,東京都中央区日本橋2-5-1 日本橋高島屋S.C.新館1F,35.653698,139.7436435,紀ノ國屋アントレ 日本橋高島屋S.C.店
港区,三田１丁目,-,東京都港区高輪3-26-26 ウィング高輪 EAST B1F,35.652654,139.744593,京急ストア ウィング高輪店
渋谷区,三田２丁目,-,東京都渋谷区笹塚2-26-2,35.650575,139.7446065,業務スーパー 笹塚店
新宿区,三田２丁目,-,東京都新宿区東榎町10-3,35.648541,139.737753,業務スーパー 新宿榎店
新宿区,三田２丁目,-,東京都新宿区百人町2-15-1,35.648559,139.7379015,業務スーパー 新宿大久保店
千代田区,三田３丁目,-,東京都千代田区神田多町2丁目7番地2,35.640252,139.741119,業務スーパー 神田店
新宿区,三田３丁目,-,東京都新宿区余丁町6-15,35.643087,139.7419695,業務スーパー 東新宿店
新宿区,三田３丁目,-,東京都新宿区大久保1丁目11-3,35.646921,139.7441385,業務用スーパーSHIODAYA新宿店
新宿区,三田３丁目,-,東京都新宿区神楽河岸1-1 セントラルプラザ・ラムラ1F,35.641152,139.7408895,三浦屋 飯田橋ラムラ店
新宿区,三田３丁目,-,東京都新宿区新宿7-26-38,35.641521,139.7418525,三徳 新宿本店
新宿区,三田３丁目,-,東京都新宿区河田町3-31,35.640441,139.7413845,三徳?河田店
新宿区,三田３丁目,-,東京都新宿区細工町1-16,35.643312,139.743054,三徳牛込神楽坂店
新宿区,三田３丁目,-,東京都新宿区住吉町6-11,35.646552,139.743351,三徳住吉店
新宿区,三田３丁目,-,東京都新宿区西早稲田3-12-15,35.644239,139.742514,三徳西早稲田店
新宿区,三田４丁目,-,東京都新宿区馬場下60,35.640135,139.738815,三徳早稲田店
渋谷区,三田５丁目,-,東京都渋谷区鶯谷町7-9,35.644752,139.7373435,maruetsu(マルエツ) プチ 渋谷鶯谷町店
中央区,三田５丁目,-,東京都中央区日本橋小伝馬町13-4,35.644752,139.7373435,maruetsu(マルエツ) プチ 小伝馬町駅前店
新宿区,三番町,-,東京都新宿区西落合2-20-6,35.691147,139.7454705,まいばすけっと 新井薬師前駅北店
港区,四谷坂町,-,東京都港区白金台3丁目16-8,35.691768,139.726143,いなげや白金台店
新宿区,市谷加賀町１丁目,-,東京都新宿区四谷3-5,35.69562,139.7310165,ビオセボン四谷三丁目店
港区,市谷仲之町,-,東京都港区赤坂4-3-6,35.694801,139.7244465,ビオセボン赤坂店
渋谷区,市谷薬王寺町,-,東京都渋谷区神宮前1丁目18-22,35.696286,139.725495,ビオセボン明治神宮前メトロピア店
千代田区,芝１丁目,-,東京都千代田区富士見2-7-1 プラウドタワー1F,35.652276,139.7544255,三徳飯田橋店
新宿区,芝１丁目,-,東京都新宿区新宿3-22-12,35.650791,139.7549925,三平ストア 新宿店
新宿区,芝２丁目,-,東京都新宿区新宿3丁目22-12,35.651169,139.7522205,三平ストア本部
渋谷区,芝２丁目,-,東京都渋谷区広尾3丁目12-33,35.6526,139.7500965,若羽食品
新宿区,芝２丁目,-,東京都新宿区西新宿1-1-3,35.650782,139.753305,小田急商事株式会社 事業本部 ショップ新宿店
新宿区,芝２丁目,-,東京都新宿区細工町1-16 村田ビル 1F,35.652762,139.752171,食品スーパーマーケット三徳 牛込神楽坂店
中央区,芝３丁目,-,東京都中央区勝どき1-8-1,35.652888,139.7475585,SUPER MARKET FUJI(スーパーマーケットフジ) デリド勝どき駅前店
港区,芝３丁目,-,東京都港区白金1-17-2,35.650458,139.747464,クイーンズ伊勢丹白金高輪店
渋谷区,芝３丁目,-,東京都渋谷区恵比寿1丁目8-14,35.652339,139.7491335,杉の木屋恵比寿店
渋谷区,芝３丁目,-,東京都渋谷区恵比寿南1-6-1 アトレ恵比寿西館 4F,35.653077,139.7453805,成城石井 アトレ恵比寿西館店
千代田区,芝３丁目,-,東京都千代田区外神田1-17-6 アトレ秋葉原1 3F,35.650764,139.7487285,成城石井 アトレ秋葉原1店
渋谷区,芝３丁目,-,東京都渋谷区笹塚1-47-1 メルクマール京王笹塚1F,35.652339,139.747365,成城石井 フレンテ笹塚店
千代田区,芝４丁目,-,東京都千代田区神田駿河台4-6 B1,35.648109,139.750884,成城石井 御茶ノ水ソラシティ店
新宿区,芝４丁目,-,東京都新宿区高田馬場2-13-2 プライムゲート 1F,35.648964,139.750236,成城石井 高田馬場店
千代田区,芝４丁目,-,東京都千代田区麹町3-3-6 麹町フロントビル1F,35.647335,139.7490615,成城石井 麹町店
港区,芝４丁目,-,東京都港区芝浦1-2-2 シーバンスア・モール1F,35.648622,139.75002,成城石井 芝浦シーバンス店
中央区,芝４丁目,-,東京都中央区日本橋小伝馬町1-7 スクエア日本橋1F,35.649,139.7521395,成城石井 小伝馬町店
千代田区,芝５丁目,-,東京都千代田区丸の内1-5-1 新丸の内ビルディングB1F,35.648955,139.7462445,成城石井 新丸ビル店
千代田区,芝５丁目,-,東京都千代田区神田神保町3-3 神保町SF3ビル1F,35.647929,139.7448945,成城石井 神保町店
港区,芝５丁目,-,東京都港区赤坂5-3-1 akasaka BizTower SHOPS&DININGB1F,35.648667,139.7468115,成城石井 赤坂Bizタワー店
千代田区,芝５丁目,-,東京都千代田区紀尾井町1-3 東京ガーデンテラス紀尾井町・紀尾井テラス2,35.64711,139.746726,成城石井 東京ガーデンテラス紀尾井町店
中央区,芝５丁目,-,東京都中央区日本橋1-14-7,35.650062,139.7459295,成城石井 日本橋一丁目店
中央区,芝５丁目,-,東京都中央区日本橋2-5-1 日本橋高島屋S.C.新館B1F,35.647101,139.7472165,成城石井 日本橋高島屋S.C.店
中央区,芝５丁目,-,東京都中央区日本橋浜町3-22-1,35.646003,139.746699,成城石井 日本橋浜町店
千代田区,芝５丁目,-,東京都千代田区富士見2-10-2 飯田橋グラン・ブルームサクラテラス1F,35.646165,139.746969,成城石井 飯田橋サクラテラス店
港区,芝５丁目,-,東京都港区麻布十番2-2-10 麻布十番スクエア1F,35.647632,139.747707,成城石井 麻布十番店
千代田区,芝５丁目,-,東京都千代田区有楽町2-5-1 ルミネ有楽町 LUMINE2 B1F,35.645841,139.744773,成城石井ルミネ有楽町店
新宿区,芝５丁目,-,東京都新宿区高田馬場3-3-8,35.644725,139.744935,西友 高田馬場店
港区,芝浦１丁目,-,東京都港区新橋5丁目8-3,35.650926,139.757346,全日食チェーンしろいち
渋谷区,芝浦１丁目,-,東京都渋谷区笹塚3丁目9-3,35.646615,139.75164,地産マルシェ笹塚店
