指標名,幼稚園～高校,,,公立,https://www.kyoiku.metro.tokyo.lg.jp/administration/statistics_and_research/list_of_public_school/school_lists2019.html,,,
出典,公立：東京都教育委員会、私立：東京都生活文化局,,,私立,https://www.seikatubunka.metro.tokyo.lg.jp/shigaku/,,,
年次,2020/3/12取得,,,,,,,
URL,複数あり、右に記載,,,,,,,
備考,国立幼稚園～高校は都心五区に存在しない,,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,公私,カテゴリ
渋谷区,笹塚２丁目,-,東京都渋谷区笹塚2-8-1,35.676162,139.6690875,笹塚,公立,小学校
渋谷区,笹塚３丁目,-,東京都渋谷区笹塚3-10-1,35.677827,139.6685025,笹塚,公立,中学校
渋谷区,笹塚３丁目,-,東京都渋谷区笹塚３－１９－９　,35.67672,139.6668825,富士見丘高等学校,私立,高等学校（全日制）
渋谷区,笹塚３丁目,-,東京都渋谷区笹塚３－１９－９　,35.67672,139.6668825,富士見丘中学校,私立,中学校
新宿区,三栄町,-,東京都新宿区四谷三栄町16-12,35.6889519,139.7256728,東京医療専門学校,私立,専修学校
港区,三田１丁目,-,東京都港区三田1-4-46,35.65233,139.7430585,三田,公立,高等学校
港区,三田１丁目,-,東京都港区三田1-4-52,35.653203,139.7423835,赤羽,公立,幼稚園
港区,三田１丁目,-,東京都港区三田1-4-52,35.653203,139.7423835,赤羽,公立,小学校
港区,三田２丁目,-,東京都港区三田２－１７－１０　,35.648955,139.740453,慶應義塾中等部,私立,中学校
港区,三田２丁目,-,東京都港区三田２－１７－２３　,35.648199,139.739868,慶應義塾女子高等学校,私立,高等学校（全日制）
港区,三田３丁目,-,東京都港区三田3-4-28,35.645823,139.743243,聖徳大学幼児教育専門学校,私立,専修学校
港区,三田３丁目,-,東京都港区三田3-4-28,35.645823,139.743243,聖徳学園三田幼稚園,私立,幼稚園
港区,三田４丁目,-,東京都港区三田4-11-38,35.643114,139.737888,御田,公立,小学校
港区,三田４丁目,-,東京都港区三田4-13-13,35.645238,139.740867,三田,公立,中学校
港区,三田４丁目,-,東京都港区三田４－１４－１６　,35.645859,139.7415375,普連土学園高等学校,私立,高等学校（全日制）
港区,三田４丁目,-,東京都港区三田４－１４－１６　,35.645859,139.7415375,普連土学園中学校,私立,中学校
港区,三田４丁目,-,東京都港区三田4-19-36,35.641053,139.739319,枝光会附属幼稚園,私立,幼稚園
千代田区,三番町,-,東京都千代田区三番町１２　　　,35.69094,139.7423385,大妻高等学校,私立,高等学校（全日制）
千代田区,三番町,-,東京都千代田区三番町１２　　　,35.69094,139.7423385,大妻中学校,私立,中学校
千代田区,三番町,-,東京都千代田区三番町16,35.690355,139.7408625,九段,公立,幼稚園
千代田区,三番町,-,東京都千代田区三番町16,35.690355,139.7408625,九段,公立,小学校
千代田区,三番町,-,東京都千代田区三番町２２　,35.691273,139.741839,東京家政学院高等学校,私立,高等学校（全日制）
千代田区,三番町,-,東京都千代田区三番町２２　　　,35.691273,139.741839,東京家政学院中学校,私立,中学校
新宿区,山吹町,-,東京都新宿区山吹町81,35.706834,139.728537,新宿山吹,公立,高等学校
新宿区,四谷１丁目,-,東京都新宿区四谷1-12,35.684019,139.728636,四谷,公立,中学校
新宿区,四谷１丁目,-,東京都新宿区四谷1-14,35.684289,139.7277405,四谷新生幼稚園,私立,幼稚園
新宿区,四谷２丁目,-,東京都新宿区四谷2-6,35.686458,139.7250225,四谷,公立,小学校
千代田区,四番町,-,東京都千代田区四番町11,35.68878,139.739301,千代田インターナショナルスクール東京,私立,各種学校
千代田区,四番町,-,東京都千代田区四番町11,35.68878,139.739301,専門学校東京ビジュアルアーツ,私立,専修学校
千代田区,四番町,-,東京都千代田区四番町１１　　　,35.68878,139.739301,武蔵野大学附属千代田高等学院,私立,高等学校（全日制）
千代田区,四番町,-,東京都千代田区四番町１１　　　,35.68878,139.739301,千代田女学園中学校,私立,中学校
新宿区,市谷加賀町１丁目,-,東京都新宿区市谷加賀町1-3-1,35.697744,139.731633,牛込第三,公立,中学校
新宿区,市谷左内町,-,東京都新宿区市谷左内町21,35.693397,139.7351835,江上料理学院,私立,各種学校
新宿区,市谷山伏町,-,東京都新宿区市谷山伏町1-3,35.699751,139.7286945,市谷,公立,幼稚園
新宿区,市谷山伏町,-,東京都新宿区市谷山伏町1-3,35.699751,139.7286945,市谷,公立,小学校
新宿区,市谷仲之町,-,東京都新宿区市谷仲之町4-33,35.695818,139.7235825,牛込仲之,公立,幼稚園
新宿区,市谷仲之町,-,東京都新宿区市谷仲之町4-33,35.695818,139.7235825,牛込仲之,公立,小学校
新宿区,市谷田町３丁目,-,東京都新宿区市谷田町3-21,35.696727,139.7379735,東京観光専門学校,私立,専修学校
新宿区,市谷本村町,-,東京都新宿区市谷本村町2-31,35.690553,139.73175,高山美容専門学校,私立,専修学校
港区,芝２丁目,-,東京都港区芝2-21-3,35.650935,139.750074,芝,公立,小学校
港区,芝２丁目,-,東京都港区芝2-25-6,35.650575,139.7513385,みなと幼稚園,私立,幼稚園
港区,芝４丁目,-,東京都港区芝４－１－３０　　　,35.649738,139.7494035,東京女子学園高等学校,私立,高等学校（全日制）
港区,芝４丁目,-,東京都港区芝４－１－３０　　　,35.649738,139.7494035,東京女子学園中学校,私立,中学校
港区,芝５丁目,-,東京都港区芝5-26-16,35.647434,139.746627,読売理工医療福祉専門学校  ,私立,専修学校
港区,芝浦４丁目,-,東京都港区芝浦4-8-18,35.638047,139.746249,芝浦,公立,幼稚園
港区,芝浦４丁目,-,東京都港区芝浦4-8-18,35.638047,139.746249,芝浦,公立,小学校
港区,芝公園３丁目,虎ノ門,東京都港区芝公園３－１－３６　,35.661123,139.7478645,正則高等学校,私立,高等学校（全日制）
港区,芝公園３丁目,虎ノ門,東京都港区芝公園3-2-4,35.661357,139.749732,御成門,公立,小学校
港区,芝公園３丁目,虎ノ門,東京都港区芝公園３－５－３７　,35.661186,139.747167,芝高等学校,私立,高等学校（全日制）
港区,芝公園３丁目,虎ノ門,東京都港区芝公園３－５－３７　,35.661186,139.747167,芝中学校,私立,中学校
