指標名,観光地,,,,,,,,
出典,Tripadvisor,,,,,,,,
年次,2020/3/10取得,,,,,,,,
URL,https://www.tripadvisor.jp/,,,,,,,,
備考,レビュー数やカテゴリでフィルターかけたほうがいい,,,,,,,,
,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,カテゴリ,星,レビュー数
港区,麻布台１丁目,虎ノ門,東京都 港区 麻布台1-5-3,35.661465,139.7393685,外務省外交史料館,"美術館・博物館, 歴史博物館",-,0
港区,麻布台１丁目,虎ノ門,東京都 港区 麻布台1-5,35.661474,139.7390625,旧紀州徳川藩屋敷跡,"名所・有名スポット, 旧跡",3,2
港区,麻布台１丁目,虎ノ門,東京都 港区 麻布台1-4,35.662293,139.7393145,行合坂,"名所・有名スポット, 眺めのよい散策エリア",3.5,2
港区,麻布台１丁目,虎ノ門,東京都 港区 麻布台1-1-20,35.662878,139.739148,ウナックトウキョウ､ウナックサロン,"ショッピング, 美術館・博物館, アートギャラリー",-,0
港区,麻布台１丁目,虎ノ門,東京都 港区 麻布台1-1-15,35.662572,139.7398185,落合坂,"名所・有名スポット, 眺めのよい散策エリア",3,2
港区,麻布十番２丁目,-,東京都 港区麻布十番 麻布十番,35.65454156,139.7355883,麻布十番納涼まつり,"イベント, 文化イベント",3.5,47
港区,麻布十番２丁目,-,東京都 港区麻布十番 麻布十番,35.65454156,139.7355883,きみちゃん像,"名所・有名スポット, 記念碑 & 像",3,21
港区,麻布十番２丁目,-,東京都 港区麻布十番 2-3-10,35.655498,139.7351025,麻布十番商店街,名所・有名スポット,4,42
港区,麻布十番２丁目,-,東京都 港区麻布十番 2-20-14,35.655084,139.736529,古美術西川 東京店,"美術館・博物館, ショッピング, さらに表示",-,0
港区,麻布十番２丁目,-,東京都 港区麻布十番 2-15-1,35.654616,139.7354985,網代公園,自然・公園,3.5,3
港区,麻布十番２丁目,-,東京都 港区麻布十番 2-13-2,35.655003,139.7352105,ギャラリー ラ リューシュ,"美術館・博物館, ショッピング, アートギャラリー",3,1
港区,麻布十番１丁目,-,東京都 港区麻布十番 1-8,35.655984,139.7354895,麻布十番の由来の碑,"名所・有名スポット, 記念碑 & 像",2.5,6
港区,麻布十番１丁目,-,東京都 港区麻布十番 1-4-6,35.657001,139.735143,十番稲荷神社,"名所・有名スポット, 神社/寺院/教会/モニュメントなど, 旧跡",3.5,37
港区,麻布永坂町,-,東京都 港区 麻布永坂町13,35.658666,139.736772,永坂更科発祥之地,"名所・有名スポット, 記念碑 & 像",3,8
渋谷区,本町４丁目,-,東京都 渋谷区 本町4-5-7,35.686557,139.681152,渋谷区本町公園,"レジャー施設, 自然・公園, 遊び場",4,1
渋谷区,本町４丁目,-,東京都 渋谷区 本町4-3-1,35.685981,139.6818855,渋谷本町学園温水プール,その他,-,0
渋谷区,本町２丁目,-,東京都 渋谷区 本町2-44-3,35.685099,139.684239,幡ヶ谷不動尊,"名所・有名スポット, 神社/寺院/教会/モニュメントなど",3.5,8
渋谷区,本町２丁目,-,東京都 渋谷区 本町2-44-3,35.685099,139.684239,荘厳寺,"名所・有名スポット, 神社/寺院/教会/モニュメントなど",3.5,2
渋谷区,本町１丁目,-,東京都 渋谷区 本町1-9-17,35.680536,139.6832625,旗洗池跡,"名所・有名スポット, 旧跡",-,0
渋谷区,本町１丁目,-,東京都 渋谷区 本町1-1-1,35.68266,139.686003,新国立劇場,"コンサート・ショー, シアター",4,67
港区,北青山３丁目,-,東京都 港区 北青山3-6-12 東京メトロ表参道駅構内,35.665092,139.711851,東京メトロ表参道駅旅客案内所,"観光情報・案内所, 観光案内所",3.5,6
港区,北青山３丁目,-,東京都 港区 北青山3-6-1,35.665677,139.710591,オーク表参道,"ショッピング, ショッピングモール",3.5,12
港区,北青山３丁目,-,東京都 港区 北青山3-5-26,35.665731,139.712148,秋葉神社,"名所・有名スポット, 神社/寺院/教会/モニュメントなど",3.5,19
港区,北青山３丁目,-,東京都 港区 北青山3-5-25,35.665632,139.7123145,アートスペースリビーナ,"ショッピング, 美術館・博物館, アートギャラリー",-,0
港区,北青山３丁目,-,東京都 港区 北青山3-5-22,35.66556,139.712562,ギャラリー山陽堂,"美術館・博物館, ショッピング, アートギャラリー",5,1
港区,北青山３丁目,-,東京都 港区 北青山3-5-17,35.66646,139.7122335,善光寺,"名所・有名スポット, 神社/寺院/教会/モニュメントなど",3.5,38
港区,北青山３丁目,-,東京都 港区 北青山3-5-15,35.666415,139.713129,青山画廊,"美術館・博物館, ショッピング, アートギャラリー",-,0
港区,北青山３丁目,-,東京都 港区 北青山3-1-2,35.669295,139.7150145,修験四恩寺,"名所・有名スポット, 神社/寺院/教会/モニュメントなど",-,0
港区,北青山３丁目,-,東京都 港区 北青山3-11-7 Ao 1F,35.663814,139.7106495,Dyson 表参道,名所・有名スポット,3,16
港区,北青山３丁目,-,東京都 港区 北青山3-11-7,35.663814,139.7106495,アオ,"ショッピング, ショッピングモール",4,11
港区,北青山２丁目,-,東京都 港区 北青山2-9-16,35.6715,139.716072,オリエギャラリー,"ショッピング, 美術館・博物館, アートギャラリー",-,0
港区,北青山２丁目,-,東京都 港区 北青山2-8-44,35.672994,139.716981,TEPIA 先端技術館,"美術館・博物館, 科学博物館",4,36
港区,北青山２丁目,-,東京都 港区 北青山2-3-1 シーアイプラザB1F,35.672058,139.719996,伊藤忠青山アートスクエア,美術館・博物館,3.5,6
