指標名,神社・寺院・教会,,,,,,
出典,NAVITIME,,,,,,
年次,2020/3/9取得,,,,,,
URL,https://www.navitime.co.jp/,,,,,,
備考,,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,カテゴリ
港区,高輪２丁目,-,東京都港区高輪2-14-25,35.635446,139.7376315,正覚寺,寺院
港区,高輪２丁目,-,東京都港区高輪2-1-45,35.638848,139.736493,正源寺,寺院
港区,高輪２丁目,-,東京都港区高輪2-2-26,35.639163,139.736412,保安寺,寺院
港区,高輪２丁目,-,東京都港区高輪2-8-2,35.636607,139.734657,承教寺,寺院
港区,高輪２丁目,-,東京都港区高輪2丁目,35.63622768,139.7373466,泉岳寺,寺院
港区,高輪２丁目,-,東京都港区高輪2丁目14-18,35.635509,139.7382255,宗教法人高輪神社,神社
港区,高輪２丁目,-,東京都港区高輪2丁目15-10,35.637489,139.739013,稲荷神社,神社
港区,高輪２丁目,-,東京都港区高輪2丁目16-22,35.63892,139.739346,願生寺,寺院
港区,高輪２丁目,-,東京都港区高輪2丁目2-18,35.638524,139.7355345,證誠寺,寺院
港区,高輪３丁目,-,東京都港区高輪3-15-18,35.635032,139.734081,高野山東京別院,寺院
港区,高輪３丁目,-,東京都港区高輪3丁目14-22,35.633331,139.733685,円福寺,寺院
港区,高輪３丁目,-,東京都港区高輪3丁目15-15,35.634771,139.733334,日本キリスト教団高輪教会,教会
港区,高輪３丁目,-,東京都港区高輪3丁目16-16,35.634186,139.7351025,東禅寺,寺院
港区,高輪４丁目,-,東京都港区高輪4-10-23,35.628174,139.7371905,高山稲荷神社,神社
港区,高輪４丁目,-,東京都港区高輪4-1-5,35.629425,139.7312865,仏所護念会高輪教会,教会
港区,高輪４丁目,-,東京都港区高輪4-7-1,35.629272,139.732596,カトリック東京大司教区 高輪教会,教会
千代田区,麹町６丁目,-,東京都千代田区麹町6丁目4-2,35.685792,139.7331405,心法寺,寺院
千代田区,麹町６丁目,-,東京都千代田区麹町6丁目5-1,35.685081,139.7313135,カトリック麹町聖イグナチオ教会,教会
新宿区,左門町,-,東京都新宿区左門町17,35.685387,139.720887,田宮稲荷(お岩稲荷)神社,神社
新宿区,左門町,-,東京都新宿区左門町18,35.68491,139.7212875,陽運寺,寺院
新宿区,左門町,-,東京都新宿区左門町8-1,35.686287,139.7210895,天理教 分教会 津東,教会
渋谷区,桜丘町,-,東京都渋谷区桜丘町28-8,35.655633,139.6990935,末日聖徒イエス・キリスト教会 教会教育システムエリアオフィス,教会
渋谷区,桜丘町,-,東京都渋谷区桜丘町30-11,35.655435,139.698198,惟神会,神社
渋谷区,桜丘町,-,東京都渋谷区桜丘町8-22,35.65557,139.702149,日本基督教団中渋谷教会,教会
渋谷区,笹塚１丁目,-,東京都渋谷区笹塚1丁目36-1,35.67159,139.6645155,天理教 分教会 本冨久,教会
渋谷区,笹塚２丁目,-,東京都渋谷区笹塚2丁目22-1,35.673759,139.664241,笹塚キリスト教会,教会
渋谷区,笹塚３丁目,-,東京都渋谷区笹塚3丁目28-2,35.674794,139.66236,天理教東右京分教会,教会
新宿区,三栄町,-,東京都新宿区三栄町17,35.687808,139.725414,ぶどうの樹キリスト教会,教会
千代田区,三崎町１丁目,-,東京都千代田区神田三崎町1丁目3-9,35.700633,139.7561085,日本基督教団 三崎町教会,教会
港区,三田１丁目,-,東京都港区三田1-11-31,35.653122,139.739094,長久寺,寺院
港区,三田１丁目,-,東京都港区三田1-4-74,35.653383,139.7406375,元神明宮,神社
港区,三田１丁目,-,東京都港区三田1丁目11-48,35.652924,139.737402,円徳寺,寺院
港区,三田１丁目,-,東京都港区三田1丁目12-11,35.652564,139.739139,教誓寺,寺院
港区,三田１丁目,-,東京都港区三田1丁目12-11,35.652564,139.739139,当光寺,寺院
港区,三田２丁目,-,東京都港区三田2丁目13-9,35.649693,139.744386,春日神社,神社
港区,三田３丁目,-,東京都港区三田3-7-16,35.643159,139.7414025,御田八幡神社,神社
