指標名,保育園,,,認可保育所,https://www.fukushihoken.metro.tokyo.lg.jp/kiban/fukushi_shisetsu/shs_list/shisetsuitiran.html,,,,
出典,東京都福祉保健局,,,認証保育所,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/ninsyo/ichiran.html,,,,
年次,2020/3/11取得,,,こども園,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/n_kodomoen/shisetsuichiran.html,,,,
URL,複数あり、右に記載,,,認可外保育施設,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/ninkagai/index.html,,,,
備考,,,,,,,,,
,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,種別,定員,定員備考
港区,白金台２丁目,-,東京都港区白金台２－２６－１０　グリーンオーク高輪台２階,35.631702,139.729995,ニチイキッズ白金台保育園,認可,70,
港区,白金４丁目,-,東京都港区白金４－７－２,35.642871,139.727637,みつばち保育園,認可,30,
港区,白金３丁目,-,東京都港区白金３－１０－１２,35.644896,139.731021,白金保育園,認可,107,
港区,白金３丁目,-,東京都港区白金3-10-12  2階,35.644896,139.731021,みなと保育サポート白金,認可外,27,
港区,白金３丁目,-,東京都港区白金3-13-13  ラ・エスペラーレ1F,35.645049,139.7286405,はっぴっぴ！白金高輪園,認可外,8,
港区,白金３丁目,-,東京都港区白金3-17-17  タイムズコ-ト白金206,35.64414,139.728276,白金キッズワールド,認可外,30,
港区,白金３丁目,-,東京都港区白金3-18-2,35.644437,139.7292525,港区三光保育室,認可外,14,
港区,白金３丁目,-,東京都港区白金３－２－３,35.64666,139.7313225,マリー保育園白金高輪,認可,28,
港区,白金３丁目,-,東京都港区白金3-7-13,35.645913,139.7296485,港区白金三丁目保育室,認可外,14,
港区,白金１丁目,-,東京都港区白金1-11-16,35.64567,139.7333295,港区志田町保育室,認可外,124,
港区,白金１丁目,-,東京都港区白金１－２５－２５,35.643834,139.731462,ニチイキッズさわやか港南保育園,認証A,20,
