指標名,ホテル,,,,,,,,
出典,Hotels.com,,,,,,,,
年次,GPCI2021,,,,,,,,
URL,https://hotels.com/,,,,,,,,
備考,GPCI-2020：1332軒　GPCI-2021：1649軒,,,,,,,,
,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,星数,室数,ホテルURL
品川区,大井１丁目,-,"1-35-2 Oi, Tokyo, 140-0014, Tokyo-to, Japan",35.605237,139.731658,Hotel Route-Inn Shinagawa Oimachi,3,156,https://www.hotels.com/ho392488
品川区,東品川１丁目,-,"1-29-20 Higashishinagawa, Shinagawa-ku, Tokyo, 1400002, Tokyo, Japan",35.619350,139.744772,Higashi Shinagawa 1 chome Ishibashi bldg.,3,1,https://www.hotels.com/ho1574093792
品川区,西大井１丁目,-,"1-7-34 Nishioi, Tokyo, 140-0015, Tokyo, Japan",35.601209,139.723144,Eternity HOTEL SHINAGAWA,3,7,https://www.hotels.com/ho2038048512
品川区,上大崎２丁目,-,"2-26-5 Kamioosaki, Tokyo, 141-0021, Tokyo-to, Japan",35.633870,139.714658,Hotel Abest Meguro,3,88,https://www.hotels.com/ho417728
品川区,北品川２丁目,-,"Kitashinagawa 2-20-14, Tokyo, 140-0001, Tokyo, Japan",35.617540,139.741808,Rengeso,2.5,1,https://www.hotels.com/ho624149888
品川区,南品川６丁目,-,"6-7-19, Minamishinagawa, Shinagawa, Tokyo, 140-0004, Tokyo, Japan",35.611437,139.739829,WIRES HOTEL James zaka,2.5,5,https://www.hotels.com/ho1702028352
品川区,東品川１丁目,-,"1-29-18 Higashishinagawa, Tokyo, 140-0002, Tokyo, Japan",35.619407,139.744516,East Shinagawa Apartment,2.5,1,https://www.hotels.com/ho1085482432
品川区,西大井６丁目,-,"4-27-8, Futaba, Shinagawa-ku, Tokyo, 142-0043, Tokyo-to, Japan",35.601728,139.713593,Flexstay Inn Nakanobu,2.5,61,https://www.hotels.com/ho468234
品川区,東五反田１丁目,-,"1-23-5 Higashigotanda, Tokyo, 141-0022, Japan",35.626210,139.727200,Tsukigime Club Higashi-Gotanda,2.5,41,https://www.hotels.com/ho558365
品川区,東五反田１丁目,-,"2-5-4, Higashigotanda, Shinagawa-ku, Tokyo, 141-0022, Tokyo-to, Japan",35.625489,139.728412,Hotel MyStays Gotanda,2.5,110,https://www.hotels.com/ho468249
品川区,上大崎１丁目,-,"1-3-18 Kamiosaki, Shinagawa, Tokyo, 1410021, Tokyo, Japan",35.634563,139.721571,Shirokane Guest House,2.5,1,https://www.hotels.com/ho1424923872
品川区,大井１丁目,-,"1-44-3 Ooi, Tokyo, 1400014, Tokyo-to, Japan",35.604517,139.732918,Tokyo Banyan Hotel,2.5,40,https://www.hotels.com/ho601883
品川区,南大井３丁目,-,"3-33-2, Minamioi, Tokyo, 140-0013, Japan",35.587738,139.734045,HOTEL LiVEMAX Omori Ekimae,2.5,17,https://www.hotels.com/ho594012
品川区,西品川３丁目,-,"3-20-26 Nishishinagawa, Shinagawa-ku, Tokyo, 141-0033, Tokyo, Japan",35.616048,139.728861,Japanese Modern House in Shinagawa,2.5,1,https://www.hotels.com/ho1920942816
品川区,東大井５丁目,-,"5-14-1 Higashiohi, Shinagawa, Tokyo, 140-0011, Japan",35.606570,139.736500,Apartment Sun Bright,2.5,18,https://www.hotels.com/ho622760256
品川区,東五反田１丁目,-,"1-20-15 Higashi Gotanda, Tokyo, 141-0022, Tokyo-to, Japan",35.626251,139.725708,Do-c Gotanda,2.5,155,https://www.hotels.com/ho554122
品川区,東五反田１丁目,-,"1-23-1 Higashi Gotanda, Tokyo, 141-0022, Tokyo, Japan",35.626550,139.726410,The CALM Hotel Tokyo - Adults Only,2.5,18,https://www.hotels.com/ho923394304
品川区,北品川１丁目,-,"1-22-19, Kitashinagawa, Tokyo, 140-0001, Tokyo-to, Japan",35.622058,139.740017,Flexstay Inn Shinagawa,2.5,55,https://www.hotels.com/ho448063
品川区,西五反田１丁目,-,"1-9-3 Nishigotanda, Tokyo, 141-0031, Tokyo, Japan",35.624731,139.724201,Hotel Royal Oak Gotanda,2.5,119,https://www.hotels.com/ho690904800
品川区,北品川１丁目,-,"1-22-16 Kita-Shinagawa, Tokyo, 140-0001, Tokyo-to, Japan",35.621802,139.740260,Guest House Shinagawa-shuku,2,16,https://www.hotels.com/ho442967
品川区,東五反田２丁目,-,"2-9-5 Higashi Gotanda, Tokyo, 141-0022, Tokyo, Japan",35.624530,139.726450,Ryokan Sansuiso,2,11,https://www.hotels.com/ho457392
品川区,東大井１丁目,-,"1-19-10 Higashi Oi, Tokyo, 1400011, Tokyo, Japan",35.604354,139.742027,ARTnSHELTER - Hostel,2,68,https://www.hotels.com/ho564083
品川区,西大井２丁目,-,"2-4-9 Nishiooi, Tokyo, 140-0015, Tokyo, Japan",35.599928,139.723027,Ryoma Nishiooi I - Hostel,1,9,https://www.hotels.com/ho720359296
品川区,荏原１丁目,-,"1-15-10 Ebara, Tokyo, 142-0063, Tokyo, Japan",35.619772,139.716077,No Borders Hostel,1,12,https://www.hotels.com/ho932437824
品川区,東五反田２丁目,-,"2-5-2 HIGASHI-GOTANDA, SHINAGAWA-KU, Tokyo, 141-0022, Tokyo Prefecture, Japan",35.625450,139.728010,Arietta Hotel & Trattoria Gotanda,3,89,https://www.hotels.com/ho352488
品川区,南大井６丁目,-,"6-24-4 Minami-Oi, Shinagawa-ku, Tokyo, 140-0013, Tokyo (prefecture), Japan",35.589234,139.730243,Hotel BAR Grantios,3,1,https://www.hotels.com/ho1179890976
品川区,西五反田６丁目,-,"6-13-1 Gotanda Shinagawa-ku, Tokyo, 141-0031, Tokyo Prefecture, Japan",35.620175,139.717768,Hotel Route Inn Gotanda,3,191,https://www.hotels.com/ho392511
品川区,南品川３丁目,-,"3-1-20 Minami-Shinagawa, Tokyo, 140-0004, Tokyo (prefecture), Japan",35.609690,139.742570,Toyoko Inn Tokyo Shinagawa Aomono-yokocho-eki,2.5,1,https://www.hotels.com/ho495344928
品川区,大井１丁目,-,"1-44-3 Ooi, Shinagawa, Tokyo, 140-0014, Tokyo Prefecture, Japan",35.604591,139.732910,Tokyo Banyan Hotel,2.5,1,https://www.hotels.com/ho487673920
品川区,南大井６丁目,-,"6-16-17 Minami-Oi, Shinagawa-ku, Tokyo, 140-0013, Tokyo (prefecture), Japan",35.591111,139.730440,Omori Park Hotel,2,1,https://www.hotels.com/ho1174285184
品川区,西大井２丁目,-,"Tokyo, Tokyo Prefecture, Japan",35.599902,139.722959,Telework and day Room Consultation is Possible / Shinagawa-ku Tokyo,0,1,https://www.hotels.com/ho1368363392
品川区,大井１丁目,-,"Tokyo, Tokyo Prefecture, Japan",35.604319,139.732792,eos Hotel Oimachi 902 - 901 / Shinagawa-ku Tokyo,0,1,https://www.hotels.com/ho1642832096
