指標名,シェアサイクルポート,,,,,,,
出典,東京自転車シェアリング ポートマップ,,,,,,,
年次,2022/1/26取得,,,,,,,
URL,https://www.google.com/maps/d/viewer?mid=1L2l1EnQJhCNlm_Xxkp9RTjIj68Q,,,,,,,
備考,2020年度：645件、2021年度：679件,,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,ポート名,休止・再開・閉鎖情報,営業時間・備考
江東区,豊洲２丁目,-,東京都江東区豊洲2-2-18,35.654230,139.795254,H1-53.豊洲シビックセンター / Toyosu civic center,-, 24時間 / Open for 24 hours
江東区,北砂５丁目,-,東京都江東区北砂5-1-7,35.680414,139.832036,H1-54.砂町文化センター  / Sunamachi Culture Center,-,/ Open 9:00-21:30※毎月第1・3月曜日（但し、祝日の場合を除く）及び12/29-1/3は利用不可。
江東区,白河１丁目,-,東京都江東区白河1-3-28,35.681091,139.800553,H1-55.深川江戸資料館 / Fukagawa Edo Museum,-,/ Open 8:30-20:00※12/29-1/3はご利用できません。We will close from December 29 to January 3.
江東区,南砂３丁目,-,東京都江東区南砂3-8,35.671387,139.829881,H1-56.南砂三丁目緑地公園西 / Minamisuna 3-Chome Park West,-, 24時間 / Open for 24 hours
江東区,新木場１丁目,-,東京都江東区新木場1-5,35.644951,139.826623,H1-57.新木場駅 / Shinkiba Station,-, 24時間 / Open for 24 hours
江東区,潮見２丁目,-,東京都江東区潮見2-7,35.658044,139.817724,H1-58.潮見駅 / Shiomi Station,-, 24時間 / Open for 24 hours
江東区,清澄１丁目,-,東京都江東区清澄1-1-7,35.681171,139.792032,H1-59.LYURO 東京清澄 / LYURO Tokyo Kiyosumi,-, 24時間 / Open for 24 hours
江東区,東砂３丁目,-,東京都江東区東砂3-28先,35.679775,139.844615,H1-60.荒川・砂町庭球場西 / Arakawa Sunamachi tennis court West,-, 24時間 / Open for 24 hours
江東区,豊洲６丁目,-,東京都江東区豊洲6-4-2,35.648761,139.786927,H1-61.Brillia ランニングスタジアム マギーズ東京前 / Brillia Running Stadium Maggie's Tokyo Front,-, 24時間 / Open for 24 hours
江東区,扇橋１丁目,-,東京都江東区扇橋1-21-26,35.683824,139.812314,H1-62.扇橋一丁目公園南 / Ogibashi 1-Chome Park South,-, 24時間 / Open for 24 hours
江東区,潮見１丁目,-,東京都江東区潮見1-3-2,35.656416,139.811377,H1-63.東京スイソミル / Tokyo Suisomiru,-, 24時間 / Open for 24 hours
江東区,東雲２丁目,-,東京都江東区東雲2-10-1,35.640151,139.804278,H1-64.ローソン東雲駅前店 / LAWSON Shinonome Station-Mae shop,-, 24時間 / Open for 24 hours
江東区,南砂２丁目,-,東京都江東区南砂2-38-3,35.669535,139.825517,H1-65.ローソン南砂日曹橋店 / LAWSON Minamisuna Nissobashi shop,-, 24時間 / Open for 24 hours
江東区,大島９丁目,-,東京都江東区大島9-1-15,35.687677,139.846284,H1-66.中川船番所資料館 / Nakagawa ship Bansho museum,-, 24時間 / Open for 24 hours
江東区,亀戸９丁目,-,東京都江東区亀戸9-18-10,35.697784,139.843076,H1-67.セブン-イレブン 江東亀戸９丁目店 / Seven-Eleven Koto Kameido 9chome store,-, 24時間 / Open for 24 hours
江東区,豊洲６丁目,-,東京都江東区豊洲6-2-3,35.645720,139.791401,H1-68.芝浦工業大学附属中学高等学校 / Shibaura Institute of Technology Junior and Senior High School,-, 24時間 / Open for 24 hours
江東区,石島,-,東京都江東区石島5-8-3,35.680269,139.812166,H1-69.ファミリーマート江東石島店 / FamilyMart Koto Ishijima shop,-, 24時間 / Open for 24 hours
江東区,有明２丁目,-,東京都江東区有明2-3-5,35.633179,139.783819,H1-70.有明スポーツセンター / Ariake sports center,-, / Open 8:30-22:30
江東区,東陽４丁目,-,東京都江東区東陽4-6-11,35.670829,139.819332,H1-71.セブン-イレブン 江東東陽4丁目店 / Seven-Eleven Koto Toyo 4-Chome store,-, 24時間 / Open for 24 hours
江東区,深川２丁目,-,東京都江東区深川2-7-6,35.674867,139.797423,H1-72.ネクストサイト深川ビル / NEXTSITE Fukagawa Building,-, 24時間 / Open for 24 hours
江東区,新木場２丁目,-,東京都江東区新木場2-7-1,35.638277,139.831968,H1-74.タダノ教習センター / TADANO KYOSHU CENTER,-, 24時間 / Open for 24 hours
江東区,扇橋２丁目,-,東京都江東区扇橋2-10-3,35.683982,139.815269,H1-75.ジオ深川住吉 / GEO FUKAGAWA SUMIYOSHI,-, 24時間 / Open for 24 hours
江東区,有明１丁目,-,東京都江東区有明1-3-33,35.637940,139.788402,H1-76.有明物流センター / Ariake Logistic Center,-, 24時間 / Open for 24 hours
江東区,東砂２丁目,-,東京都江東区東砂2-12-31,35.684466,139.843990,H1-77.ライフ東砂店 / LIFE Higashisuna Store,-, 24時間 / Open for 24 hours
江東区,新木場１丁目,-,東京都江東区新木場1-8-19,35.645818,139.835003,H1-78.ローソン新木場一丁目店 / LAWSON Shinkiba 1-Chome shop,-, 24時間 / Open for 24 hours
江東区,豊洲３丁目,-,東京都江東区豊洲3-1-1,35.659354,139.793570,H1-81.豊洲IHIビル（北側）/Toyosu IHI Building(north side),-, 24時間 / Open for 24 hours
江東区,北砂３丁目,-,東京都江東区北砂3-3-7,35.683624,139.827131,H1-82.セブン-イレブン 北砂3丁目明治通り店 / Seven-Eleven Kitasuna 3-Chome Meijidori store,-, 24時間 / Open for 24 hours
江東区,東雲２丁目,-,東京都江東区東雲2-3-22,35.642248,139.800229,H1-83.ローソン江東東雲店 / LAWSON Koto Shinonome shop,-, 24時間 / Open for 24 hours
江東区,辰巳２丁目,-,東京都江東区辰巳2-8-17,35.647287,139.817399,H1-84.NTT東日本辰巳ビル / NTT-East Tatsumi Build,-, 24時間 / Open for 24 hours
江東区,塩浜２丁目,-,東京都江東区塩浜2-4-35,35.662368,139.803767,H1-87.パークアクシス木場キャナルウエスト / Park Axis Kiba Canal West,-, 24時間 / Open for 24 hours
江東区,有明１丁目,-,東京都江東区有明1-5-22,35.637729,139.781428,H1-89.セガサミースポーツアリーナ / SEGASAMMY SPORTS ARENA,-, 24時間 / Open for 24 hours
江東区,枝川１丁目,-,東京都江東区枝川1-10-24,35.654483,139.804342,H1-90.富士倉庫運輸㈱ FACE-1前 / Fujisokounyu.co. FACE-1 Bldg.,-, 24時間 / Open for 24 hours
江東区,亀戸１丁目,-,東京都江東区亀戸1-41-2,35.697017,139.823745,H1-91.亀戸駅北口第三自転車駐車場 / Kameido sta. North 3rd Bicycle garage,-, 24時間 / Open for 24 hours
江東区,亀戸５丁目,-,東京都江東区亀戸5-1,35.697686,139.826800,H1-92.亀戸駅東口第二自転車駐車場 / Kameido sta. East 2nd Bicycle garage,-, 24時間 / Open for 24 hours
江東区,新木場１丁目,-,東京都江東区新木場1-12,35.639894,139.835570,H1-93.新木場一丁目公園 / Shinkiba 1chome Park,-, 24時間 / Open for 24 hours
江東区,新木場１丁目,-,東京都江東区新木場1-10,35.644063,139.835762,H1-94.新木場一丁目緑地公園 / Shinkiba 1chome Ryokchi Park,-, 24時間 / Open for 24 hours
江東区,若洲３丁目,-,東京都江東区若洲3-2,35.618197,139.833563,H1-95.若洲公園 / H1-95.Wakasu Park,-, 24時間 / Open for 24 hours
江東区,越中島１丁目,-,東京都江東区越中島1-3,35.670484,139.788779,H1-96.越中島公園 / Etchujima Park,-, 24時間 / Open for 24 hours
江東区,塩浜１丁目,-,東京都江東区塩浜1-4,35.661063,139.800531,H1-97.浜園公園 / Hamazono Park,-, 24時間 / Open for 24 hours
江東区,東陽３丁目,-,東京都江東区東陽3-1,35.668526,139.808955,H1-98.洲崎川緑道公園 / Suzakigawa Ryokdo Park,-, 24時間 / Open for 24 hours
江東区,南砂３丁目,-,東京都江東区南砂3-14,35.669926,139.832711,H1-99.南砂三丁目公園 / Minamisuna 3chome Park,-, 24時間 / Open for 24 hours
江東区,亀戸２丁目,-,東京都江東区亀戸2-1-21,35.697617,139.821937,H1-100. URアーバンライフ亀戸 / UR URBAN LIFE KAMEIDO,-, 24時間 / Open for 24 hours
江東区,新木場１丁目,-,東京都江東区新木場1-11-16,35.642530,139.836359,H1-101.ファミリーマート新木場一丁目店 / Family Mart Shinkiba 1Chome Store,-, 24時間 / Open for 24 hours
江東区,東砂７丁目,-,東京都江東区東砂7-19-5,35.672804,139.837855,H1-102.ファミリーマート東砂七丁目店 / Family Mart Higashisuna 7Chome Store,-, 24時間 / Open for 24 hours
