指標名,幼稚園～高校,,,公立,https://www.kyoiku.metro.tokyo.lg.jp/administration/statistics_and_research/list_of_public_school/school_lists2021.html,,,,,
出典,公立：東京都教育委員会、私立：東京都生活文化局,,,私立,https://www.seikatubunka.metro.tokyo.lg.jp/shigaku/,,,,,
年次,2022/1/取得,,,国立（高等学校のみ）,https://www.minkou.jp/hischool/search/pref=tokyo/c=2/,,,,,
URL,右記参照,,,,,,,,,
備考,（2019年度：498件、2020年度：733件、2021年度：716件）,,,,,,,,,
,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,国公私,カテゴリ,電話番号,データ年次
港区,芝公園３丁目,虎ノ門,東京都港区芝公園3-2-4,35.661301,139.749721,御成門,公立,小学校,03-3431-2766,2021年10月時点
港区,赤坂８丁目,赤坂,東京都港区赤坂8-13-29,35.669304,139.731199,赤坂,公立,小学校,03-3404-8602,2021年10月時点
港区,台場１丁目,-,東京都港区台場1-1-5,35.633781,139.776996,港陽,公立,小学校,03-5500-2572,2021年10月時点
港区,三田４丁目,-,東京都港区三田4-11-38,35.643201,139.738051,御田,公立,小学校,03-3451-3997,2021年10月時点
港区,白金４丁目,-,東京都港区白金4-1-12,35.643783,139.727044,白金の丘,公立,小学校,03-3441-5363,2021年10月時点
新宿区,津久戸町,-,東京都新宿区津久戸町2-2,35.702676,139.741996,津久戸,公立,小学校,03-3266-1601,2021年10月時点
新宿区,水道町,-,東京都新宿区水道町1-28,35.707068,139.73658,江戸川,公立,小学校,03-3266-1602,2021年10月時点
新宿区,市谷山伏町,-,東京都新宿区市谷山伏町1-3,35.699767,139.728722,市谷,公立,小学校,03-3266-1603,2021年10月時点
新宿区,北町,-,東京都新宿区北町26,35.699611,139.734347,愛日,公立,小学校,03-3266-1604,2021年10月時点
新宿区,早稲田南町,-,東京都新宿区早稲田南町25,35.704625,139.723532,早稲田,公立,小学校,03-3205-9501,2021年10月時点
新宿区,早稲田鶴巻町,-,東京都新宿区早稲田鶴巻町140,35.708566,139.725039,鶴巻,公立,小学校,03-3205-9502,2021年10月時点
新宿区,市谷仲之町,-,東京都新宿区市谷仲之町4-33,35.695803,139.7236,牛込仲之,公立,小学校,03-3358-3762,2021年10月時点
新宿区,富久町,-,東京都新宿区富久町7-24,35.692373,139.716356,富久,公立,小学校,03-3358-3763,2021年10月時点
新宿区,若松町,-,東京都新宿区若松町13-1,35.699306,139.715621,余丁町,公立,小学校,03-3205-9503,2021年10月時点
新宿区,戸山２丁目,-,東京都新宿区戸山2-34-2,35.702256,139.711253,東戸山,公立,小学校,03-3205-9504,2021年10月時点
新宿区,大京町,-,東京都新宿区大京町30,35.68113,139.71556,四谷第六,公立,小学校,03-3358-3767,2021年10月時点
新宿区,大久保１丁目,-,東京都新宿区大久保1-1-21,35.699513,139.705503,大久保,公立,小学校,03-3205-9506,2021年10月時点
新宿区,新宿６丁目,-,東京都新宿区新宿6-14-2,35.695599,139.709988,天神,公立,小学校,03-3358-3769,2021年10月時点
新宿区,百人町２丁目,-,東京都新宿区百人町2-1-38,35.704019,139.701953,戸山,公立,小学校,03-3205-9507,2021年10月時点
新宿区,西早稲田３丁目,-,東京都新宿区西早稲田3-10-12,35.711097,139.715047,戸塚第一,公立,小学校,03-3205-9508,2021年10月時点
新宿区,高田馬場１丁目,-,東京都新宿区高田馬場1-25-21,35.712606,139.705899,戸塚第二,公立,小学校,03-3205-9509,2021年10月時点
新宿区,高田馬場３丁目,-,東京都新宿区高田馬場3-18-21,35.71487,139.697505,戸塚第三,公立,小学校,03-3227-2101,2021年10月時点
新宿区,中落合２丁目,-,東京都新宿区中落合2-13-27,35.719793,139.691068,落合第一,公立,小学校,03-3565-0940,2021年10月時点
新宿区,上落合２丁目,-,東京都新宿区上落合2-10-23,35.712762,139.688781,落合第二,公立,小学校,03-3227-2102,2021年10月時点
新宿区,西落合１丁目,-,東京都新宿区西落合1-12-20,35.720904,139.682438,落合第三,公立,小学校,03-3565-0941,2021年10月時点
新宿区,下落合２丁目,-,東京都新宿区下落合2-9-34,35.718333,139.700156,落合第四,公立,小学校,03-3565-0942,2021年10月時点
新宿区,上落合３丁目,-,東京都新宿区上落合3-1-6,35.714701,139.685913,落合第五,公立,小学校,03-3227-2103,2021年10月時点
新宿区,西落合４丁目,-,東京都新宿区西落合4-11-21,35.726811,139.678366,落合第六,公立,小学校,03-3565-0943,2021年10月時点
新宿区,北新宿３丁目,-,東京都新宿区北新宿3-17-1,35.70435,139.691427,淀橋第四,公立,小学校,03-3227-2105,2021年10月時点
新宿区,百人町４丁目,-,東京都新宿区百人町4-2-1,35.707921,139.698995,西戸山,公立,小学校,03-3227-2107,2021年10月時点
新宿区,新宿１丁目,-,東京都新宿区新宿1-22-1,35.68953,139.713676,花園,公立,小学校,03-3353-8276,2021年10月時点
新宿区,北新宿２丁目,-,東京都新宿区北新宿2-11-1,35.700477,139.689179,柏木,公立,小学校,03-3227-2104,2021年10月時点
新宿区,西新宿４丁目,-,東京都新宿区西新宿4-35-5,35.686184,139.687881,西新宿,公立,小学校,03-3373-6031,2021年10月時点
新宿区,四谷２丁目,-,東京都新宿区四谷2-6,35.686599,139.724904,四谷,公立,小学校,03-5369-3776,2021年10月時点
江東区,深川２丁目,-,東京都江東区深川2-17-26,35.676028,139.798208,明治,公立,小学校,03-3641-0550,2021年10月時点
江東区,高橋,-,東京都江東区高橋14-10,35.685793,139.799431,深川,公立,小学校,03-3631-2209,2021年10月時点
江東区,新大橋３丁目,-,東京都江東区新大橋3-1-15,35.686749,139.795396,八名川,公立,小学校,03-3631-2260,2021年10月時点
江東区,門前仲町１丁目,-,東京都江東区門前仲町1-1-6,35.67243,139.793335,臨海,公立,小学校,03-3641-0403,2021年10月時点
江東区,富岡１丁目,-,東京都江東区富岡1-18-7,35.672583,139.799676,数矢,公立,小学校,03-3642-0476,2021年10月時点
江東区,木場１丁目,-,東京都江東区木場1-2-2,35.667464,139.802643,平久,公立,小学校,03-3644-0374,2021年10月時点
江東区,東陽３丁目,-,東京都江東区東陽3-27-12,35.670743,139.815591,東陽,公立,小学校,03-3644-0406,2021年10月時点
江東区,千石２丁目,-,東京都江東区千石2-9-12,35.67965,139.817219,川南,公立,小学校,03-3647-0574,2021年10月時点
江東区,石島,-,東京都江東区石島18-5,35.681149,139.8123,扇橋,公立,小学校,03-3647-0571,2021年10月時点
江東区,白河４丁目,-,東京都江東区白河4-3-19,35.682094,139.808045,元加賀,公立,小学校,03-3641-0601,2021年10月時点
江東区,毛利２丁目,-,東京都江東区毛利2-2-2,35.691545,139.8165,毛利,公立,小学校,03-3631-1647,2021年10月時点
江東区,住吉１丁目,-,東京都江東区住吉1-12-2,35.688094,139.812473,東川,公立,小学校,03-3631-5508,2021年10月時点
江東区,豊洲４丁目,-,東京都江東区豊洲4-4-4,35.653819,139.797953,豊洲,公立,小学校,03-3531-7788,2021年10月時点
江東区,枝川３丁目,-,東京都江東区枝川3-5-3,35.659208,139.81023,枝川,公立,小学校,03-3644-4941,2021年10月時点
江東区,辰巳１丁目,-,東京都江東区辰巳1-11-1,35.646584,139.809981,辰巳,公立,小学校,03-3521-1164,2021年10月時点
江東区,亀戸２丁目,-,東京都江東区亀戸2-5-7,35.6988,139.821931,第一亀戸,公立,小学校,03-3684-4300,2021年10月時点
江東区,亀戸６丁目,-,東京都江東区亀戸6-36-1,35.695026,139.83002,第二亀戸,公立,小学校,03-3684-4303,2021年10月時点
江東区,亀戸４丁目,-,東京都江東区亀戸4-26-22,35.703788,139.826138,香取,公立,小学校,03-3684-4306,2021年10月時点
江東区,亀戸５丁目,-,東京都江東区亀戸5-22-22,35.700458,139.828227,水神,公立,小学校,03-3681-1952,2021年10月時点
江東区,大島２丁目,-,東京都江東区大島2-41-4,35.689737,139.825397,第一大島,公立,小学校,03-3684-4312,2021年10月時点
江東区,大島３丁目,-,東京都江東区大島3-16-2,35.689567,139.830136,第二大島,公立,小学校,03-3684-4315,2021年10月時点
