指標名,バス停,,,,,NAVITIMEの検索区分ではなく、緯度経度情報をもとに位置情報を掲載。,,,,,,,,
出典,NAVITIME,,,,,昨年度から名称が変更されたバス停がある,,,,,,,,
年次,2022/2/3取得,,,,,例：「高齢者ケアセンター」→「かんなみの杜・渋谷」,,,,,,,,
URL,https://www.navitime.co.jp/,,,,,　　「東品川シルバーセンター前」→「東品川ゆうゆうプラザ前」,,,,,,,,
備考,路線ごとに1データあるので、エリアごとのバス停の数が知りたい場合は「1÷路線数」を合計する。,,,,,,,,,,,,,
,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,バス停名,路線数,1÷路線数,バス路線名,事業者名・系統等,方面１,方面URL1,方面２,方面ULR２
江東区,亀戸１丁目,-,東京都江東区亀戸１丁目７　,35.69633,139.82095,亀戸一丁目,9,0.111,錦１８,[都営バス],国際展示場駅前方面,https://www.navitime.co.jp/diagram/bus/00017987/00004310/1/,錦糸町駅前方面,https://www.navitime.co.jp/diagram/bus/00017987/00004310/0/
江東区,亀戸１丁目,-,東京都江東区亀戸１丁目７　,35.69633,139.82095,亀戸一丁目,9,0.111,両２８〔日曹橋経由〕,[都営バス],臨海車庫方面,https://www.navitime.co.jp/diagram/bus/00017987/00004105/1/,-,-
江東区,亀戸１丁目,-,東京都江東区亀戸１丁目７　,35.69633,139.82095,亀戸一丁目,9,0.111,錦２７,[都営バス],錦糸町駅前方面,https://www.navitime.co.jp/diagram/bus/00017987/00004314/1/,小岩駅前方面,https://www.navitime.co.jp/diagram/bus/00017987/00004314/0/
江東区,亀戸１丁目,-,東京都江東区亀戸１丁目７　,35.69633,139.82095,亀戸一丁目,9,0.111,ＦＬ０１,[都営バス],錦糸町駅前方面,https://www.navitime.co.jp/diagram/bus/00017987/00004328/1/,葛西駅前方面,https://www.navitime.co.jp/diagram/bus/00017987/00004328/0/
江東区,亀戸２丁目,-,東京都江東区亀戸２丁目２０　,35.69789,139.82540,亀戸駅前,11,0.091,亀２４,[都営バス],葛西橋方面,https://www.navitime.co.jp/diagram/bus/00016704/00004109/0/,-,-
江東区,亀戸２丁目,-,東京都江東区亀戸２丁目２０　,35.69789,139.82540,亀戸駅前,11,0.091,里２２(日暮里駅前-亀戸駅前),[都営バス],日暮里駅前方面,https://www.navitime.co.jp/diagram/bus/00016704/00004301/0/,-,-
江東区,亀戸２丁目,-,東京都江東区亀戸２丁目２０　,35.69789,139.82540,亀戸駅前,11,0.091,両２８,[都営バス],葛西橋/第六葛西小学校前方面,https://www.navitime.co.jp/diagram/bus/00016704/00004104/1/,-,-
江東区,亀戸２丁目,-,東京都江東区亀戸２丁目２０　,35.69789,139.82540,亀戸駅前,11,0.091,上２６,[都営バス],上野公園（東京都）方面,https://www.navitime.co.jp/diagram/bus/00016704/00004098/1/,-,-
江東区,亀戸２丁目,-,東京都江東区亀戸２丁目２０　,35.69789,139.82540,亀戸駅前,11,0.091,錦１１,[都営バス],築地駅前方面,https://www.navitime.co.jp/diagram/bus/00016704/00004306/1/,-,-
江東区,亀戸２丁目,-,東京都江東区亀戸２丁目２０　,35.69789,139.82540,亀戸駅前,11,0.091,亀２１,[都営バス],東陽町駅前方面,https://www.navitime.co.jp/diagram/bus/00016704/00004106/0/,-,-
