指標名,食べログアワード受賞レストラン,,,,,,,,,,,,,,
出典,The Tabelog Award 2021,,,,,,,,,,,,,,
年次,2021年,,,,,,,,,,,,,,
URL,https://award.tabelog.com/restaurants,,,,,,,,,,,,,,
備考,（2019年度：275件、2020年度：208件、2021年度：211件）,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,ジャンル,アワード,初選出,星数,口コミ数,夜予算,昼予算,備考,URL
新宿区,神楽坂５丁目,-,東京都新宿区神楽坂5-37 高村ビル　１Ｆ,35.701301,139.739201,神楽坂 石かわ（いしかわ）,懐石・会席料理,SILVER,,4.38,306 件,"￥30,000～￥39,999","￥30,000～￥39,999",,https://tabelog.com/tokyo/A1309/A130905/13004079/
新宿区,神楽坂３丁目,-,東京都新宿区神楽坂3-6 神楽坂三丁目テラスB1,35.700965,139.740137,神楽坂 鉄板焼 中むら（なかむら）,鉄板焼き、和食（その他）、ステーキ,BRONZE,,4,154 件,"￥30,000～￥39,999",,,https://tabelog.com/tokyo/A1309/A130905/13134663/
港区,西麻布４丁目,-,東京都港区西麻布4-5-8,35.656525,139.723146,K+（カゲロウプリュス）,イタリアン、ワインバー,BRONZE,,4.18,188 件,"￥15,000～￥19,999",,,https://tabelog.com/tokyo/A1307/A130703/13213748/
港区,西麻布４丁目,-,東京都港区西麻布4-2-13 八幡ビル 3F,35.658639,139.723165,霞町 やまがみ,割烹・小料理,BRONZE,,3.87,35 件,"￥30,000～￥39,999",,,https://tabelog.com/tokyo/A1307/A130703/13220317/
中央区,日本橋人形町１丁目,-,東京都中央区日本橋人形町1-5-5 B1F,35.685321,139.781568,川田（カワダ）,割烹・小料理、懐石・会席料理,BRONZE,,3.92,76 件,"￥20,000～￥29,999",,,https://tabelog.com/tokyo/A1302/A130204/13232330/
中央区,銀座７丁目,-,東京都中央区銀座7丁目3−16 東五ビル,35.670488,139.760531,かわむら,ステーキ,BRONZE,,3.92,106 件,"￥100,000～",,,https://tabelog.com/tokyo/A1301/A130101/13016506/
品川区,北品川６丁目,-,東京都品川区北品川6-7-29 ガーデンシティ品川 御殿山 1F,35.623928,139.733633,カンテサンス（Quintessence）,モダンフレンチ、フレンチ,GOLD,,4.55,664 件,"￥30,000～￥39,999",,,https://tabelog.com/tokyo/A1314/A131405/13159567/
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-1-1 マンダリン オリエンタル 東京 37F,35.686393,139.772921,広東料理 センス,広東料理,BRONZE,,3.9,514 件,"￥15,000～￥19,999","￥8,000～￥9,999",,https://tabelog.com/tokyo/A1302/A130202/13020361/
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町1-2 紀尾井テラス 3F,35.679695,139.736948,紀尾井町 三谷（キオイチョウ ミタニ）,寿司,BRONZE,,3.99,255 件,"￥30,000～￥39,999","￥30,000～￥39,999",,https://tabelog.com/tokyo/A1308/A130801/13198197/
新宿区,四谷三栄町,-,東京都新宿区三栄町7 ＪＨＣビル 1F,35.687843,139.727004,北島亭（キタジマテイ）,フレンチ,BRONZE,,3.92,333 件,"￥15,000～￥19,999","￥10,000～￥14,999",,https://tabelog.com/tokyo/A1309/A130902/13000945/
新宿区,東五軒町,-,東京都新宿区東五軒町5-5,35.706526,139.739706,紀茂登（キモト）,懐石・会席料理,SILVER,,4.48,148 件,"￥50,000～￥59,999",,,https://tabelog.com/tokyo/A1309/A130905/13226856/
中央区,銀座６丁目,-,東京都中央区銀座6-3-15,35.671438,139.760895,きよ田,寿司,BRONZE,,4.2,105 件,"￥50,000～￥59,999","￥20,000～￥29,999",,https://tabelog.com/tokyo/A1301/A130101/13070238/
中央区,銀座２丁目,-,東京都中央区銀座2-10-11 マロニエ通り銀座館 2F,35.672041,139.768369,銀座 大石,フレンチ,SILVER,〇,4.35,247 件,"￥20,000～￥29,999",,,https://tabelog.com/tokyo/A1301/A130101/13238352/
中央区,銀座７丁目,-,東京都中央区銀座7-4-5 銀座745ビル 3F,35.67015,139.761131,銀座 きた福,かに、京料理、すっぽん,BRONZE,,3.98,87 件,"￥30,000～￥39,999","￥30,000～￥39,999",,https://tabelog.com/tokyo/A1301/A130101/13183900/
中央区,銀座５丁目,-,東京都中央区銀座5-4-8 カリオカビル 4F,35.671424,139.763009,銀座 小十（ぎんざ こじゅう）,懐石・会席料理、割烹・小料理,BRONZE,,3.88,237 件,"￥40,000～￥49,999","￥30,000～￥39,999",,https://tabelog.com/tokyo/A1301/A130101/13005683/
中央区,銀座２丁目,-,東京都中央区銀座2-8-17 ハビウル銀座2 B1,35.672774,139.767808,銀座 しのはら,懐石・会席料理,GOLD,,4.62,482 件,"￥30,000～￥39,999",,,https://tabelog.com/tokyo/A1301/A130101/13200949/
中央区,銀座６丁目,-,東京都中央区銀座6-5-13 銀座美術館ビル 3F,35.670847,139.761775,GINZA JOTAKI（ギンザジョウタキ）,中華料理、四川料理、広東料理,BRONZE,,4.01,59 件,"￥40,000～￥49,999","￥30,000～￥39,999",,https://tabelog.com/tokyo/A1301/A130101/13217960/
中央区,銀座８丁目,-,東京都中央区銀座8-10-3 三鈴ビル　Ｂ１Ｆ,35.667989,139.762634,銀座 鮨 かねさか 本店,寿司,BRONZE,,3.9,337 件,"￥20,000～￥29,999","￥20,000～￥29,999",,https://tabelog.com/tokyo/A1301/A130103/13005003/
中央区,銀座３丁目,-,東京都中央区銀座3-3-6 銀座モリタビル 7F,35.673122,139.765503,銀座ふじやま,懐石・会席料理,BRONZE,,4.02,54 件,"￥40,000～￥49,999","￥40,000～￥49,999",,https://tabelog.com/tokyo/A1301/A130101/13232735/
中央区,銀座４丁目,-,東京都中央区銀座4-5-5 ミキモトビル Ｂ１Ｆ,35.671899,139.765306,銀座 レカン（L'ecrin）,フレンチ,BRONZE,,4.17,312 件,"￥20,000～￥29,999","￥10,000～￥14,999",,https://tabelog.com/tokyo/A1301/A130101/13002444/
新宿区,矢来町,-,東京都新宿区矢来町61,35.702395,139.732616,串揚げはやし,串揚げ・串かつ、居酒屋、焼肉,BRONZE,,4.15,137 件,"￥10,000～￥14,999",,【掲載保留】休業期間が未確定、移転・閉店の事実確認ができない,https://tabelog.com/tokyo/A1309/A130905/13129802/
新宿区,四谷１丁目,-,東京都新宿区四谷1-9-4,35.686005,139.728058,くすのき,天ぷら、割烹・小料理,SILVER,,4.41,128 件,"￥60,000～￥79,999","￥30,000～￥39,999",,https://tabelog.com/tokyo/A1309/A130902/13223239/
港区,芝公園１丁目,-,東京都港区芝公園1-7-10,35.657417,139.752649,くろぎ,懐石・会席料理,BRONZE,,4.14,160 件,"￥50,000～￥59,999","￥50,000～￥59,999",,https://tabelog.com/tokyo/A1314/A131401/13094789/
渋谷区,渋谷１丁目,-,東京都渋谷区渋谷1-5-9,35.661074,139.705778,くろ﨑,寿司、魚介料理・海鮮料理,BRONZE,,4.28,241 件,"￥30,000～￥39,999","￥30,000～￥39,999",,https://tabelog.com/tokyo/A1303/A130301/13178821/
港区,西麻布２丁目,-,東京都港区西麻布2-25-24 NISHIAZABU FTビル MB1F,35.659825,139.721429,Crony（クローニー）,モダンフレンチ、フレンチ、ワインバー,BRONZE,,3.93,115 件,"￥20,000～￥29,999",,【移転前の情報】,https://tabelog.com/tokyo/A1307/A130701/13202768/
港区,西麻布３丁目,-,東京都港区西麻布3丁目17-23 プティコワン西麻布2F,35.658033,139.723932,グルマンディーズ（Gourmandise）,ビストロ,SILVER,,4.32,121 件,"￥15,000～￥19,999","￥10,000～￥14,999",,https://tabelog.com/tokyo/A1307/A130701/13190448/
中央区,銀座１丁目,-,東京都中央区銀座1-8-7 VORT銀座 B1F,35.674077,139.768589,神戸牛炉釜ステーキ GINZA KOKO炉,ステーキ、フレンチ、鉄板焼き,BRONZE,,3.97,73 件,"￥20,000～￥29,999",,,https://tabelog.com/tokyo/A1301/A130101/13224979/
