指標名,駅,,,,,,,,,,,,
出典,駅情報：駅データ.jp、乗降客数：国土交通省,,,,,,,,,,,,
年次,2022/2/7取得,,,,,,,,,,,,
URL,駅情報：https://ekidata.jp/、乗降客数：http://nlftp.mlit.go.jp/ksj/,,,,,,,,,,,,
備考,新幹線駅除く。,,,,,,,,,,,,
,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,駅名,路線,事業者,緯度,経度,乗降客数（2019年度）,駅コード（路線別）,駅コード（路線不問）
渋谷区,千駄ケ谷５丁目,-,東京都新宿区新宿三丁目３８－１,35.68539,139.70300,新宿,山手線,東日本旅客鉄道,35.689729,139.700464,データなし,1130208,1130208
渋谷区,千駄ケ谷５丁目,-,東京都新宿区新宿三丁目３８－１,35.68539,139.70300,新宿,埼京線,東日本旅客鉄道,35.689729,139.700464,データなし,1130208,1130208
渋谷区,代々木２丁目,-,東京都渋谷区代々木二丁目１－１,35.68534,139.69835,新宿,大江戸線,東京都,35.68869,139.698812,データなし,9930128,1130208
新宿区,西新宿１丁目,-,東京都新宿区西新宿一丁目１－４,35.69031,139.69733,新宿,京王線,京王電鉄,35.68869,139.698812,"932,410",2400101,1130208
新宿区,西新宿１丁目,-,東京都新宿区西新宿一丁目１－３,35.69031,139.69733,新宿,小田原線,小田急電鉄,35.691435,139.699574,"516,876",2500101,1130208
新宿区,新宿３丁目,-,東京都新宿区西新宿一丁目西口地下街１号,35.69136,139.70336,新宿,丸ノ内線,東京地下鉄,35.69235,139.700711,"237,552",2800218,1130208
新宿区,西新宿１丁目,-,東京都新宿区西新宿一丁目１－４,35.69031,139.69733,新宿,京王線,京王電鉄,35.68869,139.698812,データなし,2400101,1130208
新宿区,新宿３丁目,-,東京都新宿区新宿三丁目３８－１,35.69136,139.70336,新宿,湘南新宿ライン,東日本旅客鉄道,35.689729,139.700464,データなし,1130208,1130208
新宿区,新宿３丁目,-,東京都新宿区新宿三丁目３８－１,35.69136,139.70336,新宿,成田エクスプレス,東日本旅客鉄道,35.689729,139.700464,データなし,1130208,1130208
新宿区,西新宿１丁目,-,東京都新宿区西新宿一丁目１８,35.69031,139.69733,新宿,新宿線,東京都交通局,35.68869,139.698812,データなし,9930401,1130208
新宿区,新宿３丁目,-,東京都新宿区新宿三丁目３８－１,35.69136,139.70336,新宿,中央線,東日本旅客鉄道,35.689729,139.700464,"1,578,732",1131103,1130208
新宿区,新宿３丁目,-,東京都新宿区新宿三丁目38-1,35.689729,139.700464,新宿,中央線,東日本旅客鉄道株式会社,35.689729,139.700464,データなし,1131310,1130208
新宿区,新宿１丁目,-,東京都新宿区新宿１－８－１,35.68942,139.71221,新宿御苑前,丸ノ内線,東京地下鉄,35.688588,139.71069,"54,912",2800216,2800216
渋谷区,千駄ケ谷５丁目,-,東京都新宿区新宿３－１４－１,35.68539,139.70300,新宿三丁目,副都心線,東京地下鉄,35.690853,139.704828,データなし,2801013,2800217
新宿区,新宿３丁目,-,東京都新宿区新宿３－１４－１,35.69136,139.70336,新宿三丁目,丸ノ内線,東京地下鉄,35.690847,139.704895,"165,247",2800217,2800217
新宿区,新宿２丁目,-,東京都新宿区新宿３－１４－１,35.69012,139.70832,新宿三丁目,新宿線,東京都,35.690616,139.706271,"74,576",9930402,2800217
新宿区,西新宿１丁目,-,東京都新宿区西新宿１－３－１７,35.69031,139.69733,新宿西口,大江戸線,東京都,35.693315,139.699155,"61,649",9930102,9930102
新宿区,百人町１丁目,-,東京都新宿区百人町一丁目１０－１５,35.69988,139.69924,新大久保,山手線,東日本旅客鉄道,35.700875,139.700261,"102,876",1130209,1130209
中央区,日本橋室町３丁目,日八京,東京都中央区日本橋室町４丁目,35.68796,139.77285,新日本橋,総武線,東日本旅客鉄道,35.688687,139.77323,"38,658",1131402,1131402
品川区,北品川２丁目,-,東京都品川区北品川２－１８－１,35.61818,139.74304,新馬場,京急本線,京浜急行電鉄,35.61762,139.741366,"16,979",2700104,2700104
中央区,築地１丁目,-,東京都中央区築地一丁目１－１,35.66939,139.77081,新富町,有楽町線,東京地下鉄,35.670462,139.773711,"43,838",2800620,2800312
江東区,豊洲６丁目,-,東京都江東区豊洲６丁目,35.64603,139.78702,新豊洲,東京臨海新交通臨海線,ゆりかもめ,35.648718,139.789996,"6,796",9931115,9931115
江東区,新木場１丁目,-,東京都江東区新木場一丁目６,35.64366,139.82634,新木場,有楽町線,東京地下鉄,35.645832,139.826254,"110,126",2800624,1132605
江東区,新木場１丁目,-,東京都江東区新木場一丁目６,35.64366,139.82634,新木場,りんかい線,東京臨海高速鉄道,35.646172,139.827402,"67,065",9933701,1132605
江東区,新木場１丁目,-,東京都江東区新木場一丁目５,35.64366,139.82634,新木場,京葉線,東日本旅客鉄道,35.646172,139.827402,"158,322",1132605,1132605
江東区,森下１丁目,-,東京都江東区森下２－１７－１７,35.68772,139.79748,森下,新宿線,東京都,35.68796,139.797042,"151,356",9930411,9930114
江東区,森下１丁目,-,東京都江東区森下２－１７－１７,35.68772,139.79748,森下,大江戸線,東京都,35.68796,139.797042,データなし,9930114,9930114
新宿区,神楽坂６丁目,-,東京都新宿区矢来町１１２,35.70301,139.73706,神楽坂,東西線,東京地下鉄,35.70379,139.734546,"42,168",2800405,2800405
渋谷区,神泉町,-,東京都渋谷区神泉町４－６,35.65651,139.69215,神泉,井の頭線,京王電鉄,35.657244,139.693579,"11,328",2400602,2400602
港区,虎ノ門５丁目,虎ノ門,東京都港区虎ノ門５－１２－１１,35.66255,139.74340,神谷町,日比谷線,東京地下鉄,35.662978,139.745069,"106,952",2800317,2800317
千代田区,神田鍛冶町,-,東京都千代田区神田須田町一丁目１６,35.69382,139.77069,神田,銀座線,東京地下鉄,35.693587,139.770899,"62,320",2800107,1130223
千代田区,鍛冶町２丁目,-,東京都千代田区鍛冶町二丁目13-1,35.691173,139.770641,神田,山手線,東日本旅客鉄道株式会社,35.691173,139.770641,データなし,1130223,1130223
千代田区,鍛冶町２丁目,-,東京都千代田区鍛冶町二丁目１３－１,35.69262,139.77198,神田,京浜東北線,東日本旅客鉄道,35.691173,139.770641,データなし,1133221,1130223
千代田区,鍛冶町２丁目,-,東京都千代田区鍛冶町二丁目１３－１,35.69262,139.77198,神田,中央線,東日本旅客鉄道,35.691173,139.770641,"212,182",1131202,1130223
