指標名,コンビニ,,,,,,,,,,,,
出典,NAVITIME,,,,,,,,,,,,
年次,2022/2/2取得,,,,,,,,,,,,
URL,https://www.navitime.co.jp/,,,,,,,,,,,,
備考,"（2020年度：2,130件、2021年度：2342件）",,,,,,,,,,,,
,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,,区,軒数,セブン,ローソン,ファミリーマート,その他
中央区,京橋３丁目,日八京,東京都中央区京橋3-1-1-1,35.676035,139.768714,ローソン 東京スクエアガーデン店,,,,,,,
江東区,東雲２丁目,-,東京都江東区東雲2-10-1,35.640151,139.804278,ローソン 東雲駅前店,,,,,,,
江東区,東雲１丁目,-,東京都江東区東雲1-9-9,35.646911,139.802367,ローソン 東雲一丁目店,,,,,,,
新宿区,歌舞伎町２丁目,-,東京都新宿区歌舞伎町2-3-16,35.69709,139.706901,ローソン 都営東新宿駅前店,,,,,,,
港区,芝浦３丁目,-,東京都港区芝浦3-1-32,35.644688,139.748672,ローソン 田町芝浦口店,,,,,,,
港区,芝浦３丁目,-,東京都港区芝浦3-13-1,35.64328,139.749127,ローソン 田町駅東口店,,,,,,,
港区,芝５丁目,-,東京都港区芝5-32-14,35.647132,139.747186,ローソン 田町駅三田口店,,,,,,,
港区,芝５丁目,-,東京都港区芝5-34-7,35.646216,139.747047,ローソン 田町センタービル店,,,,,,,
渋谷区,恵比寿３丁目,-,東京都渋谷区恵比寿3-39-5,35.643821,139.720836,ローソン 天現寺店,,,,,,,
中央区,佃２丁目,-,東京都中央区佃2-2-7,35.668592,139.78561,ローソン 佃二丁目店,,,,,,,
