指標名,神社・寺院・教会,,,,,,
出典,NAVITIME,,,,,,
年次,2022/2/2取得,,,,,,
URL,https://www.navitime.co.jp/,,,,,,
備考,（2020年度：609件、2021年度：668件）,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,カテゴリ
港区,六本木５丁目,六本木,東京都港区六本木5-6-15,35.66035,139.734475,日本基督教団 鳥居坂教会,教会
港区,三田４丁目,-,東京都港区三田4丁目8-19,35.642502,139.738576,キリスト友会東京月会,教会
港区,芝大門１丁目,-,東京都港区芝大門1-14-3,35.657431,139.753715,東京 佛願寺,寺院
江東区,平野１丁目,-,東京都江東区平野1-13-6,35.678578,139.800937,円珠院,寺院
港区,六本木６丁目,六本木,東京都港区六本木6-16-44,35.658303,139.729529,六本木ルーテル教会,教会
新宿区,西早稲田２丁目,-,東京都新宿区西早稲田2丁目1-14,35.706739,139.717769,放生寺,寺院
港区,高輪４丁目,-,東京都港区高輪4-7-1,35.629248,139.732479,カトリック東京大司教区 高輪教会,教会
江東区,亀戸３丁目,-,東京都江東区亀戸3丁目38-35,35.7066,139.821003,天祖神社,神社
渋谷区,代々木３丁目,-,東京都渋谷区代々木3-8-10,35.682808,139.696236,平田神社,神社
港区,東新橋２丁目,虎ノ門広域,東京都港区東新橋2丁目1-1,35.663325,139.758284,日比谷神社,神社
江東区,清澄３丁目,-,東京都江東区清澄3丁目4-23,35.681386,139.797597,本誓寺,寺院
中央区,日本橋浜町２丁目,-,東京都中央区日本橋浜町2-21-4,35.686135,139.787502,日本基督教団日本橋教会,教会
港区,六本木４丁目,六本木,東京都港区六本木4丁目2-39,35.665063,139.733711,聖ヨゼフ修道院,教会
中央区,銀座２丁目,-,東京都中央区銀座2-8-7,35.672866,139.768044,金光教 銀座教会,教会
中央区,東日本橋３丁目,-,東京都中央区東日本橋3-1-3,35.690334,139.782738,神道禊教,教会
江東区,猿江２丁目,-,東京都江東区猿江2丁目,35.686727,139.814691,猿江神社,神社
中央区,銀座１丁目,-,東京都中央区銀座1-14-10,35.672963,139.769539,五法院,教会
中央区,日本橋室町４丁目,日八京,東京都中央区日本橋室町4-1-17,35.688787,139.771885,金光教 日本橋教会,教会
中央区,銀座４丁目,-,東京都中央区銀座4-5-1,35.672083,139.765597,東京福音センター,教会
港区,赤坂８丁目,赤坂,東京都港区赤坂8丁目12-42,35.669652,139.728642,聖パウロ女子修道会,教会
港区,芝公園４丁目,-,東京都港区芝公園4丁目7-35,35.65742,139.748216,芝増上寺,寺院
港区,芝公園２丁目,-,東京都港区芝公園2丁目3-2,35.656687,139.751921,安養院,寺院
新宿区,若葉２丁目,-,東京都新宿区若葉2-8-3,35.685744,139.724359,愛染院,寺院
渋谷区,広尾２丁目,-,東京都渋谷区広尾2丁目22-15,35.65079,139.71878,真如苑東京本部,寺院
港区,芝公園１丁目,-,東京都港区芝公園1-7-15,35.657398,139.752143,花岳院,寺院
新宿区,西早稲田１丁目,-,東京都新宿区西早稲田1-1-15,35.70725,139.718911,法輪寺,寺院
港区,赤坂１丁目,虎ノ門,東京都港区赤坂1-11-3,35.668113,139.742341,澄泉寺,寺院
新宿区,須賀町,-,東京都新宿区須賀町10-2,35.683583,139.723861,宗福寺,寺院
江東区,大島５丁目,-,東京都江東区大島5丁目39-26,35.686416,139.83661,大島稲荷神社,神社
品川区,小山５丁目,-,東京都品川区小山5-8-7,35.617068,139.702649,三谷八幡神社,神社
品川区,西五反田５丁目,-,東京都品川区西五反田5丁目6-3,35.624454,139.715037,氷川神社,神社
品川区,荏原７丁目,-,東京都品川区荏原7丁目5-14,35.611688,139.699633,小山八幡神社,神社
新宿区,歌舞伎町２丁目,-,東京都新宿区歌舞伎町2-17-5,35.697753,139.705313,稲荷鬼王神社,神社
渋谷区,宇田川町,-,東京都渋谷区宇田川町19-5,35.661677,139.699531,日本基督教団 東京山手教会,教会
港区,西麻布４丁目,-,東京都港区西麻布4-9-2,35.656695,139.722993,神道大教,教会
新宿区,新宿７丁目,-,東京都新宿区新宿7丁目26-22,35.699156,139.708579,大久保バプテスト教会,教会
新宿区,北新宿３丁目,-,東京都新宿区北新宿3丁目5-19,35.703666,139.693838,大久保キリスト教会,教会
新宿区,下落合１丁目,-,東京都新宿区下落合1-3-3,35.715176,139.702637,国際福音キリスト教会中央チャペル,教会
中央区,日本橋本町３丁目,日八京,東京都中央区日本橋本町3-10,35.689301,139.777032,宝田神社,神社
新宿区,歌舞伎町２丁目,-,東京都新宿区歌舞伎町2丁目2-19,35.695856,139.706738,純福音東京教会,教会
中央区,銀座７丁目,-,東京都中央区銀座7-8-14,35.66903,139.762095,豊岩稲荷神社,神社
江東区,大島７丁目,-,東京都江東区大島7丁目24-1,35.690871,139.840979,東大島神社,神社
港区,赤坂１丁目,虎ノ門,東京都港区赤坂1-14-9,35.666849,139.742652,神霊教 本部,教会
港区,三田４丁目,-,東京都港区三田4-1-35,35.647321,139.74102,西蔵院,教会
港区,新橋４丁目,虎ノ門広域,東京都港区新橋4-24-9,35.663711,139.756548,金光教 芝教会,教会
新宿区,西早稲田２丁目,-,東京都新宿区西早稲田2丁目3-18,35.708008,139.716636,在日韓国人問題研究所,教会
港区,芝４丁目,-,東京都港区芝4丁目7-8,35.649035,139.752149,立正佼成会港教会,教会
港区,高輪４丁目,-,東京都港区高輪4-1-5,35.629673,139.731304,仏所護念会高輪教会,教会
港区,南麻布５丁目,-,東京都港区南麻布5-10-37,35.653981,139.722788,天理教 分教会 南東,教会
新宿区,払方町,-,東京都新宿区払方町24,35.697018,139.735779,牛込払方町教会,教会
港区,麻布台１丁目,虎ノ門,東京都港区麻布台1-11-4,35.660209,139.743252,霊友会 福祉センター,教会
