指標名,コンベンション施設,,,,,,
出典,公益財団法人 東京観光財団（TCVB）,,,,,,
年次,2022/1/17取得,,,,,,
URL,https://businesseventstokyo.org/ja/venues/convention-venues/,,,,,,
備考,部屋数、収容人数などは各URLを参照。（2019年度：179件、2020年度：203件、2020年度：199件）,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,URL
港区,虎ノ門１丁目,虎ノ門,〒105-0001 東京都港区虎ノ門1-23-3 東京都虎ノ門ヒルズ森タワー５階,35.6666610,139.7486020,虎ノ門ヒルズフォーラム,https://forum.academyhills.com/toranomon/access/
港区,虎ノ門１丁目,虎ノ門,〒105-0001 東京都港区虎ノ門1-23-4,35.6668470,139.7495150,アンダーズ 東京,http://tokyo.andaz.hyatt.com/ja/hotel/home.html
千代田区,外神田４丁目,-,〒101-0021 東京都千代田区外神田4-14-1秋葉原UDX2F,35.7005410,139.7725410,アキバ・スクエア,http://udx-akibasquare.jp
新宿区,市谷本村町,-,〒162-0845 東京都新宿区市谷本村町4-1,35.6918350,139.7324130,ホテル グランドヒル市ヶ谷,http://www.ghi.gr.jp
千代田区,外神田４丁目,-,〒101-0021 東京都千代田区外神田4-14-1,35.7005410,139.7725410,UDXカンファレンス,http://www.udx.jp/conference/
千代田区,九段北４丁目,-,〒102-0073 東京都千代田区九段北4-2-25,35.6919080,139.7375850,アルカディア市ヶ谷(私学会館),http://www.arcadia-jp.org
千代田区,外神田４丁目,-,〒101-0021 東京都千代田区外神田1-18-13秋葉原ダイビル2F/5F,35.6992130,139.7720930,秋葉原コンベンションホール,http://www.akibahall.jp
新宿区,市谷砂土原町１丁目,-,〒162-0842 東京都新宿区市谷砂土原町1-1,35.6942130,139.7362820,ルーテル市ケ谷センター,http://www.l-i-c.com
千代田区,神田駿河台３丁目,-,〒101-0062 東京都千代田区神田駿河台3-6,35.6968500,139.7658300,全電通労働会館,http://www.zhall.or.jp/index.html
千代田区,神田練塀町,-,〒101-0022 東京都千代田区神田練塀町3富士ソフトビル,35.7008410,139.7741020,富士ソフト アキバプラザ,http://www.fsi.co.jp/akibaplaza/
千代田区,飯田橋３丁目,-,〒102-0072 東京都千代田区飯田橋3-10-3,35.7005570,139.7495750,東京しごとセンター,http://www.shigotozaidan.or.jp
千代田区,神田三崎町１丁目,-,〒101-0064 東京都千代田区猿楽町2-5-5,35.6999770,139.7562510,YMCAアジア青少年センター,http://www.ymcajapan.org/ayc/
千代田区,飯田橋３丁目,-,〒102-8130 東京都千代田区飯田橋3-10-8,35.7009320,139.7492340,ホテルメトロポリタン エドモント,http://www.edmont.co.jp
千代田区,神田駿河台４丁目,-,〒101-0062 東京都千代田区神田駿河台4-6 東京都御茶ノ水ソラシティ1F,35.6986240,139.7667020,ソラシティカンファレンスセンター,http://solacity.jp/cc/index.html
千代田区,神田須田町１丁目,-,〒101-0041 東京都千代田区神田須田町1-25 東京都JR神田万世橋ビル3階・4階,35.6969580,139.7700490,ステーションコンファレンス万世橋,https://www.tstc.jp/manseibashi/
江東区,有明３丁目,-,〒135-0063 東京都江東区有明3-11-1,35.6300470,139.7937520,東京ビッグサイト(東京国際展示場),http://www.bigsight.jp/
江東区,有明３丁目,-,〒135-8071 東京都江東区有明3-1,35.6306880,139.7848500,東京ファッションタウン(TFT)ビル,http://www.tokyo-bigsight.co.jp/tft/
江東区,青海２丁目,-,〒135-0064 東京都江東区青海2-3-6,35.6191840,139.7765510,日本科学未来館,http://www.miraikan.jst.go.jp/
江東区,有明３丁目,-,〒135-0063 東京都江東区有明3-5-7,35.6321070,139.7881300,ＴＯＣ有明Convention Hall,https://www.toc.co.jp/saiji/ariake/
江東区,有明３丁目,-,〒135-0063 東京都江東区有明3-7-18有明セントラルタワー3F・4F,35.6320580,139.7937020,東京コンファレンスセンター・有明,http://www.tokyo-cc.co.jp
江東区,青海１丁目,-,〒135-0064 東京都江東区青海1丁目3番11号,35.6259270,139.7822000,Zepp東京,http://www.zepp.co.jp
江東区,青海２丁目,-,〒135-8630 東京都江東区青海2-2-1,35.6211340,139.7758510,東京国際交流館 プラザ平成,http://www.tiec.jasso.go.jp
江東区,青海２丁目,-,〒135-8073 東京都江東区青海2-4-32,35.6177170,139.7771260,タイム24ビル,http://www.tokyo-bigsight.co.jp
江東区,青海２丁目,-,〒135-0064 東京都江東区青海2-4-24青海フロンティアビル2階,35.6177230,139.7783570,青海フロンティアビル,http://www.tokyo-teleport.co.jp
江東区,青海２丁目,-,〒135-8070 東京都江東区青海2-5-10,35.6173620,139.7802570,テレコムセンタービル,http://www.tokyo-teleport.co.jp
港区,台場２丁目,-,〒135-0091 東京都港区台場2-3-2台場フロンティアビル2F,35.6286320,139.7778620,台場フロンティアビル,http://www.tokyo-teleport.co.jp
江東区,有明２丁目,-,〒135-0063 東京都江東区有明2-2-22,35.6350990,139.7890660,有明コロシアム,http://www.tptc.co.jp/
中央区,晴海５丁目,-,〒104-0053 東京都中央区晴海5-7-1,35.6469690,139.7731560,晴海客船ターミナル,http://www.tptc.co.jp/tabid/344/Default.aspx
港区,台場２丁目,-,〒135-8701 東京都港区台場2-6-1,35.6255770,139.7717290,グランドニッコー東京 台場,http://www.tokyo.grand-nikko.com/
江東区,有明３丁目,-,〒135-0063 東京都江東区有明3-7-11,35.6325830,139.7930710,東京ベイ有明ワシントンホテル,https://washington-hotels.jp/ariake/
港区,台場１丁目,-,〒135-8625 東京都港区台場1-9-1,35.6263770,139.7705650,ヒルトン東京お台場,http://hiltonodaiba.jp/
中央区,晴海４丁目,-,〒104-0053 東京都中央区晴海4-7-28,35.6528160,139.7790020,ホテルマリナーズコート東京,http://www.hotel-mariners.co.jp
江東区,有明３丁目,-,〒135-0063 東京都江東区有明3-6-6,35.6322520,139.7894350,相鉄グランドフレッサ東京ベイ有明,https://fresa-inn.jp/ariake/
品川区,西五反田７丁目,-,〒141-0031 東京都品川区西五反田7-22-17,35.6219070,139.7193200,TOC展示会場・TOC五反田メッセ,https://www.toc.co.jp/saiji/building/
品川区,東大井５丁目,-,〒140-0011 東京都品川区東大井5-18-1,35.6061560,139.7359270,品川区立総合区民会館 きゅりあん,http://www.shinagawa-culture.or.jp/
港区,港南１丁目,-,〒108-0075 東京都港区港南1-9-36アレア品川3F～5F,35.6301340,139.7412650,東京コンファレンスセンター・品川,http://www.tokyo-cc.co.jp
港区,港南２丁目,-,〒108-6105 東京都港区港南2-15-4,35.6252650,139.7416340,品川インターシティホール,http://sic-hall.com/
港区,港南２丁目,-,〒108-6105 東京都港区港南2-15-2品川インターシティホール棟地下1階(インターシティ管理事務所),35.6263230,139.7421290,品川インターシティ 貸会議室,http://sic-hall.com/
港区,白金台１丁目,-,〒108-8631 東京都港区白金台1-1-1,35.6387550,139.7291740,八芳園,http://www.happo-en.com
品川区,東品川２丁目,-,〒140-0002 東京都品川区東品川2-3-16シーフォートスクエア1階,35.6234320,139.7512890,ザ・クルーズクラブ東京,https://cctokyo.co.jp
港区,高輪４丁目,-,〒108-8611 東京都港区高輪4-10-30,35.6278840,139.7352100,マクセルアクアパーク品川,http://www.aqua-park.jp/aqua/
港区,高輪３丁目,-,〒108-8612 東京都港区高輪3-13-1,35.6309590,139.7352680,グランドプリンスホテル新高輪,http://www.princehotels.co.jp/takanawa-area
港区,高輪３丁目,-,〒108-8612 東京都港区高輪3-13-1,35.6309590,139.7352680,グランドプリンスホテル高輪,http://www.princehotels.co.jp/takanawa-area
港区,高輪４丁目,-,〒108-8611 東京都港区高輪4-10-30,35.6278840,139.7352100,品川プリンスホテル,http://www.princehotels.co.jp/shinagawa/
港区,高輪３丁目,-,〒108-8612 東京都港区高輪3-13-1,35.6309590,139.7352680,ザ・プリンス さくらタワー東京,http://www.princehotels.co.jp/takanawa-area
品川区,北品川４丁目,-,〒140-0001 東京都品川区北品川4-7-36,35.6214520,139.7372180,東京マリオットホテル,http://www.tokyo-marriott.com/
港区,白金台１丁目,-,〒108-8640 東京都港区白金台1-1-50,35.6395050,139.7316040,シェラトン都ホテル東京,http://www.miyakohotels.ne.jp/tokyo
品川区,東品川２丁目,-,〒140-0002 東京都品川区東品川2-3-15,35.6244240,139.7512110,第一ホテル東京シーフォート,http://www.seafort.d-h.co.jp
港区,港南２丁目,-,〒108-8282 東京都港区港南2-16-1品川イーストワンタワー,35.6278040,139.7407570,ストリングスホテル東京インターコンチネンタル,https://intercontinental-strings.jp/jp
港区,芝公園２丁目,-,〒105-8582 東京都港区芝公園2-5-20,35.6558930,139.7513410,メルパルク東京,http://www.mielparque.jp
港区,三田３丁目,-,〒108-0073 東京都港区三田3-12-12,35.6425550,139.7428840,笹川記念館,http://www.sasakawahall.jp
港区,芝５丁目,-,〒108-8414 東京都港区芝5-26-20,35.6475130,139.7462610,建築会館ホール,http://www.aij.or.jp/kentikukaikan.html
港区,芝４丁目,-,〒108-0014 東京都港区芝4-1-23三田NNビル地下1階,35.6490570,139.7494490,三田NNホール,http://www.mita-nn-hall.com
港区,海岸１丁目,-,〒105-0002 東京都港区海岸1-11-1,35.6557710,139.7637230,ニューピアホール,http://www.newpier-hall.jp/
港区,海岸１丁目,-,〒102-0022 東京都港区海岸1-16-1ニューピア竹芝サウスタワー4F,35.6537060,139.7624140,ニューピア竹芝 サウスタワー,http://www.tokyo-teleport.co.jp
港区,海岸２丁目,-,〒105-0022 東京都港区海岸2-7-104,35.6506880,139.7604730,シンフォニークルーズ,http://www.slt.jp
港区,芝公園４丁目,-,〒105-8563 東京都港区芝公園4-8-1,35.6554370,139.7470470,ザ・プリンスパークタワー東京,http://www.princehotels.co.jp/parktower
港区,芝公園３丁目,虎ノ門,〒105-8586 東京都港区芝公園3-3-1,35.6595700,139.7490600,東京プリンスホテル,http://www.princehotels.co.jp/tokyo
港区,海岸１丁目,-,〒105-8576 東京都港区海岸1-16-2,35.6530040,139.7622930,ホテル インターコンチネンタル 東京ベイ,http://www.interconti-tokyo.com
港区,芝公園１丁目,-,〒105-0011 東京都港区芝公園1-5-10,35.6588390,139.7519460,芝パークホテル,http://www.shibaparkhotel.com
港区,海岸１丁目,-,〒105-0022 東京都港区海岸1-11-2,35.6553040,139.7632650,ベイサイドホテルアジュール竹芝,http://www.hotel-azur.com
港区,芝２丁目,-,〒105-0014 東京都港区芝2-5-2,35.6526710,139.7510300,東京グランドホテル,http://www.tokyogrand.gr.jp/
港区,北青山２丁目,-,〒107-0061 東京都港区北青山2-8-44(一般財)高度技術社会推進協会,35.6729810,139.7169430,TEPIA(TEPIA館),http://www.tepia.jp
渋谷区,渋谷２丁目,-,〒150-8510 東京都渋谷区渋谷2-21-1渋谷ヒカリエ9階,35.6589240,139.7035540,ヒカリエホール・カンファレンス,http://www.hikarie.jp/hall/
渋谷区,神宮前５丁目,-,〒150-8925 東京都渋谷区神宮前5-53-70,35.6623800,139.7083080,国連大学本部ビル,https://jp.unu.edu/about/unu-services/conferences#overview
渋谷区,渋谷４丁目,-,〒150-0002 東京都渋谷区渋谷4-4-25,35.6596190,139.7107830,アイビーホール(青学会館),http://www.ivyhall.jp/
渋谷区,神宮前５丁目,-,〒150-0001 東京都渋谷区神宮前5-53-67,35.6630300,139.7077050,東京ウィメンズプラザ,http://www1.tokyo-womens-plaza.metro.tokyo.jp/
渋谷区,渋谷１丁目,-,〒150-0002 東京都渋谷区渋谷1-9-8朝日生命宮益坂ビル4・5階,35.6600830,139.7046950,渋谷サンスカイルーム,http://www.sunskyroom.jp
渋谷区,道玄坂２丁目,-,〒150-0043 東京都渋谷区道玄坂2-10-7新大宗ビル,35.6581580,139.6971760,渋谷フォーラムエイト（FORUM8）,http://www.forum-8.co.jp
渋谷区,宇田川町,-,〒150-8010 東京都渋谷区宇田川町1-1,35.6639540,139.6980770,LINE CUBE SHIBUYA,https://linecubeshibuya.com
渋谷区,千駄ケ谷１丁目,-,〒151-0051 東京都渋谷区千駄ヶ谷1-17-1,35.6787560,139.7114630,東京体育館,http://www.tef.or.jp/tmg
新宿区,霞ヶ丘町,-,〒160-0013 東京都新宿区霞ヶ丘町3-1,35.6737480,139.7165990,明治神宮野球場,http://www.jingu-stadium.com
渋谷区,神南２丁目,-,〒150-0041 東京都渋谷区神南2-1-1,35.6669260,139.6997730,国立代々木競技場 第一体育館,http://www.naash.go.jp/yoyogi/
渋谷区,神南２丁目,-,〒150-0041 東京都渋谷区神南2-1-1,35.6669260,139.6997730,国立代々木競技場 第二体育館,http://www.naash.go.jp/yoyogi/
港区,元赤坂２丁目,-,〒107-8507 東京都港区元赤坂2-2-23,35.6779480,139.7218790,明治記念館,http://www.meijikinenkan.gr.jp/
渋谷区,桜丘町,-,〒150-8512 東京都渋谷区桜丘町26-1,35.6564550,139.6994180,セルリアンタワー東急ホテル,http://www.ceruleantower-hotel.com
